Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
0,46.71256356,13.2153928,12.00171071,55.30076869,-54.17788733,108.5293582,93.07717737,142.90000304,0.2692317738111067,102.69422699773965,0.35272804613748165,-0.41636888933209226,-8.8982436024597,-0.5863925950086466,20.590625,-22.190625,-1.705468749,-18.5625
1,46.71879502,13.20119381,12.00671574,55.30488561,-54.18337944,108.5418502,93.14004148,142.93382589,0.26702711795860473,102.6591689159243,0.35272804613748165,-0.41636888933209226,-8.927457687981763,-0.5563765222985527,20.940625,-21.996875,-1.496679686,-18.71875
2,46.72502649,13.18699481,12.01172076,55.30900254,-54.18887156,108.5543422,93.20290559,142.96764875,0.26958005540043434,102.66003454771084,0.35269423237158176,-0.48626865609626374,-8.957108618070489,-0.5266013011482494,21.290625,-21.803125,-1.287890624,-18.875
3,46.73125795,13.17279581,12.01672578,55.31311946,-54.19436367,108.5668343,93.2657697,143.00147161,0.3154517773567344,102.62714053982182,0.354082286486726,-0.5247892705978814,-8.987150353709382,-0.49714166460971365,21.640625,-21.609375,-1.079101563,-19.03125
4,46.73621713,13.15876521,12.02081683,55.31778322,-54.19955075,108.5788886,93.32860947,143.03523821,0.267054168882684,102.62540927624872,0.35540778520143596,-0.5611458056331161,-9.017535830410148,-0.46807081269455897,22.159375,-21.528125,-1.14140625,-19.28125
5,46.74117632,13.14473461,12.02490788,55.32244697,-54.20473784,108.590943,93.39144924,143.06900482,0.267054168882684,102.62540927624872,0.35538749689757565,-0.6321276121304791,-9.048217161088186,-0.4394600159371973,22.678125,-21.446875,-1.203710938,-19.53125
6,46.74613551,13.13070401,12.02899893,55.32711073,-54.20992492,108.6029974,93.45428901,143.10277142,0.31462334064619063,102.6609001794974,0.3541177909630811,-0.6321276121304791,-9.079145840314357,-0.411378239354977,23.196875,-21.365625,-1.266015625,-19.78125
7,46.7510947,13.11667341,12.03308997,55.33177448,-54.215112,108.6150517,93.51712878,143.13653803,0.31499867315959756,102.59338090014624,0.3541177909630811,-0.6321276121304791,-9.110272948918597,-0.3838917904537984,23.715625,-21.284375,-1.328320313,-20.03125
8,46.75605388,13.10264281,12.03718102,55.33643824,-54.22029908,108.6271061,93.57996855,143.17030463,0.3146470102601604,102.62714053982182,0.3990883766564729,-0.6316947962372024,-9.14154935822243,-0.35706399389100263,24.234375,-21.203125,-1.390625,-20.28125
9,46.75962015,13.08881079,12.04028948,55.34157511,-54.22517767,108.638799,93.64228894,143.2038952,0.3148363672827195,102.59338090014624,0.39903089327660324,-0.5953382612019678,-9.172925933440542,-0.3309548943536906,24.625,-20.815625,-1.416796875,-20.31875
10,46.76318642,13.07497877,12.04339794,55.34671198,-54.23005625,108.6504919,93.70460932,143.23748577,0.31502234277356733,102.55962126047066,0.35405185414173646,-0.5936069976288614,-9.204353735954061,-0.3056209883991407,25.015625,-20.428125,-1.44296875,-20.35625
11,46.76675269,13.06114675,12.0465064,55.35184885,-54.23493483,108.6621848,93.7669297,143.27107634,0.31547206554979385,102.60766381908432,0.35405185414173646,-0.5936069976288614,-9.235784224202781,-0.28111498550917263,25.40625,-20.040625,-1.469140625,-20.39375
12,46.77031896,13.04731473,12.04961487,55.35698573,-54.23981341,108.6738777,93.82925008,143.30466691,0.3127602035411957,102.60679818729778,0.35283963147631076,-0.629963532664096,-9.26716945288949,-0.25748559834480794,25.796875,-19.653125,-1.4953125,-20.43125
13,46.77388522,13.0334827,12.05272333,55.3621226,-54.24469199,108.6855706,93.89157046,143.33825747,0.3151812674511368,102.57433700084209,0.3533282400390019,-0.5542207513406904,-9.298462270072433,-0.23477736203611718,26.1875,-19.265625,-1.521484374,-20.46875
14,46.77599367,13.01988153,12.05480327,55.36765709,-54.24927578,108.6969575,93.95292548,143.37156747,0.31568847349643214,102.54036094490979,0.3090880311793644,-0.520893927558392,-9.329616511587377,-0.21303048226552293,26.146875,-19.103125,-1.395703124,-20.65
15,46.77810212,13.00628036,12.05688322,55.37319158,-54.25385958,108.7083443,94.01428049,143.40487746,0.3137712344324779,102.55377824314141,0.2641073013340424,-0.48497020841643396,-9.360587192117476,-0.19228071191326257,26.10625,-18.940625,-1.269921874,-20.83125
16,46.78021057,12.99267918,12.05896317,55.37872606,-54.25844338,108.7197312,94.07563551,143.43818745,0.3136123097549084,102.5535618379648,0.2641309709480122,-0.44796444954128434,-9.391330692096515,-0.17255925607006023,26.065625,-18.778125,-1.144140624,-21.0125
17,46.78231902,12.97907801,12.06104312,55.38426055,-54.26302717,108.731118,94.13699053,143.47149744,0.3132606468554713,102.58732147764039,0.26286295561317197,-0.44796444954128434,-9.421804939465225,-0.1538927051237725,26.025,-18.615625,-1.018359374,-21.19375
18,46.78442747,12.96547683,12.06312307,55.38979504,-54.26761097,108.7425049,94.19834554,143.50480743,0.21504525284758227,102.63406559411425,0.26286295561317197,-0.44796444954128434,-9.451969585142562,-0.13630299529309134,25.984375,-18.453125,-0.8925781238,-21.375
19,46.78507424,12.95214271,12.06415419,55.39565312,-54.27192835,108.7536222,94.25834301,143.53774792000002,0.2156809512254576,102.64813210787571,0.2628612649027168,-0.4137719939724327,-9.481786170990011,-0.11980739551138844,26.1125,-18.171875,-0.6815917956,-21.440625
20,46.78572101,12.93880858,12.06518531,55.40151121,-54.27624573,108.7647394,94.31834048,143.57068841,0.2153360510570403,102.68167534237466,0.3082950989451757,-0.37525137947081505,-9.511218289035757,-0.10441851918256184,26.240625,-17.890625,-0.4706054675,-21.50625
21,46.78636779,12.92547445,12.06621642,55.40736929,-54.28056312,108.7758567,94.37833795,143.6036289,0.2153360510570403,102.68167534237466,0.3083120058281257,-0.4107422827194965,-9.54023173072382,-0.09014435918479752,26.36875,-17.609375,-0.2596191394,-21.571875
22,46.78701456,12.91214033,12.06724754,55.41322738,-54.2848805,108.786974,94.43833541,143.63656939999998,0.114030080995435,102.79464028497982,0.3082950989451757,-0.37525137947081505,-9.568794624909742,-0.07698834454751387,26.496875,-17.328125,-0.04863281126,-21.6375
23,46.78766133,12.8988062,12.06827866,55.41908546,-54.28919788,108.7980913,94.49833288,143.66950989,0.114030080995435,102.79464028497982,0.3078233972654345,-0.37979594635021935,-9.596877563239707,-0.06494941733057928,26.625,-17.046875,0.1623535151,-21.703125
24,46.78690409,12.88578046,12.06826643,55.425202,-54.29328692,108.8089609,94.55664463,143.70200662,0.11380691031777687,102.87644249434915,0.35329104496299246,-0.4122571383459646,-9.62445371147989,-0.05402212831340835,26.6875,-16.6828125,0.06997070258,-21.834375
25,46.78614685,12.87275472,12.0682542,55.43131855,-54.29737596,108.8198304,94.61495637,143.73450335,0.1139354025395559,102.92470145813944,0.3987248788946505,-0.37373652384434686,-9.651498905391007,-0.044196750201364085,26.75,-16.31875,-0.02241210992,-21.965625
26,46.78538961,12.85972898,12.06824197,55.43743509,-54.30146499,108.8306999,94.67326812,143.76700009,0.11358712095022824,102.95824469263839,0.3537424584496742,-0.33802921264902713,-9.677991729913149,-0.03545940726365775,26.8125,-15.9546875,-0.1147949224,-22.096875
27,46.78463238,12.84670324,12.06822973,55.44355164,-54.30555403,108.8415694,94.73157987,143.79949682,0.06515908018658866,102.99027306874085,0.35379994171874307,-0.3743857476842618,-9.703913580701252,-0.027792220615771197,26.875,-15.590625,-0.2071777349,-22.228125
28,46.78387514,12.8336775,12.0682175,55.44966818,-54.30964307,108.8524389,94.78989161,143.83199355,0.015243234742720381,102.95651342906527,0.3537779628152284,-0.30232190145370735,-9.729248707357286,-0.021173468610711715,26.9375,-15.2265625,-0.2995605477,-22.359375
29,46.78182535,12.82099988,12.06719281,55.45599058,-54.313546,108.8630736,94.84625099,143.86398328,0.06313701843726455,102.99178792713732,0.35381515789123785,-0.26661459025838763,-9.753984237993663,-0.015577761868452717,26.446875,-15.0390625,-0.4472656259,-22.3625
30,46.77977556,12.80832226,12.06616811,55.46231299,-54.31744892,108.8737083,94.90261036,143.895973,0.014894953197713067,102.99027306874085,0.35244232005938925,-0.26358487900545136,-9.778110185012208,-0.010976232333893911,25.95625,-14.8515625,-0.594970704,-22.365625
31,46.77772577,12.79564464,12.06514341,55.46863539,-54.32135185,108.884343,94.95896973,143.92796273,-0.0832629574746266,102.95478216549216,0.35240512487257897,-0.29929219020077114,-9.801619432163728,-0.007336735513108355,25.465625,-14.6640625,-0.7426757821,-22.36875
32,46.77567598,12.78296702,12.06411872,55.47495779,-54.32525478,108.8949776,95.01532911,143.95995245,-0.08307698189513804,102.92123893099321,0.3537948696981784,-0.33781280470238884,-9.824507703030774,-0.004624064850126522,24.975,-14.4765625,-0.8903808603,-22.371875
33,46.77362619,12.7702894,12.06309402,55.48128019,-54.32915771,108.9056123,95.07168848,143.99194217000002,-0.13213395825023266,102.92015689403004,0.35383206477418777,-0.30210549350706906,-9.846773511055627,-0.0028001771935266973,24.484375,-14.2890625,-1.038085938,-22.375
34,46.77043637,12.75799772,12.06111146,55.48776766,-54.33291648,108.9160221,95.12588212,144.02337187,-0.18172519179630367,102.88639725435446,0.35383206477418777,-0.30210549350706906,-9.868418091179349,-0.0018244284537887608,24.475,-13.95,-1.136914063,-22.475
35,46.76724656,12.74570604,12.05912889,55.49425512,-54.33667526,108.926432,95.18007577,144.05480157,-0.18048084607543322,102.9067396068785,0.3992456105127864,-0.3347830934494526,-9.889445313163359,-0.0016538187129561618,24.465625,-13.6109375,-1.235742188,-22.575
36,46.76405674,12.73341435,12.05714633,55.50074258,-54.34043404,108.9368418,95.23426941,144.08623126,-0.22827318862739884,102.95305090191906,0.3537948696981784,-0.33781280470238884,-9.909861576806051,-0.00224324605067778,24.45625,-13.271875,-1.334570313,-22.675
37,46.76086692,12.72112267,12.05516376,55.50723004,-54.34419281,108.9472516,95.28846305,144.11766096,-0.22827318862739884,102.95305090191906,0.3538472809466826,-0.3375963967557505,-9.929675689510635,-0.003545768148517473,24.446875,-12.9328125,-1.433398438,-22.775
38,46.7576771,12.70883099,12.0531812,55.5137175,-54.34795159,108.9576614,95.3426567,144.14909066,-0.27733016498249347,102.9521852701325,0.3088310467358064,-0.3715724443779639,-9.948898726872832,-0.005512870387714775,24.4375,-12.59375,-1.532226563,-22.875
39,46.75352647,12.69696113,12.05031492,55.5203397,-54.35160464,108.9678579,95.39451994,144.17991526,-0.27733016498249347,102.9521852701325,0.30698650711341574,-0.3733037079510703,-9.967543877053478,-0.008094738751937417,24.25,-12.596875,-1.628125001,-22.825
40,46.74937585,12.68509127,12.04744864,55.52696189,-54.35525769,108.9780544,95.44638319,144.21073985,-0.2776784465718211,102.98551209945485,0.30698650711341574,-0.3733037079510703,-9.985626269765268,-0.011240535473656464,24.0625,-12.6,-1.724023438,-22.775
41,46.74522522,12.67322141,12.04458236,55.53358409,-54.35891074,108.9882509,95.49824644,144.24156445,-0.2776784465718211,102.98551209945485,0.30884795361875633,-0.4070633476266453,-10.003162790910038,-0.014898675133273698,23.875,-12.603125,-1.819921876,-22.725
42,46.74107459,12.66135155,12.04171608,55.54020628,-54.36256379,108.9984475,95.55010968,144.27238905000002,-0.2751255090191907,102.98659413641802,0.26345469607321714,-0.44644959391481626,-10.02017188434297,-0.019017098944237174,23.6875,-12.60625,-1.915820313,-22.675
43,46.73692396,12.64948169,12.0388498,55.54682848,-54.36621684,109.008644,95.60197293,144.30321365,-0.32863913663963124,103.053031378806,0.30839823084252976,-0.4836717607366041,-10.03667334284187,-0.023543545205641208,23.5,-12.609375,-2.011718752,-22.625
44,46.73200413,12.63806695,12.03518814,55.5535662,-54.36979558,109.0186428,95.65138912,144.33339435,-0.32626879326773917,103.08765665026813,0.3071454316801843,-0.5189462560386473,-10.052688090960332,-0.028425814165842295,23.425,-12.478125,-2.272656252,-22.56875
45,46.7270843,12.62665222,12.03152648,55.56030392,-54.37337431,109.0286417,95.7008053,144.36357505,-0.3256330950006648,103.10193956920621,0.35259617260559317,-0.5159165447857111,-10.068237962899898,-0.033612025657374804,23.35,-12.346875,-2.533593752,-22.5125
46,46.72216446,12.61523748,12.02786483,55.56704164,-54.37695305,109.0386406,95.75022149,144.39375575,-0.3745412909409209,103.1341843504853,0.3076171333599255,-0.514401689159243,-10.083345478779396,-0.039050867935046106,23.275,-12.215625,-2.794531252,-22.45625
47,46.71724463,12.60382274,12.02420317,55.57377936,-54.38053178,109.0486395,95.79963768,144.42393644999999,-0.3742268231174932,103.1339679453087,0.3076526378362806,-0.47869437796392317,-10.098033622701076,-0.044691836384294276,23.2,-12.084375,-3.055468752,-22.4
48,46.71232479,12.592408,12.02054151,55.58051709,-54.38411052,109.0586383,95.84905387,144.45411715,-0.32705665348136326,103.05432982094578,0.3980469134202012,-0.5128868335327749,-10.112325625849635,-0.05048546120264638,23.125,-11.953125,-3.316406251,-22.34375
49,46.70682919,12.58147909,12.01618077,55.58736594,-54.38763678,109.0684613,95.89596263,144.48362377,-0.4226650079776625,103.02013737091697,0.35384897165713775,-0.4806420494836679,-10.126244757595442,-0.0563835236378284,23.059375,-11.740625,-3.480468751,-22.325
50,46.70133359,12.57055017,12.01182003,55.5942148,-54.39116305,109.0782843,95.94287139,144.5131304,-0.4226650079776625,103.02013737091697,0.39933521694810076,-0.4421214349820502,-10.139814127304943,-0.06233926072851459,22.99375,-11.528125,-3.644531251,-22.30625
51,46.69583798,12.55962126,12.00745929,55.60106366,-54.39468932,109.0881073,95.98978015,144.54263702,-0.47026799350706905,103.03268902628196,0.3979623790054514,-0.43909172372911404,-10.15305649932472,-0.06830755866258752,22.928125,-11.315625,-3.808593751,-22.2875
52,46.69034238,12.54869234,12.00309855,55.60791251,-54.39821558,109.0979303,96.03668891,144.57214364,-0.520183839028498,102.999145791783,0.3993724121349111,-0.4061977158400921,-10.165994123345593,-0.07424513481865212,22.8625,-11.103125,-3.972656251,-22.26875
53,46.68484678,12.53776343,11.99873782,55.61476137,-54.40174185,109.1077533,96.08359767,144.60165027,-0.5199944820059388,102.96560256836413,0.39798266730931164,-0.3678935092851128,-10.178648581996391,-0.08011070830353223,22.796875,-10.890625,-4.136718752,-22.25
54,46.67896281,12.52734551,11.99377466,55.62173575,-54.40522751,109.1174263,96.12799946,144.63046125,-0.5682365472233302,102.96387130479103,0.39798266730931164,-0.3678935092851128,-10.191040657049678,-0.08586515841770677,22.790625,-10.690625,-4.436718752,-22.2125
55,46.67307884,12.5169276,11.9888115,55.62871014,-54.40871317,109.1270992,96.17240126,144.65927223,-0.6645516090502149,103.01169745822804,0.39798266730931164,-0.3678935092851128,-10.203190215078479,-0.0914716700809322,22.784375,-10.490625,-4.736718752,-22.175
56,46.66719487,12.50650969,11.98384834,55.63568453,-54.41219884,109.1367722,96.21680305,144.68808321,-0.7127970555777156,103.00996619465495,0.352474443114834,-0.3345666855028143,-10.215116112823367,-0.09689586492419988,22.778125,-10.290625,-5.036718752,-22.1375
57,46.6613109,12.49609178,11.97888518,55.64265891,-54.4156845,109.1464452,96.26120485,144.71689419,-0.7129559802552852,103.00974978947835,0.352474443114834,-0.3345666855028143,-10.226836121954328,-0.10210591656308543,22.771875,-10.090625,-5.336718752,-22.1
58,46.65542694,12.48567386,11.97392203,55.6496333,-54.41917017,109.1561182,96.30560664,144.74570517,-0.8107656092939768,102.94114846208393,0.30755288724903596,-0.36919195696494256,-10.238366872388761,-0.10707264853688192,22.765625,-9.890624998,-5.636718749,-22.0625
59,46.64933211,12.47578366,11.96844992,55.65676557,-54.4226181,109.1656685,96.34755928,144.77380836,-0.9086597728582191,102.98745976820456,0.30755288724903596,-0.36919195696494256,-10.249723812883701,-0.11176961351162899,22.8875,-9.637499998,-5.524218749,-21.971875
60,46.64323728,12.46589346,11.96297782,55.66389784,-54.42606604,109.1752187,96.38951193,144.80191154,-0.9089201386118866,102.90587397509196,0.30628318131454146,-0.36919195696494256,-10.260921187247726,-0.11617315254798008,23.009375,-9.384374998,-5.411718749,-21.88125
61,46.63714245,12.45600326,11.95750571,55.67103011,-54.42951398,109.1847689,96.43146457,144.83001473000002,-0.9586466271107565,102.93855156672427,0.30628318131454146,-0.36919195696494256,-10.27197202418488,-0.12026243346337302,23.13125,-9.131249998,-5.299218749,-21.790625
62,46.63104762,12.44611306,11.95203361,55.67816237,-54.43296191,109.1943192,96.47341722,144.85811791999998,-1.0087518295439435,102.93855156672427,0.30753767107654123,-0.3337010537162611,-10.282888138480816,-0.12401946757205352,23.253125,-8.878124998,-5.186718749,-21.7
63,46.62495279,12.43622286,11.9465615,55.68529464,-54.43640985,109.2038694,96.51536986,144.8862211,-1.008055266476089,102.87124870362983,0.26208693026193325,-0.33673076496919735,-10.293680141023842,-0.12742910443774258,23.375,-8.625,-5.074218747,-21.609375
64,46.61881115,12.42685849,11.94066669,55.69263159,-54.43981697,109.2133203,96.55498388,144.913617,-1.0075074838230729,103.00066065017947,0.3062679651420467,-0.3337010537162611,-10.304357455108379,-0.1304790047467169,23.546875,-8.6546875,-4.514453122,-21.578125
65,46.61266951,12.41749411,11.93477187,55.69996854,-54.44322408,109.2227712,96.59459791,144.9410129,-1.0075074838230729,103.00066065017947,0.262102146434428,-0.3722216682178788,-10.31492833662565,-0.13315959191988355,23.71875,-8.684375,-3.954687497,-21.546875
66,46.60652787,12.40812974,11.92887706,55.70730549,-54.4466312,109.2322222,96.63421193,144.9684088,-1.0082784371537472,102.95283449674244,0.262102146434428,-0.3722216682178788,-10.325399896038185,-0.13546398355681866,23.890625,-8.7140625,-3.394921872,-21.515625
67,46.60038623,12.39876536,11.92298224,55.71464244,-54.45003831,109.2416731,96.67382595,144.9958047,-1.0080924615520985,102.91929126224349,0.26216808325577273,-0.4109586906661348,-10.33577812036359,-0.1373879042636566,24.0625,-8.74375,-2.835156247,-21.484375
68,46.59424459,12.38940099,11.91708743,55.72197938,-54.45344543,109.251124,96.71343998,145.0232006,-0.9600363719363559,102.88444958560474,0.30767292602934004,-0.40749616351992196,-10.346067893709714,-0.13892958188849397,24.234375,-8.7734375,-2.275390624,-21.453125
69,46.58820415,12.38055604,11.91084553,55.72957679,-54.45680508,109.2604909,96.75087065,145.04990403,-1.0101753880246418,102.95131963834596,0.30763573095333063,-0.44341988266188004,-10.35627301522078,-0.14008962963152316,24.471875,-8.7390625,-2.101562499,-21.140625
70,46.58216371,12.3717111,11.90460362,55.7371742,-54.46016474,109.2698577,96.78830133,145.07660747,-1.0104357538891102,102.86973384523333,0.30770843050569513,-0.5148345050525196,-10.366396213662242,-0.1408709168481188,24.709375,-8.7046875,-1.927734374,-20.828125
71,46.57612327,12.36286615,11.89836172,55.74477161,-54.46352439,109.2792246,96.82573201,145.1033109,-1.0104357538891102,102.86973384523333,0.3531591713203031,-0.5118047937995833,-10.376439158318833,-0.14127843158590306,24.946875,-8.6703125,-1.753906249,-20.515625
72,46.57008283,12.3540212,11.89211982,55.75236902,-54.46688405,109.2885915,96.86316269,145.13001433,-0.9122575549572307,102.87124870362983,0.3089781365509905,-0.5150509129991578,-10.386402466346688,-0.14131913797914727,25.184375,-8.6359375,-1.580078124,-20.203125
73,46.56404239,12.34517626,11.88587792,55.75996643,-54.4702437,109.2979584,96.90059336,145.15671776,-0.9657711824668704,102.93790235119442,0.3539571756858574,-0.516565768625626,-10.39628570709743,-0.1410018315510795,25.421875,-8.6015625,-1.406250001,-19.890625
74,46.55821882,12.33684627,11.87934947,55.76787912,-54.47354725,109.30725,96.93603028,145.18275958,-0.9625250632672959,102.87103228737313,0.39940791650046537,-0.5135360573726898,-10.406087404178743,-0.14033699521207282,25.496875,-8.6390625,-1.594531251,-19.8375
75,46.55239525,12.32851628,11.87282103,55.77579181,-54.4768508,109.3165416,96.9714672,145.20880139,-0.912233885343261,102.83748906395425,0.39813821056597076,-0.5135360573726898,-10.415805036189402,-0.13933665826179842,25.571875,-8.6765625,-1.782812501,-19.784375
76,46.54657168,12.32018629,11.86629258,55.78370449,-54.48015435,109.3258332,97.00690412,145.2348432,-0.9617980678544519,102.77018618977971,0.398070583034171,-0.44060657935558206,-10.425435037225169,-0.13801426004926304,25.646875,-8.7140625,-1.971093751,-19.73125
