Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
0,-41.90687124,-11.58060352,0.03503239364,-28.06151741,15.05048637,-38.22248831,-98.83551258,131.03012833,0.324359443991392,80.22567674708347,4.82979991731793,34.54657592026277,10.607643184169781,-14.126116812917607,-58.61249999,-171.75,46.45,37.2
1,-41.91787673,-11.58617475,0.0401611385,-28.02879511,15.05966079,-38.32012904,-98.41241439,131.21087447,0.3718934495412844,80.22589796126401,4.826616466190961,34.54480618416581,10.554129921921362,-14.198718974864795,-57.46249999,-170.375,46.31875,36.725
2,-41.92888223,-11.59174598,0.04528988336,-27.9960728,15.06883521,-38.41776977,-97.98931619,131.39162061,0.3718934495412844,80.22589796126401,4.826616466190961,34.54480618416581,10.500205949743373,-14.272396342067472,-56.31249999,-169.0,46.1875,36.25
3,-41.93979479,-11.5975601,0.05006701102,-27.96224684,15.08094598,-38.50252787,-97.5556355,131.57519541,0.37109153788651034,80.23872855363007,4.828019810850606,34.541930354513525,10.446004844470016,-14.347028667622613,-55.33124999,-166.55,46.4,35.93125
4,-41.95070736,-11.60337422,0.05484413869,-27.92842087,15.09305676,-38.58728598,-97.12195481,131.75877021,0.36767995673349185,80.25067426662136,4.828037093668591,34.50565076452599,10.391665528779795,-14.42249533954041,-54.34999999,-164.1,46.6125,35.6125
5,-41.96161992,-11.60918833,0.05962126636,-27.89459491,15.10516753,-38.67204409,-96.68827411,131.94234501,0.36767995673349185,80.25067426662136,4.828088942122551,34.53993940423604,10.33733201062072,-14.498676143873395,-53.36874999,-161.65,46.825,35.29375
6,-41.97253249,-11.61500245,0.06439839402,-27.86076895,15.1172783,-38.75680219,-96.25459342,132.1259198,0.31658573994789896,80.24757723411483,4.828088942122551,34.53993940423604,10.283153097770656,-14.575451996293625,-52.38749999,-159.2,47.0375,34.975
7,-41.98344506,-11.62081657,0.06917552169,-27.82694299,15.12938907,-38.8415603,-95.82091273,132.3094946,0.26375289568467547,80.24580749801788,4.874081341035224,34.53706358591007,10.229282086518179,-14.652705634313028,-51.40625,-156.75,47.25000001,34.65625
8,-41.99413954,-11.6267824,0.07345770382,-27.79159896,15.14383377,-38.91494588,-95.37854049,132.49680984,0.2611397697360969,80.24492262996941,4.872785147808358,34.53706358591007,10.175876423760453,-14.730322263671978,-51.23125,-153.0,48.62500001,34.121875
9,-42.00483402,-11.63274824,0.07773988596,-27.75625493,15.15827846,-38.98833146,-94.93616825,132.68412508,0.21156987642994676,80.25908051874502,4.872826625891946,34.53861210782648,10.123097342075742,-14.808190153554717,-51.05625,-149.25,50.00000001,33.5875
10,-42.01552851,-11.63871408,0.0820220681,-27.7209109,15.17272316,-39.06171705,-94.49379602,132.87144032,0.20808916502435154,80.3269941442972,4.966671030694302,34.53706358591007,10.07110946760054,-14.88620117640266,-50.88125,-145.5,51.37500001,33.053125
11,-42.02622299,-11.64467991,0.08630425023,-27.68556687,15.18716785,-39.13510263,-94.05142378,133.05875555,0.20944066270245776,80.29182063653867,4.920222370596896,34.64169922981085,10.020080400885998,-14.964251289312184,-50.70625,-141.75,52.75000001,32.51875
12,-42.03691748,-11.65064575,0.09058643236,-27.65022284,15.20161254,-39.20848821,-93.60905154,133.24607079,0.2573099502774946,80.37477701891493,4.920222370596896,34.64169922981085,9.970180271376377,-15.042240955289033,-50.53125001,-138.0,54.12500001,31.984375
13,-42.0470931,-11.65664749,0.09424340669,-27.61312132,15.2178487,-39.27203478,-93.1601076,133.43820435,0.15320660697700758,80.38539543549665,5.014104796692717,34.67665152338883,9.921581266753988,-15.120075503810227,-51.53750001,-133.2875,55.71250001,31.575
14,-42.05726873,-11.66264923,0.09790038101,-27.57601981,15.23408486,-39.33558134,-92.71116367,133.6303379,0.15284712934647185,80.41990528938724,5.0587664378751835,34.74611365953108,9.874457139023475,-15.197665431047719,-52.54375001,-128.575,57.30000001,31.165625
15,-42.06744436,-11.66865097,0.1015573553,-27.5389183,15.25032102,-39.39912791,-92.26221973,133.82247146,0.25159287314531653,80.41990528938724,5.05870767697361,34.78327811756711,9.828982689632214,-15.274926640684832,-53.55000001,-123.8625,58.88750001,30.75625
16,-42.07761998,-11.67465271,0.1052143297,-27.50181678,15.26655718,-39.46267448,-91.8132758,134.01460501,0.20038113478310113,80.41990528938724,5.012784408200249,34.894329063314075,9.785333235943364,-15.351780626561533,-54.55625001,-119.15,60.47500001,30.346875
17,-42.08779561,-11.68065446,0.108871304,-27.46471527,15.28279334,-39.52622105,-91.36433186,134.20673857,0.2524293498697474,80.41946284969984,5.058780263903047,35.03767768716728,9.743684061007446,-15.428154598532736,-55.56250002,-114.4375,62.06250001,29.9375
18,-42.09698458,-11.68655835,0.1117891105,-27.42580254,15.30036106,-39.58146183,-90.91107225,134.40484447,0.2520698722392117,80.45375148940988,5.057421852984482,35.0748421452033,9.704209848042652,-15.503981553020475,-57.25000002,-110.3375,62.91250001,29.578125
19,-42.10617354,-11.69246223,0.114706917,-27.3868898,15.31792877,-39.63670261,-90.45781264,134.60295037,0.2987190097406275,80.5380351681957,5.057421852984482,35.21885441159814,9.667084100600189,-15.579200289821333,-58.93750002,-106.2375,63.76250001,29.21875
20,-42.11536251,-11.69836612,0.1176247236,-27.34797707,15.33549649,-39.6919434,-90.00455303,134.80105627,0.29852544478423376,80.57254502208629,5.102487905765092,35.40622522369464,9.632478549214401,-15.653755376817273,-60.62500002,-102.1375,64.61250001,28.859375
21,-42.12455147,-11.70427001,0.1205425301,-27.30906434,15.35306421,-39.74718418,-89.55129342,134.99916217,0.29852544478423376,80.57254502208629,5.102487905765092,35.40622522369464,9.600562545411552,-15.727597064415047,-62.31250002,-98.03749996,65.46250001,28.5
22,-42.13374044,-11.7101739,0.1234603366,-27.27015161,15.37063193,-39.80242497,-89.09803381,135.19726806,0.34965077018914936,80.69023247253368,5.102501731792955,35.51639130139313,9.571502444154717,-15.800681151888643,-64.00000002,-93.93749997,66.3125,28.14062499
23,-42.14134096,-11.71583537,0.1255456378,-27.22954803,15.38917691,-39.85086008,-88.64273739,135.4024881,0.3513893976667799,80.76013704836335,5.14901606523955,35.519930773587035,9.545460976016061,-15.872968808303883,-66.31250002,-90.72499997,66.0125,27.54062499
24,-42.14894149,-11.72149685,0.1276309389,-27.18894445,15.40772188,-39.8992952,-88.18744097,135.60770814,0.4028672876882999,80.84375708460753,5.194918595537433,35.626557367765315,9.52259661056506,-15.94442635125653,-68.62500002,-87.51249997,65.7125,26.94062499
25,-42.15654202,-11.72715832,0.1297162401,-27.14834088,15.42626686,-39.94773031,-87.73214455,135.81292818,0.44967542484992634,80.99927263563256,5.1936154887303205,35.66173087552384,9.50306291270465,-16.015024987126104,-70.93750002,-84.29999997,65.4125,26.34062499
26,-42.16414254,-11.7328198,0.1318015412,-27.1077373,15.44481184,-39.99616543,-87.27684813,136.01814822,0.4997050347717748,81.03422492921054,5.2860945701664965,35.699558987427785,9.487007894072956,-16.084740516868873,-73.25000002,-81.08749997,65.1125,25.74062499
27,-42.17174307,-11.73848127,0.1338868424,-27.06713372,15.46335682,-40.04460055,-86.82155171,136.22336825,0.49961170880054356,81.15191237965793,5.332557055159135,35.7026560199343,9.474573362216779,-16.15355301159957,-75.56250002,-77.87499999,64.81249999,25.140625
