Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
0,7.033026742,-4.143618574,12.76805232,14.92631766,-0.3383083577,83.01435227,99.58089841,133.21564475,-0.23963194576962282,131.85684251444104,-0.006171954638124363,-0.6588727488956847,-18.285789558034335,0.5363994505183336,2.775000002,2.96186523,-11.1203125,2.380859377
1,7.043648836,-4.141329733,12.76809673,14.92877279,-0.3391111457,83.03044593,99.65128104,133.24066791,-0.23726354114848794,131.81728890248047,-0.006171954638124363,-0.6588727488956847,-18.342782917549673,0.5392733493440163,3.092968752,2.337792964,-11.021875,2.666015627
2,7.05427093,-4.139040892,12.76814115,14.93122791,-0.3399139337,83.0465396,99.72166367,133.26569108,-0.23671188120965,131.87622112130478,-0.06134624267753992,-0.6570145259938838,-18.401831838482448,0.5417067102623521,3.410937502,1.713720699,-10.9234375,2.951171877
3,7.064893024,-4.136752051,12.76818556,14.93368304,-0.3407167217,83.06263326,99.7920463,133.29071425,-0.23746263649337412,131.81728890248047,-0.06134624267753992,-0.6570145259938838,-18.462880325768595,0.543677018347031,3.728906252,1.089648433,-10.825,3.236328127
4,7.075515119,-4.13446321,12.76822997,14.93613816,-0.3415195098,83.07872693,99.86242893,133.31573741,-0.2350942318722392,131.77773530411145,-0.06130061666326877,-0.6132135575942915,-18.525863592713772,0.5451639630452892,4.046875003,0.4655761676,-10.7265625,3.521484376
5,7.086309034,-4.131545612,12.76767299,14.9384834,-0.3425151922,83.09006425,99.91641738,133.33734350999998,-0.2355256050288821,131.8188816717635,-0.06134624267753992,-0.6570145259938838,-18.590707960660037,0.5461496345063839,4.432031253,-0.1556640668,-10.725,3.609765626
6,7.097102949,-4.128628014,12.76711602,14.94082863,-0.3435108746,83.10140157,99.97040583,133.35894960000002,-0.23652522935779818,131.81967805640505,-0.061325503581379545,-0.7002845735643901,-18.65733079988019,0.5466187011019019,4.817187503,-0.7769043012,-10.7234375,3.698046876
7,7.107896864,-4.125710416,12.76655904,14.94317386,-0.3445065571,83.11273889,100.0243943,133.38055569,-0.17213448752973157,131.8207398980632,-0.11649979161399932,-0.6981608902480462,-18.725640515488546,0.5465585655024094,5.202343753,-1.398144536,-10.721875,3.786328126
8,7.118690779,-4.122792819,12.76600206,14.9455191,-0.3455022395,83.12407621,100.0783827,133.40216178,-0.17151231464492014,131.77906260278627,-0.11650186552497452,-0.6562181447502549,-18.795536581836625,0.5459594970836971,5.587500003,-2.01938477,-10.7203125,3.874609376
9,7.129484694,-4.119875221,12.76544508,14.94786433,-0.3464979219,83.13541353,100.1323712,133.42376787,-0.1717238534828406,131.79764483860006,-0.11649979161399932,-0.6981608902480462,-18.86690962850632,0.5448147388984633,5.972656253,-2.640625003,-10.71875,3.962890626
10,7.140297269,-4.116313005,12.7643496,14.95005311,-0.34761705,83.14203095,100.1666727,133.44156887,-0.23455501529051986,131.78012444444445,-0.11798885862045533,-0.7427582398912674,-18.93964158062103,0.5431205879964508,6.453125003,-3.002343753,-10.6890625,4.041406251
11,7.151109845,-4.112750789,12.76325411,14.95224189,-0.3487361781,83.14864837,100.2009742,133.45936986,-0.23393284254162422,131.73818170574242,-0.118117441019368,-0.6970990485898743,-19.013605855743634,0.5408764485039995,6.933593753,-3.364062503,-10.659375,4.119921876
12,7.16192242,-4.109188573,12.76215862,14.95443066,-0.3498553062,83.15526579,100.2352757,133.47717086,-0.29270328956846753,131.7132284199796,-0.11874168777437988,-0.7018773360516479,-19.088667619128465,0.5380848574837745,7.414062503,-3.725781253,-10.6296875,4.198437501
13,7.172734995,-4.105626357,12.76106313,14.95661944,-0.3509744343,83.16188321,100.2695772,133.49497186,-0.29224288168535506,131.6304047706422,-0.11648112642881413,-0.6997536527353041,-19.16468409857799,0.5347514840242186,7.894531253,-4.087500003,-10.6,4.276953126
14,7.18354757,-4.102064141,12.75996764,14.95880821,-0.3520935624,83.16850063,100.3038788,133.51277285999998,-0.3537011154604145,131.6304047706422,-0.061281951478083595,-0.6145408596670064,-19.241504959661803,0.5308851021582297,8.375000004,-4.449218752,-10.5703125,4.35546875
15,7.194248224,-4.097843459,12.75840986,14.96080728,-0.3532564253,83.17052402,100.3163277,133.52649894,-0.41246326687054025,131.58686926265716,-0.0612549906625892,-0.7448819232076113,-19.318972741626794,0.526497538163839,8.975000004,-4.672656252,-10.63125,4.31875
16,7.204948878,-4.093622778,12.75685207,14.96280635,-0.3544192882,83.17254741,100.3287766,133.54022502,-0.531468341148488,131.51970778117567,-0.06118862555215766,-0.7446164627930683,-19.396923353971317,0.5216035927775697,9.575000004,-4.896093752,-10.6921875,4.28203125
17,7.215649532,-4.089402096,12.75529428,14.96480542,-0.3555821512,83.1745708,100.3412255,133.55395111,-0.5308461683995923,131.47829595650697,-0.0612549906625892,-0.7448819232076113,-19.475186633303494,0.5162209390255758,10.175,-5.119531252,-10.753125,4.2453125
18,7.226350186,-4.085181414,12.7537365,14.96680448,-0.3567450141,83.17659418,100.3536745,133.56767718999998,-0.6522486820251444,131.43555683316345,-0.06289337915052667,-0.6976299694189603,-19.55358695965839,0.5103699967418733,10.775,-5.342968752,-10.8140625,4.20859375
19,7.23705084,-4.080960733,12.75217871,14.96880355,-0.357907877,83.17861757,100.3661234,133.58140328000002,-0.8312104796466191,131.34875127421,-0.06120936464831804,-0.701346415222562,-19.631943930877583,0.504073785271832,11.375,-5.566406253,-10.875,4.171874999
20,7.247535106,-4.076070667,12.75024564,14.97059447,-0.3590316899,83.17629339,100.3559319,133.59092631,-0.8319612347944274,131.28981906897724,-0.11798885862045533,-0.7427582398912674,-19.71007309300902,0.49735775623213785,12.003125,-5.994531253,-10.7875,4.035156249
21,7.258019373,-4.071180601,12.74831258,14.97238539,-0.3601555028,83.17396921,100.3457405,133.60044935,-0.8928678086306491,131.34875127421,-0.06290374870540265,-0.6148063200815495,-19.7877867240559,0.4902496084571757,12.63125,-6.422656253,-10.7,3.898437499
