Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
0,-2.573834323,55.66108706,-23.66052511,65.3171095,2.72444881,-3.528492179,2.776194681,0.7194054064,-4.959973489,0.2202771782,449.1035156,451.1464844,900.25,-0.0,-0.0,0.0
1,-2.572367319,55.71250482,-23.61882858,65.33483484,2.721685862,-3.533858542,2.775770389,0.7193586139,-4.96252842,0.2212831926,449.1035156,450.5507813,899.6542969,-0.42429200000038136,1.0060144000000049,17.72533999999837
2,-2.570900314,55.76392258,-23.57713205,65.35256017,2.718922914,-3.539224905,2.775346097,0.7193118214,-4.96508335,0.2222892071,449.9941406,451.1601563,901.1542969,-0.4242919999999373,1.0060144999999854,17.725330000004647
3,-2.56943331,55.81534034,-23.53543552,65.3702855,2.716159966,-3.544591268,2.774921805,0.7192650288,-4.96763828,0.2232952215,450.046875,450.2246094,900.2714844,-0.4242919999999373,1.0060144000000049,17.725329999990436
4,-2.567966306,55.8667581,-23.49373899,65.38801083,2.713397018,-3.549957631,2.774497513,0.7192182363,-4.97019321,0.224301236,450.03125,449.7929688,899.8242188,-0.4242919999999373,1.0060144999999854,17.725330000004647
5,-2.566499302,55.91817586,-23.45204246,65.40573616,2.71063407,-3.555323994,2.774073221,0.7191714438,-4.97274814,0.2253072504,450.6738281,449.4941406,900.1679688,-0.4242919999999373,1.0060144000000049,17.725330000004647
6,-2.564879916,55.96856561,-23.41080683,65.4233956,2.707940211,-3.560749477,2.773593894,0.7192542901,-4.97541918,0.2264145165,451.6289063,449.1796875,900.8085938,-0.4793270000003069,1.107266100000004,17.659440000002746
7,-2.56326053,56.01895536,-23.3695712,65.44105504,2.705246353,-3.56617496,2.773114568,0.7193371363,-4.97809022,0.2275217827,451.6289063,449.3085938,900.9375,-0.4793259999997801,1.1072662000000122,17.659439999988535
8,-2.561641145,56.06934511,-23.32833557,65.45871449,2.702552494,-3.571600443,2.772635241,0.7194199826,-4.980761259,0.2286290488,452.2480469,448.5742188,900.8222656,-0.47932699999986284,1.107266100000004,17.65945000001068
9,-2.560021759,56.11973486,-23.28709994,65.47637393,2.699858635,-3.577025926,2.772155915,0.7195028289,-4.983432299,0.2297363149,452.5996094,448.265625,900.8652344,-0.4793260000002242,1.1072660999999762,17.659439999988535
