Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
0,0.2721932976,55.60220503,-25.43921619,63.348967,0.609823701,-5.90913936,-0.1340128416,-0.439647149,-7.378805594,0.1269231764,490.7207031,401.0644531,891.7851563,-0.0,-0.0,0.0,0.0
1,0.2706876609,55.58189554,-25.46135712,63.34260461,0.6071677217,-5.913229331,-0.1328570698,-0.4369582598,-7.382003325,0.1266493986,491.0488281,401.3730469,892.421875,1.1557717999999828,-0.2737778000000135,-6.362389999999607,265.6743999999662
2,0.2691484557,55.56220629,-25.48313724,63.33633203,0.6044951868,-5.917422194,-0.1316686882,-0.43422591,-7.385298362,0.1263753872,491.34375,401.3730469,892.7167969,1.1883816000000103,-0.274011399999996,-6.272580000000971,-65.81659999994827
3,0.2676092506,55.54251704,-25.50491735,63.33005945,0.601822652,-5.921615057,-0.1304803067,-0.4314935601,-7.388593399,0.1261013758,492.0117188,400.7636719,892.7753906,1.188381500000002,-0.274011399999996,-6.272580000000971,107.41859999995995
4,0.2660700455,55.52282778,-25.52669746,63.32378687,0.5991501172,-5.925807919,-0.1292919252,-0.4287612103,-7.391888437,0.1258273643,491.9980469,400.6347656,892.6328125,1.188381500000002,-0.2740115000000043,-6.272580000000971,-78.43709999997373
5,0.2645308404,55.50313853,-25.54847758,63.31751429,0.5964775824,-5.930000782,-0.1281035436,-0.4260288604,-7.395183474,0.1255533529,492.296875,401.0644531,893.3613281,1.1883815999999825,-0.274011399999996,-6.272580000000971,400.5349000000251
6,0.2629916352,55.48344927,-25.57025769,63.31124171,0.5938050476,-5.934193645,-0.1269151621,-0.4232965106,-7.398478511,0.1252793415,492.5996094,400.7519531,893.3515625,1.188381500000002,-0.274011399999996,-6.272580000000971,-136.32940000002236
7,0.2613990713,55.46437795,-25.59168249,63.30505478,0.5911265514,-5.938500912,-0.125678957,-0.4205231486,-7.401871911,0.125000516,493.2480469,400.7519531,894.0,1.2362050999999985,-0.2788254999999962,-6.18692999999837,402.67740000001595
8,0.2598065074,55.44530662,-25.61310729,63.29886785,0.5884480553,-5.94280818,-0.1244427519,-0.4177497867,-7.40526531,0.1247216905,493.2480469,400.4492188,893.6972656,1.2362051000000123,-0.27882550000001005,-6.18692999999837,164.79559999993398
9,0.2582139435,55.42623529,-25.63453208,63.29268093,0.5857695592,-5.947115447,-0.1232065468,-0.4149764247,-7.40865871,0.124442865,493.578125,400.4492188,894.0273438,1.2362050999999985,-0.2788254999999962,-6.186919999997542,-72.31309999997393
