Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
0,-0.1755162218,-13.0031144,-31.0126815,-14.10707844,-30.66772725,-104.9785456,-2.797266651,179.7805046118,1.3028032762487258,114.76451006261831,-0.2543020407747197,0.557466870540265,-4.351695873576086,-3.9600537560900184,9.0828125,9.3984375,9.4078125,9.2515625
1,-0.1751462813,-12.97073066,-31.05460863,-14.07731354,-30.71142278,-104.8967831,-2.784584835,179.7798654039,1.3021366624435706,114.80916430755788,-0.25427982029998547,0.5108216834134265,-4.414106234769117,-3.9590379263506805,8.9203125,9.140625,9.309375,9.059375
2,-0.1747763408,-12.93834692,-31.09653575,-14.04754864,-30.75511831,-104.8150206,-2.771903019,179.779226196,1.366011593272171,114.89847276831222,-0.254275376292413,0.46588302752293576,-4.477281941636774,-3.957878571639692,8.7578125,8.8828125,9.2109375,8.8671875
3,-0.1744102739,-12.90733612,-31.13712474,-14.01905254,-30.7973735,-104.7388195,-2.760051446,179.7786140168,1.4319708032619776,114.83931301878549,-0.25425315581767877,0.41923784039609724,-4.54112984552417,-3.9565974067068312,8.5328125,8.66953125,9.028125,8.565625
4,-0.174044207,-12.87632533,-31.17771374,-13.99055645,-30.8396287,-104.6626185,-2.748199873,179.7780018375,1.431726378185525,114.88339841269838,-0.25425315581767877,0.41923784039609724,-4.605556493049533,-3.9552170920490948,8.3078125,8.45625,8.8453125,8.2640625
5,-0.1736781401,-12.84531453,-31.21830273,-13.96206035,-30.8818839,-104.5864175,-2.736348301,179.7773896582,1.4282777629241297,114.95421945536623,-0.3116997080238823,0.4212287935051696,-4.670468579860377,-3.9537609935900204,8.0828125,8.24296875,8.6625,7.9625
6,-0.1733120732,-12.81430373,-31.25889173,-13.93356426,-30.92413909,-104.5102165,-2.724496728,179.7767774789,1.4900950793650791,114.99745158002037,-0.31170415203145474,0.4661674493956604,-4.735773392953701,-3.952252940618949,7.8578125,8.0296875,8.4796875,7.6609375
7,-0.1729460064,-12.78329294,-31.29948072,-13.90506816,-30.96639429,-104.4340155,-2.712645155,179.7761652996,1.4917260608708314,115.04409676714722,-0.2525843993010048,0.4189534185233726,-4.801379238513837,-3.9507169861162326,7.6328125,7.81640625,8.296875,7.359375
8,-0.1725826954,-12.75341766,-31.33902441,-13.87760243,-31.00748814,-104.3629005,-2.701566668,179.775577067,1.5550010397553515,114.93886068152031,-0.252606619775739,0.4655986056502111,-4.867195852295277,-3.9491771732379495,7.39140625,7.5765625,8.0078125,7.2078125
9,-0.1722193845,-12.72354239,-31.3785681,-13.8501367,-31.04858199,-104.2917855,-2.69048818,179.7749888343,1.5532100698995193,115.07197011795544,-0.252606619775739,0.4655986056502111,-4.9331347898436215,-3.947657311048902,7.15,7.33671875,7.71875,7.05625
10,-0.1718560736,-12.69366711,-31.41811179,-13.82267097,-31.08967585,-104.2206704,-2.679409692,179.7744006016,1.552134600262123,115.07282337265181,-0.252606619775739,0.4655986056502111,-4.999109794354899,-3.946180761695893,6.90859375,7.096875,7.4296875,6.9046875
11,-0.1714927626,-12.66379184,-31.45765548,-13.79520524,-31.1307697,-104.1495554,-2.668331205,179.773812369,1.6838308154943933,115.16497605941458,-0.254275376292413,0.46588302752293576,-5.065037140597104,-3.944770240283057,6.6671875,6.85703125,7.140625,6.753125
12,-0.1711294517,-12.63391657,-31.49719916,-13.76773951,-31.17186355,-104.0784404,-2.657252717,179.7732241363,1.6166494801223241,115.2540001164992,-0.254275376292413,0.46588302752293576,-5.130835953915493,-3.9434476278608055,6.42578125,6.6171875,6.8515625,6.6015625
13,-0.1707676455,-12.60490363,-31.53609196,-13.74103537,-31.21217932,-104.0118219,-2.646871765,179.772655666,1.7452437192369303,115.30064530362603,-0.19518006611329547,0.5102528396679773,-5.1964285038459845,-3.942233797241463,6.08515625,6.21796875,6.41875,6.24375
14,-0.1704058394,-12.5758907,-31.57498475,-13.71433123,-31.25249509,-103.9452034,-2.636490812,179.7720871956,1.7441682495995339,115.30121414009027,-0.19513562516382696,0.6021211045580311,-5.26174047220861,-3.9411484508999926,5.74453125,5.81875,5.9859375,5.8859375
15,-0.1700440332,-12.54687776,-31.61387755,-13.68762708,-31.29281086,-103.8785849,-2.62610986,179.7715187252,1.74130625455075,115.43517684578417,-0.19518006611329547,0.5102528396679773,-5.326701195674526,-3.9402099700810376,5.40390625,5.41953125,5.553125,5.528125
16,-0.169682227,-12.51786483,-31.65277034,-13.66092294,-31.33312663,-103.8119664,-2.615728907,179.7709502549,1.7403952162516383,115.52391647007425,-0.19513118101063054,0.5571824486675403,-5.39124388272834,-3.9394352744018053,5.06328125,5.0203125,5.1203125,5.1703125
17,-0.1693204208,-12.4888519,-31.69166313,-13.6342188,-31.3734424,-103.7453479,-2.605347955,179.7703817845,1.8082742726081256,115.61407820008736,-0.2542487116644823,0.5594578236493374,-5.4553058048645395,-3.9388396916261277,4.72265625,4.62109375,4.6875,4.8125
18,-0.1689586965,-12.46039219,-31.730376,-13.60797784,-31.41344307,-103.6825331,-2.595570254,179.7698279161,1.8694871923693024,115.70537761759138,-0.25594857681665933,0.6089472295034222,-5.518828461945182,-3.938436837781963,4.26953125,4.2703125,4.266796875,4.324609375
19,-0.1685969722,-12.43193249,-31.76908887,-13.58173689,-31.45344375,-103.6197183,-2.585792554,179.7692740476,1.931633372651813,115.68888115625452,-0.2559530209698558,0.6538858853939128,-5.581757721917068,-3.9382385083255844,3.81640625,3.91953125,3.84609375,3.83671875
20,-0.1682352478,-12.40347278,-31.80780174,-13.55549593,-31.49344442,-103.5569035,-2.576014854,179.7687201792,1.9311000815494392,115.8407624290083,-0.31324402985291977,0.6055341670307266,-5.644043935401605,-3.9382545816076675,3.36328125,3.56875,3.425390625,3.348828125
21,-0.1678735235,-12.37501308,-31.84651461,-13.52925498,-31.5334451,-103.4940887,-2.566237154,179.7681663108,1.9961660288335519,116.03672911023737,-0.3116263803698849,0.6035432139216542,-5.705642025897295,-3.9384929364955763,2.91015625,3.21796875,3.0046875,2.8609375
22,-0.1675117992,-12.34655337,-31.88522748,-13.50301402,-31.57344577,-103.4312739,-2.556459454,179.7676124424,1.9938417693315855,116.01881052861512,-0.3116241584389107,0.5586045580311635,-5.766511556432745,-3.938959386590294,2.45703125,2.8671875,2.583984375,2.373046875
23,-0.1671481142,-12.31830594,-31.92427129,-13.47691009,-31.61363776,-103.3714901,-2.547173683,179.7670670063,2.05612127129751,116.10954110965488,-0.31324402985291977,0.6055341670307266,-5.826616773507087,-3.93965763381874,2.077929687,2.362792969,2.257324219,2.029394531
24,-0.1667844293,-12.2900585,-31.96331509,-13.45080615,-31.65382974,-103.3117062,-2.537887912,179.7665215702,2.120711700888306,116.09105367700596,-0.2524155238095238,0.6954114788117081,-5.885926629129764,-3.9405892440570325,1.698828125,1.858398437,1.930664062,1.685742187
25,-0.1664207443,-12.26181107,-32.00235889,-13.42470222,-31.69402173,-103.2519224,-2.528602141,179.7659761341,2.1193429197611766,116.22387869520895,-0.311577495412844,0.6504728229212174,-5.9444147818086375,-3.9417536468659278,1.319726562,1.354003906,1.604003906,1.342089844
26,-0.1660570594,-12.23356363,-32.0414027,-13.39859828,-31.73421371,-103.1921386,-2.519316371,179.765430698,2.121098336973933,116.37746650648026,-0.31153083253240127,0.6974024319207804,-6.002059577462417,-3.943148160623822,0.9406249999,0.8496093748,1.27734375,0.9984374999
27,-0.1656933744,-12.2053162,-32.0804465,-13.37249434,-31.77440569,-103.1323547,-2.5100306,179.764885262,2.2496881316440946,116.42411169360709,-0.3115086120576671,0.6510416666666666,-6.058844011399216,-3.944768043491074,0.5615234374,0.3452148436,0.9506835936,0.6547851561
28,-0.1653253661,-12.17691456,-32.12033411,-13.34617781,-31.81530155,-103.0747813,-2.501111742,179.7643422008,2.249021517402068,116.46876592398428,-0.31310404092034366,0.6032587920489296,-6.114755672634492,-3.9466065697182557,0.1843749999,0.0587890624,0.5806640624,0.2734374999
29,-0.1649573577,-12.14851293,-32.16022172,-13.31986128,-31.85619741,-103.0172079,-2.492192884,179.7637991397,2.3756248041357213,116.60443516819572,-0.31490834221639724,0.6069562763943498,-6.169786671874504,-3.9486551297846475,-0.1927734376,-0.2276367189,0.2106445311,-0.1079101564
30,-0.1645893494,-12.12011129,-32.20010932,-13.29354475,-31.89709327,-102.9596345,-2.483274026,179.7632560786,2.374958189893694,116.64880498034076,-0.31486167919033053,0.6991089631571282,-6.2239335544638905,-3.9509033518373107,-0.5699218751,-0.5140625001,-0.1593750001,-0.4892578126
31,-0.164221341,-12.09170965,-32.23999693,-13.26722822,-31.93798913,-102.9020611,-2.474355168,179.7627130174,2.438357603028979,116.65108035532255,-0.31486167919033053,0.6991089631571282,-6.277197199534377,-3.9533392411386576,-0.9470703126,-0.8004882814,-0.5293945314,-0.8706054689
32,-0.1638533326,-12.06330802,-32.27988454,-13.24091169,-31.97888499,-102.8444877,-2.46543631,179.7621699563,2.503156905490025,116.63202408620938,-0.31660376321537786,0.7468918377748652,-6.329582706569238,-3.955949333924402,-1.32421875,-1.086914063,-0.8994140626,-1.251953125
