Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque X,Front Torque Y,Back Torque X,Back Torque Y
0,8.353103195,24.21181419,83.74606178,133.75469236,-7.332076473,27.68728007,-0.7310461987,7.482738927,5.40390625,-16.371875,-39.95625,-82.3625,-28.70968628,109.4316711,691.2988281,0.2254943848,-3.044921875,27.53317261,694.34375,3.031173706,-1.041114807,-117.1009521,19.83932495
1,8.337587471,24.19551954,83.79846376,133.75531327,-7.344867214,27.69412262,-0.7441918,7.501699802,5.44765625,-16.175,-39.85625,-82.1375,-28.70864868,110.7283936,691.3261719,0.2254943848,-3.044921875,27.53213501,694.3710938,3.031173706,-1.041114807,-117.0999756,19.90646362
2,8.322071746,24.1792249,83.85086574,133.75593418,-7.357657955,27.70096517,-0.7573374013,7.520660676,5.49140625,-15.978125,-39.75625,-81.9125,-28.73260498,110.318161,691.0449219,0.6357269287,-3.326171875,27.53213501,694.3710938,3.240158081,-0.8948745728,-117.0999756,19.90646362
3,8.306556022,24.16293026,83.90326772,133.75655508,-7.370448695,27.70780772,-0.7704830026,7.539621551,5.53515625,-15.78125,-39.65625,-81.6875,-28.61184692,110.9347839,692.09375,0.6242675781,-3.326171875,27.97476196,695.4199219,3.211837769,-0.9280776978,-116.869751,19.89865112
4,8.291462543,24.14683366,83.95503271,133.75662429,-7.382767943,27.71460229,-0.783704151,7.558484581,5.46171875,-15.45625,-39.55625,-81.125,-29.17523193,110.9233246,692.09375,0.6357269287,-3.326171875,27.97476196,695.4199219,3.240158081,-0.8948745728,-116.869751,19.89865112
5,8.276369064,24.13073705,84.00679769,133.75669349999998,-7.395087191,27.72139685,-0.7969252994,7.577347611,5.38828125,-15.13125,-39.45625,-80.5625,-28.6022644,110.9109344,692.0664063,0.6481170654,-3.353515625,27.97476196,695.4199219,3.25920105,-0.9271011353,-116.869751,19.89865112
6,8.261275585,24.11464044,84.05856268,133.75676271,-7.407406439,27.72819141,-0.8101464479,7.596210641,5.31484375,-14.80625,-39.35625,-80.0,-28.19894409,111.5218811,692.8261719,0.6242675781,-3.326171875,27.56185913,696.1523438,3.211837769,-0.9280776978,-116.8197021,19.96517944
7,8.246182107,24.09854384,84.11032766,133.75683191000002,-7.419725687,27.73498598,-0.8233675963,7.615073671,5.24140625,-14.48125,-39.25625,-79.4375,-28.28155518,111.9627075,692.6679688,0.2255249023,-3.353515625,27.10400391,696.0214844,3.223556519,-0.893409729,-116.9078369,19.78939819
8,8.231088628,24.08244723,84.16209265,133.75690112,-7.432044934,27.74178054,-0.8365887447,7.633936701,5.16796875,-14.15625,-39.15625,-78.875,-28.73852539,111.924942,693.4296875,0.2250213623,-3.025390625,27.56018066,696.4550781,3.013595581,-0.7386245728,-116.6741943,19.8921814
9,8.216521239,24.06649447,84.21320522,133.75641849,-7.443875847,27.74854195,-0.8498237036,7.65272036,5.0328125,-13.7921875,-39.1625,-78.475,-28.30725098,112.544754,694.0488281,0.2248382568,-2.3984375,27.11889648,696.4472656,3.017745972,-1.03818512,-116.4022217,19.78427124
