Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
0,-1.479382849,89.12290583,-0.738644638,83.31764818,4.841280846,-9.051526283,2.121325156,0.803891327,1.630378619,0.499924341,470.4023438,245.3222656,715.7246094,-0.0,-0.0,0.0,0.0
1,-1.481727041,89.11882859,-0.742092973,83.3172715,4.838728373,-9.050434395,2.125245288,0.804010867,1.631226708,0.501506308,472.6582031,243.9746094,716.6328125,3.920131999999743,1.581966999999962,-0.37668000000223856,1191.7742000000544
2,-1.484071232,89.11475135,-0.745541307,83.31689482,4.836175901,-9.049342506,2.12916542,0.804130408,1.632074797,0.503088274,472.9804688,243.5429688,716.5234375,3.920132000000187,1.5819660000000457,-0.37668000000223856,-50.701799999956165
3,-1.486433974,89.11055967,-0.749086975,83.31629445,4.833720456,-9.048333572,2.133019645,0.804378912,1.63287294,0.504559865,474.9160156,242.5136719,717.4296875,3.854224999999989,1.4715910000000498,-0.6003700000007939,852.3045999999113
4,-1.488796717,89.106368,-0.752632642,83.31569407,4.831265012,-9.047324638,2.13687387,0.804627415,1.633671082,0.506031456,476.1855469,240.9941406,717.1796875,3.854224999999989,1.4715909999999388,-0.6003799999945159,499.71690000006674
5,-1.491159459,89.10217632,-0.75617831,83.31509369,4.828809568,-9.046315703,2.140728095,0.804875919,1.634469224,0.507503048,476.8554688,240.6796875,717.5351563,3.854224999999989,1.4715920000000215,-0.6003800000087267,34.390700000017205
6,-1.493522202,89.09798465,-0.759723977,83.31449331,4.826354123,-9.045306769,2.14458232,0.805124422,1.635267366,0.508974639,479.0820313,239.6386719,718.7207031,3.854224999999989,1.4715909999999388,-0.6003799999945159,1030.34439999999
7,-1.495884944,89.09379297,-0.763269645,83.31389293,4.823898679,-9.044297835,2.148436545,0.805372926,1.636065508,0.51044623,480.7148438,238.6035156,719.3183594,3.854224999999989,1.4715910000000498,-0.6003800000087267,310.31289999998535
8,-1.498278147,89.08946124,-0.76693377,83.31303883,4.821546578,-9.043359382,2.152213801,0.805723063,1.636812135,0.511789437,481.0234375,237.8691406,718.8925781,3.7772559999997846,1.343207000000013,-0.8540999999979704,-171.6850999999906
9,-1.500671349,89.08512951,-0.770597896,83.31218474,4.819194477,-9.042420929,2.155991056,0.806073199,1.637558761,0.513132644,482.6230469,236.9433594,719.5664063,3.777255000000146,1.343207000000013,-0.8540899999900375,722.0724000000018
10,-1.503064552,89.08079778,-0.774262022,83.31133065,4.816842376,-9.041482476,2.159768312,0.806423336,1.638305388,0.514475851,484.8945313,235.8847656,720.7792969,3.7772560000002287,1.343207000000013,-0.8540900000042484,1387.435699999969
11,-1.505457754,89.07646605,-0.777926147,83.31047656,4.814490275,-9.040544023,2.163545567,0.806773472,1.639052015,0.515819058,485.8574219,235.2792969,721.1367188,3.777254999999702,1.343207000000013,-0.8540900000042484,104.71800000004805
12,-1.507850957,89.07213432,-0.781590273,83.30962246,4.812138174,-9.03960557,2.167322823,0.807123609,1.639798641,0.517162264,487.1699219,234.2363281,721.40625,3.7772560000002287,1.3432059999999302,-0.8540999999979704,241.09929999997348
13,-1.510290767,89.06763623,-0.785394547,83.30848149,4.809894281,-9.038724251,2.171012702,0.807545009,1.640494628,0.518355991,488.4296875,232.1582031,720.5878906,3.6898789999999515,1.1937269999999778,-1.1409699999944678,742.6100000000133
14,-1.512730577,89.06313814,-0.789198822,83.30734051,4.807650388,-9.037842931,2.174702582,0.807966408,1.641190615,0.519549717,489.3925781,231.8535156,721.2460938,3.6898800000000342,1.193726000000006,-1.1409800000024006,124.64719999991303
15,-1.515170387,89.05864006,-0.793003096,83.30619954,4.805406495,-9.036961612,2.178392462,0.808387808,1.641886602,0.520743443,491.03125,230.9433594,721.9746094,3.6898800000000342,1.193726000000006,-1.1409700000086787,800.0779000000193
16,-1.517610198,89.05414197,-0.79680737,83.30505856,4.803162601,-9.036080292,2.182082342,0.808809207,1.642582588,0.521937169,493.28125,229.5976563,722.8789063,3.6898800000000342,1.193726000000006,-1.1409799999881898,592.969700000026
17,-1.520050008,89.04964389,-0.800611645,83.30391759,4.800918708,-9.035198973,2.185772221,0.809230607,1.643278575,0.523130895,493.9238281,228.9824219,722.90625,3.6898789999999515,1.193726000000006,-1.1409700000086787,276.38309999997546
18,-1.522555703,89.04495542,-0.804575887,83.30245447,4.798786832,-9.034362367,2.189364989,0.809692012,1.643929469,0.524151642,495.5195313,227.6289063,723.1484375,3.5927679999998574,1.0207469999999885,-1.4631199999968203,576.7497000000503
19,-1.525061399,89.04026696,-0.80854013,83.30099136,4.796654956,-9.03352576,2.192957756,0.810153417,1.644580364,0.525172388,496.8085938,226.5722656,723.3808594,3.5927670000002188,1.0207460000000168,-1.4631100000030983,304.60809999999583
20,-1.527567094,89.0355785,-0.812504373,83.29952824,4.79452308,-9.032689154,2.196550523,0.810614821,1.645231258,0.526193135,497.7460938,225.6738281,723.4199219,3.5927669999997747,1.0207469999999885,-1.4631199999968203,721.0315999999466
21,-1.530072789,89.03089004,-0.816468616,83.29806512,4.792391204,-9.031852547,2.200143291,0.811076226,1.645882153,0.527213881,499.0566406,224.3300781,723.3867188,3.5927679999998574,1.0207460000000168,-1.4631199999968203,178.44690000003993
22,-1.532578485,89.02620157,-0.820432858,83.29660201,4.790259328,-9.031015941,2.203736058,0.811537631,1.646533047,0.528234628,501.3261719,222.6582031,723.984375,3.5927670000002188,1.0207469999999885,-1.4631100000030983,769.2739000000302
23,-1.535173037,89.02130382,-0.824572671,83.29477996,4.788243221,-9.03021312,2.207223647,0.812009904,1.64714928,0.529056361,501.9550781,221.9199219,723.875,3.487589000000124,0.8217329999999912,-1.8220500000012407,660.9046999999464
