Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
0,-1.324937208,89.37689234,-0.6957464191,36.63494151,9.42571291,-13.28316546,1.570827665,-0.5453141176,-3.207902329,0.342821191,182.6015625,426.8007813,609.4023438,-0.0,-0.0,0.0,0.0
1,-1.322531029,89.38332285,-0.6887381873,36.63615822,9.427397719,-13.28592264,1.568036816,-0.5459697346,-3.208467794,0.3425743645,182.9453125,426.7851563,609.7304688,-2.7908489999999286,-0.24682650000001916,1.216710000001342,819.7719000000916
2,-1.32012485,89.38975336,-0.6817299555,36.63737493,9.429082528,-13.28867982,1.565245968,-0.5466253516,-3.20903326,0.3423275381,184.8652344,425.75,610.6152344,-2.790848000000068,-0.24682640000001088,1.216710000001342,1512.858499999993
3,-1.317563605,89.39609851,-0.6747920941,36.63846784,9.430691145,-13.29121099,1.562025816,-0.5469705418,-3.209620371,0.3417491511,185.8554688,425.1445313,611.0,-3.2201519999999206,-0.5783870000000135,1.0929099999970049,403.3989999999221
4,-1.315002359,89.40244366,-0.6678542327,36.63956076,9.432299762,-13.29374216,1.558805664,-0.5473157319,-3.210207482,0.341170764,186.8242188,424.8320313,611.65625,-3.2201519999999206,-0.5783870999999663,1.0929200000049377,552.0698999999922
5,-1.312441113,89.40878881,-0.6609163713,36.64065368,9.433908379,-13.29627333,1.555585512,-0.547660922,-3.210794594,0.340592377,187.1445313,424.8320313,611.9765625,-3.2201520000001427,-0.5783870000000135,1.0929199999978323,-784.3368999999711
6,-1.309879867,89.41513396,-0.6539785099,36.64174659,9.435516996,-13.2988045,1.55236536,-0.5480061121,-3.211381705,0.3400139899,188.7695313,423.7890625,612.5585938,-3.2201519999999206,-0.5783871000000218,1.0929099999970049,969.3815000000541
7,-1.307318621,89.42147911,-0.6470406485,36.64283951,9.437125613,-13.30133567,1.549145208,-0.5483513022,-3.211968817,0.3394356029,189.4375,423.1835938,612.6210938,-3.2201519999999206,-0.578386999999958,1.0929200000049377,119.77679999995416
8,-1.304613739,89.4276054,-0.6403241432,36.64376592,9.438655236,-13.30364805,1.545493364,-0.5483729343,-3.212600015,0.3385091532,190.6738281,422.1425781,612.8164063,-3.6518440000001817,-0.9264496999999983,0.9264099999981568,1320.8415999999943
9,-1.301908857,89.4337317,-0.633607638,36.64469234,9.440184859,-13.30596043,1.541841519,-0.5483945665,-3.213231213,0.3375827035,191.6386719,421.4023438,613.0410156,-3.6518449999998204,-0.9264496999999983,0.9264199999989842,-1.891900000032365
10,-1.299203976,89.43985799,-0.6268911327,36.64561875,9.441714482,-13.3082728,1.538189675,-0.5484161987,-3.213862412,0.3366562538,192.265625,421.0917969,613.3574219,-3.6518440000001817,-0.9264496999999983,0.9264099999981568,-17.288599999915277
11,-1.296499094,89.44598429,-0.6201746274,36.64654517,9.443244104,-13.31058518,1.53453783,-0.5484378308,-3.21449361,0.3357298042,193.2207031,420.46875,613.6894531,-3.6518449999998204,-0.9264496000000455,0.9264200000060896,725.3038999999717
12,-1.293794212,89.45211059,-0.6134581222,36.64747158,9.444773727,-13.31289756,1.530885986,-0.548459463,-3.215124809,0.3348033545,193.9023438,419.5507813,613.453125,-3.6518440000001817,-0.9264496999999983,0.9264099999981568,-342.7549000000454
13,-1.290960077,89.45788846,-0.6071103503,36.64818491,9.446225418,-13.31500282,1.526809489,-0.5481500257,-3.215818937,0.3335199286,194.5722656,419.1171875,613.6894531,-4.076497000000012,-1.2834258999999681,0.7133299999964038,-84.56360000002405
14,-1.288125941,89.46366634,-0.6007625785,36.64889824,9.447677108,-13.31710808,1.522732992,-0.5478405884,-3.216513066,0.3322365027,195.8554688,418.0644531,613.9199219,-4.076497000000012,-1.2834259000000237,0.7133300000035092,1291.3693000000421
15,-1.285291806,89.46944421,-0.5944148066,36.64961157,9.449128798,-13.31921334,1.518656495,-0.5475311511,-3.217207194,0.3309530768,197.7539063,417.1523438,614.90625,-4.07649699999979,-1.2834258999999681,0.7133299999964038,887.3236000000588
16,-1.282457671,89.47522209,-0.5880670348,36.6503249,9.450580489,-13.3213186,1.514579998,-0.5472217138,-3.217901323,0.3296696509,198.0859375,416.8476563,614.9335938,-4.076497000000012,-1.2834259000000237,0.7133300000035092,-433.4187000000611
17,-1.279623536,89.48099996,-0.5817192629,36.65103822,9.452032179,-13.32342386,1.510503502,-0.5469122764,-3.218595451,0.328386225,199.7050781,415.796875,615.5019531,-4.0764960000001516,-1.2834259000000237,0.7133199999955764,1832.6472999999623
18,-1.276678202,89.48631064,-0.575876126,36.65148896,9.453410925,-13.32533717,1.506020271,-0.5462697649,-3.219369974,0.3267451818,200.6679688,414.8886719,615.5566406,-4.483231000000032,-1.6410431999999697,0.45074000000511205,583.893400000079
19,-1.273732868,89.49162131,-0.570032989,36.65193969,9.45478967,-13.32725048,1.501537041,-0.5456272533,-3.220144497,0.3251041386,201.3085938,414.1445313,615.453125,-4.483229999999949,-1.6410432000000252,0.4507299999971792,-254.40160000005108
20,-1.270787533,89.49693198,-0.5641898521,36.65239043,9.456168416,-13.3291638,1.49705381,-0.5449847418,-3.22091902,0.3234630954,202.2910156,413.40625,615.6972656,-4.483231000000032,-1.6410431999999697,0.4507399999980066,664.4453000000112
21,-1.267842199,89.50224265,-0.5583467151,36.65284116,9.457547161,-13.33107711,1.49257058,-0.5443422302,-3.221693543,0.3218220522,203.5957031,412.3652344,615.9609375,-4.483229999999949,-1.6410432000000252,0.45073000000428465,148.50699999999506
22,-1.264896865,89.50755332,-0.5525035782,36.6532919,9.458925907,-13.33299042,1.488087349,-0.5436997186,-3.222468066,0.320181009,203.9179688,412.0625,615.9804688,-4.483231000000032,-1.6410431999999697,0.4507399999980066,188.01159999998163
23,-1.2618608,89.51229277,-0.5472848175,36.65342999,9.460239816,-13.33472922,1.483225842,-0.5427270216,-3.223337955,0.3181907928,205.1796875,411.0195313,616.1992188,-4.861506999999987,-1.9902162000000057,0.13809000000009064,763.4145000000672
24,-1.258824735,89.51703222,-0.5420660568,36.65356809,9.461553725,-13.33646802,1.478364335,-0.5417543245,-3.224207845,0.3162005766,206.8066406,409.796875,616.6035156,-4.861506999999987,-1.9902162000000057,0.13810000000091804,1482.0443999999497
25,-1.25578867,89.52177168,-0.5368472961,36.65370619,9.462867634,-13.33820682,1.473502828,-0.5407816274,-3.225077734,0.3142103604,207.4492188,409.0429688,616.4921875,-4.861506999999987,-1.9902162000000057,0.13810000000091804,141.48729999999432
26,-1.252752605,89.52651113,-0.5316285355,36.65384429,9.464181542,-13.33994562,1.468641321,-0.5398089303,-3.225947624,0.3122201442,208.7226563,408.015625,616.7382813,-4.861506999999987,-1.9902162000000057,0.13810000000091804,650.7629000000179
27,-1.24971654,89.53125058,-0.5264097748,36.65398238,9.465495451,-13.34168442,1.463779814,-0.5388362333,-3.226817513,0.310229928,209.6933594,406.6582031,616.3515625,-4.861506999999987,-1.9902162000000057,0.13809000000009064,962.6189000000522
28,-1.246611014,89.53533246,-0.5219155318,36.65376078,9.466754378,-13.34326805,1.458577005,-0.5375401217,-3.227796979,0.3079074602,210.0546875,406.3515625,616.40625,-5.20280900000003,-2.3224678000000054,-0.22160000000326363,-462.36610000005385
29,-1.243505489,89.53941433,-0.5174212887,36.65353918,9.468013304,-13.34485168,1.453374195,-0.5362440102,-3.228776444,0.3055849925,211.6796875,405.0039063,616.6835938,-5.202809999999891,-2.322467699999997,-0.2215999999961582,751.3581000000613
30,-1.240399964,89.54349621,-0.5129270457,36.65331758,9.46927223,-13.34643531,1.448171386,-0.5349478987,-3.22975591,0.3032625248,212.6464844,404.265625,616.9121094,-5.20280900000003,-2.322467699999997,-0.22160000000326363,808.5009999999784
31,-1.237294439,89.54757809,-0.5084328026,36.65309597,9.470531157,-13.34801894,1.442968577,-0.5336517872,-3.230735375,0.300940057,212.9414063,403.9609375,616.9023438,-5.20280900000003,-2.3224678000000054,-0.2216099999969856,145.73859999995875
32,-1.234188913,89.55165997,-0.5039385596,36.65287437,9.471790083,-13.34960258,1.437765768,-0.5323556757,-3.23171484,0.2986175893,214.2148438,402.90625,617.1210938,-5.20280900000003,-2.322467699999997,-0.22160000000326363,659.5376999999871
33,-1.231034468,89.55501638,-0.500248351,36.65225108,9.473004379,-13.35105255,1.432265148,-0.5307460866,-3.232818556,0.2959876649,215.8144531,401.8652344,617.6796875,-5.500620000000067,-2.6299243999999833,-0.6232900000000541,1404.12809999998
