Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
0,-2.305117989,91.2657376,1.522581953,43.20373752,6.498602193,-10.02228289,0.4748934848,-6.369125841,1.151618847,-0.5646699128,319.3847656,296.1386719,615.5234375,-0.0,-0.0,0.0
1,-2.30595846,91.26608408,1.522875989,43.20679532,6.500599695,-10.02362032,0.4762940275,-6.365545676,1.147778104,-0.5650988603,319.3847656,296.5859375,615.9707031,1.400542700000007,-0.4289474999999987,3.0578000000005545
2,-2.30679893,91.26643057,1.523170025,43.20985312,6.502597197,-10.02495775,0.4776945701,-6.361965511,1.143937362,-0.5655278077,319.3710938,296.2851563,615.65625,1.4005425999999987,-0.42894739999999043,3.0578000000005545
3,-2.3076394,91.26677705,1.52346406,43.21291091,6.504594699,-10.02629518,0.4790951128,-6.358385346,1.140096619,-0.5659567552,319.0878906,296.1484375,615.2363281,1.400542700000007,-0.4289474999999987,3.057789999999727
4,-2.308479871,91.26712353,1.523758096,43.21596871,6.506592201,-10.02763261,0.4804956555,-6.354805181,1.136255877,-0.5663857026,318.4316406,295.8457031,614.2773438,1.400542700000007,-0.42894739999999043,3.0578000000005545
5,-2.309320341,91.26747001,1.524052132,43.2190265,6.508589703,-10.02897004,0.4818961981,-6.351225016,1.132415134,-0.5668146501,318.7675781,295.9804688,614.7480469,1.4005425999999987,-0.4289474999999987,3.057789999999727
6,-2.310307046,91.2676261,1.524120161,43.22236775,6.510449807,-10.03029866,0.4833251718,-6.347689458,1.128582914,-0.5673512576,318.7675781,295.9804688,614.7480469,1.4289737000000025,-0.5366075000000636,3.341249999998297
7,-2.311293751,91.26778219,1.524188191,43.22570899,6.512309911,-10.03162728,0.4847541454,-6.3441539,1.124750693,-0.5678878651,318.7285156,295.9804688,614.7089844,1.4289735999999942,-0.5366074999999526,3.341240000004575
8,-2.312280456,91.26793828,1.52425622,43.22905023,6.514170016,-10.0329559,0.486183119,-6.340618342,1.120918472,-0.5684244727,319.0488281,295.9765625,615.0253906,1.4289735999999942,-0.5366075999999609,3.3412399999974696
9,-2.313267161,91.26809436,1.52432425,43.23239147,6.51603012,-10.03428452,0.4876120926,-6.337082784,1.117086252,-0.5689610802,318.4121094,295.5214844,613.9335938,1.4289735999999942,-0.5366075000000636,3.341240000004575
10,-2.314253866,91.26825045,1.524392279,43.23573271,6.517890224,-10.03561315,0.4890410662,-6.333547226,1.113254031,-0.5694976877,318.40625,295.5214844,613.9277344,1.4289735999999942,-0.5366074999999526,3.3412399999974696
11,-2.315334088,91.26820531,1.524221784,43.23927746,6.519607128,-10.03691897,0.4904810992,-6.330048714,1.109446625,-0.5701081059,317.7851563,295.5429688,613.328125,1.4400330000000072,-0.6104182000000735,3.5447499999960996
12,-2.316414311,91.26816016,1.52405129,43.24282221,6.521324032,-10.03822479,0.4919211323,-6.326550203,1.10563922,-0.5707185241,317.4570313,296.2617188,613.71875,1.4400331000000155,-0.6104181999999625,3.544750000003205
13,-2.317494533,91.26811501,1.523880795,43.24636695,6.523040936,-10.03953061,0.4933611654,-6.323051691,1.101831814,-0.5713289423,318.1074219,295.96875,614.0761719,1.4400331000000155,-0.6104181999999625,3.5447400000023777
14,-2.318574755,91.26806986,1.5237103,43.2499117,6.52475784,-10.04083644,0.4948011984,-6.319553179,1.098024409,-0.5719393605,317.7734375,295.9804688,613.7539063,1.4400329999999517,-0.6104182000000735,3.5447499999960996
15,-2.319654978,91.26802471,1.523539806,43.25345645,6.526474743,-10.04214226,0.4962412315,-6.316054668,1.094217003,-0.5725497786,317.4726563,296.2792969,613.7519531,1.4400331000000155,-0.6104180999999542,3.544750000003205
16,-2.32078009,91.26776532,1.523115931,43.25711364,6.528042679,-10.04341331,0.4976810211,-6.312586041,1.090446541,-0.5731983366,317.4726563,296.2792969,613.7519531,1.4397896000000188,-0.6485579999999658,3.6571899999984225
17,-2.321905202,91.26750592,1.522692057,43.26077083,6.529610616,-10.04468436,0.4991208108,-6.309117414,1.086676079,-0.5738468945,316.828125,295.9765625,612.8046875,1.4397896999999715,-0.6485579000000685,3.6571899999984225
18,-2.323030314,91.26724652,1.522268183,43.26442802,6.531178552,-10.04595541,0.5005606004,-6.305648787,1.082905617,-0.5744954525,316.828125,296.4140625,613.2421875,1.4397896000000743,-0.6485579999999658,3.6571899999984225
19,-2.324155426,91.26698712,1.521844309,43.26808521,6.532746488,-10.04722646,0.50200039,-6.30218016,1.079135155,-0.5751440104,316.5214844,296.4140625,612.9355469,1.4397895999999077,-0.6485578999999575,3.657190000005528
20,-2.325280538,91.26672772,1.521420434,43.2717424,6.534314424,-10.0484975,0.5034401797,-6.298711533,1.075364693,-0.5757925684,316.1933594,297.3261719,613.5195313,1.439789700000027,-0.6485580000000768,3.6571899999984225
21,-2.32640842,91.26623982,1.52072706,43.27541357,6.535728382,-10.04972289,0.5048750666,-6.295266637,1.071639555,-0.5764435315,315.8730469,296.8789063,612.7519531,1.434886900000043,-0.6509631000000127,3.6711699999969483
22,-2.327536302,91.26575192,1.520033686,43.27908474,6.53714234,-10.05094827,0.5063099535,-6.291821741,1.067914418,-0.5770944946,316.4941406,297.3261719,613.8203125,1.434886899999932,-0.6509630999999017,3.6711700000040537
23,-2.328664184,91.26526402,1.519340312,43.28275591,6.538556298,-10.05217366,0.5077448405,-6.288376845,1.06418928,-0.5777454578,315.5371094,297.0234375,612.5605469,1.4348870000000513,-0.650963200000021,3.6711699999969483
24,-2.329792067,91.26477612,1.518646938,43.28642708,6.539970257,-10.05339904,0.5091797274,-6.284931949,1.060464142,-0.5783964209,315.5371094,297.0078125,612.5449219,1.434886899999932,-0.6509631000000127,3.6711700000040537
