Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Total Force X,Total Force Y,Total Force Z,Front Force X,Front Force Y,Front Force Z,Back Force X,Back Force Y,Back Force Z,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
0,-0.9523233469,30.44157333,44.81396676,33.39479012,-3.960733386,-5.768699945,1.113598232,2.451671262,-7.404915317,0.2303439019,-11.45861816,12.90313721,730.5761719,-6.630645752,56.44973755,249.75,-69.35287476,4.827972412,480.8261719,1.9630299999999767,6.706431799999995,-1.9579699999994205
1,-0.9469484229,30.43840282,44.82028502,33.39283215,-3.963996404,-5.772272644,1.115561263,2.448497766,-7.396866462,0.2370503338,-12.01812744,12.89135742,731.2050781,-7.190155029,56.46151733,250.3789063,-69.35287476,4.827972412,480.8261719,1.9630310000000595,6.706431900000004,-1.9579700000065259
2,-0.9415734989,30.43523231,44.82660328,33.39087418,-3.967259421,-5.775845344,1.117524293,2.445324271,-7.388817606,0.2437567657,-11.43743896,13.31097412,730.5644531,-6.604888916,56.03988647,250.0429688,-69.3508606,4.832550049,480.5214844,1.9630299999999767,6.706431899999976,-1.9579699999994205
3,-0.9361985749,30.4320618,44.83292154,33.38891621,-3.970522439,-5.779418043,1.119487324,2.442150775,-7.38076875,0.2504631976,-11.41674805,12.49716187,730.5605469,-6.588775635,56.85571289,249.734375,-69.35287476,4.827972412,480.8261719,1.9630310000000595,6.706431900000031,-1.9579699999994205
4,-0.9311004711,30.42827527,44.84005853,33.38661126,-3.97384069,-5.783099943,1.121150009,2.439481045,-7.372855506,0.2566163856,-11.8821106,11.83148193,730.4589844,-6.596984863,56.855896,250.375,-68.68737793,5.285125732,480.0839844,1.662684999999886,6.153187999999976,-2.3049499999956424
5,-0.9260023673,30.42448873,44.84719552,33.38430631,-3.977158941,-5.786781843,1.122812694,2.436811315,-7.364942262,0.2627695737,-11.87384033,12.47229004,729.7285156,-6.596984863,56.855896,250.375,-69.32818604,5.276855469,479.3535156,1.662685000000108,6.153188099999984,-2.304950000002748
6,-0.9209042635,30.4207022,44.8543325,33.38200136,-3.980477192,-5.790463743,1.124475378,2.434141585,-7.357029018,0.2689227618,-11.87542725,11.21902466,729.4257813,-6.608001709,56.85574341,250.6953125,-68.07476807,5.267425537,478.7304688,1.6626840000000254,6.1531881000000395,-2.304950000002748
7,-0.9158061597,30.41691566,44.86146949,33.37969641,-3.983795443,-5.794145643,1.126138063,2.431471855,-7.349115773,0.2750759498,-11.87915039,11.85675049,729.75,-6.619049072,56.85559082,251.015625,-68.71234131,5.260101318,478.734375,1.662684999999886,6.153187999999976,-2.3049499999956424
8,-0.9107080559,30.41312912,44.86860648,33.37739146,-3.987113693,-5.797827543,1.127800748,2.428802126,-7.341202529,0.2812291379,-11.85580444,12.06433105,730.3710938,-6.574371338,57.26184082,251.3242188,-69.32617188,5.281433105,479.046875,1.662685000000108,6.153188099999984,-2.304950000002748
9,-0.9058955882,30.408799,44.87659056,33.37465194,-3.990502977,-5.801667807,1.129177469,2.426645345,-7.333490215,0.2868339527,-11.96478271,10.83334351,730.6992188,-7.14956665,57.27261353,251.96875,-68.10595703,4.815216064,478.7304688,1.3767209999999697,5.604814800000024,-2.739519999998663
10,-0.9010831204,30.40446887,44.88457465,33.37191242,-3.99389226,-5.805508071,1.130554191,2.424488564,-7.3257779,0.2924387675,-12.36645508,10.44891357,730.9355469,-7.116729736,57.67822266,252.9257813,-68.12713623,5.249725342,478.0097656,1.3767220000000524,5.604814799999969,-2.739519999998663
11,-0.8962706526,30.40013874,44.89255873,33.3691729,-3.997281543,-5.809348334,1.131930912,2.422331783,-7.318065586,0.2980435824,-12.38659668,10.0383606,731.2851563,-7.136871338,58.08877563,253.2753906,-68.12713623,5.249725342,478.0097656,1.3767209999999697,5.604814900000032,-2.739519999998663
12,-0.8914581849,30.39580861,44.90054281,33.36643338,-4.000670826,-5.813188598,1.133307634,2.420175002,-7.310353271,0.3036483972,-12.82391357,9.397003174,731.9199219,-7.145050049,58.08895874,253.9179688,-67.48596191,5.678863525,478.0019531,1.3767219999998304,5.604814799999969,-2.7395200000057685
13,-0.8866457171,30.39147848,44.9085269,33.36369386,-4.004060109,-5.817028861,1.134684355,2.418018221,-7.302640957,0.309253212,-12.400177,10.40438843,731.4667969,-7.133148193,57.67861938,254.2109375,-68.08300781,5.267028809,477.2558594,1.3767210000001917,5.604814800000024,-2.739519999998663
