Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
0,-1.507064347,5.225033721,5.678426638,19.61140197,-11.72758333,31.38887954,52.10528198,142.20595507000002,-0.05199705870200476,73.40750296975875,10.950739838260278,37.84085117227319,-3.7436846597409694,-0.48046596208235826,-10.1734375,-21.903125,-11.8703125,-82.8875
1,-1.570871794,5.232576377,5.69137541,19.62644909,-11.72920434,31.38145775,52.10703616,142.22033978000002,-0.049263645993883796,73.69154562011553,11.115122052327557,37.97331592252803,-3.6259192607803357,-0.6053610517856945,-9.8125,-21.671875,-12.90625,-82.6875
2,-1.632607045,5.240546389,5.703557063,19.64158496,-11.73017366,31.37410382,52.10724247,142.23404468,-0.0494959238600068,73.73295744478423,11.168649655453617,38.05959055385661,-3.5056899431365993,-0.730759501173239,-9.376562501,-21.628125,-12.9984375,-82.2
3,-1.694342297,5.2485164,5.715738716,19.65672084,-11.73114298,31.3667499,52.10744878,142.24774958,0.012513969853890588,74.00054154264356,11.225420854909956,38.27248981311587,-3.38315061595961,-0.856426217194959,-8.940625001,-21.584375,-13.090625,-81.7125
4,-1.756077548,5.256486411,5.72792037,19.67185671,-11.73211229,31.35939597,52.10765509,142.26145448,-0.046393355256540945,74.26653287121985,11.392967854570166,38.44450816173972,-3.2584585562668895,-0.9821329509607867,-8.504687501,-21.540625,-13.1828125,-81.225
5,-1.8178128,5.264456423,5.740102023,19.68699259,-11.73308161,31.35204205,52.1078614,142.27515939,0.011929127378865104,74.35148020387359,11.448050889568469,38.530517336051645,-3.1317735026736564,-1.1076599969248695,-8.068750001,-21.496875,-13.275,-80.7375
6,-1.879548052,5.272426434,5.752283676,19.70212846,-11.73405092,31.34468813,52.1080677,142.28886429,0.014533957703024127,74.53517881073735,11.447295986408426,38.70094291539245,-3.0032567546813653,-1.2327978190157844,-7.632812501,-21.453125,-13.3671875,-80.25
7,-1.93875774,5.280858763,5.763643164,19.71735695,-11.7342832,31.33765745,52.10659363,142.30182565,-0.046986493374108054,74.75869648657832,11.558080084267754,38.918354998301055,-2.873070284741123,-1.3573485878982672,-7.3046875,-21.35,-12.978125,-79.9375
8,-1.997967429,5.289291092,5.775002652,19.73258544,-11.73451548,31.33062678,52.10511955,142.31478701,-0.04353550798504927,74.85957144410466,11.613171415562352,39.004629629629626,-2.741375869647082,-1.4811276144802967,-6.9765625,-21.246875,-12.5890625,-79.625
9,-2.057177118,5.29772342,5.786362139,19.74781393,-11.73474776,31.3235961,52.10364548,142.32774837,-0.04381341185185185,74.98301053346925,11.666682428814136,39.13417431192661,-2.6083342469790862,-1.6039646655740718,-6.6484375,-21.14375,-12.2,-79.3125
