Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque,Back Torque
0,3.808963002,20.42925663,44.52788037,138.75642711,-8.813376936,16.97303179,5.045223976,7.145378681,6.002343747,-27.578125,-13.790625,-30.934375,26.54367065,73.33280945,722.8496094,19.0839386,75.4296875,-16.26913452,647.4199219,-3.760045129724943,9.219171619988465
1,3.810117493,20.46696671,44.54709483,138.78030531000002,-8.82382784,17.01108674,5.042561485,7.154749033,5.434374997,-27.328125,-14.2609375,-30.915625,27.04501343,74.41748047,723.8300781,18.67437744,74.75585938,-16.73571777,649.0742188,-3.761623243929623,9.187522348534827
2,3.811271985,20.50467679,44.56630929,138.80418351,-8.834278745,17.04914168,5.039898994,7.164119385,4.866406247,-27.078125,-14.73125,-30.896875,27.08505249,74.0032959,725.2910156,19.08032227,74.7421875,-16.73388672,650.5488281,-3.762130150004164,9.15525103693546
3,3.812426476,20.54238688,44.58552375,138.82806171,-8.844729649,17.08719663,5.037236503,7.173489737,4.298437497,-26.828125,-15.2015625,-30.878125,27.06277466,74.41925049,726.2246094,18.67401123,74.76367188,-16.74328613,651.4609375,-3.7614895771691983,9.122409550348676
4,3.813580967,20.58009696,44.60473821,138.85193992,-8.855180554,17.12525158,5.034574012,7.182860089,3.730468748,-26.578125,-15.67187501,-30.859375,27.05432129,75.66893005,727.5664063,18.67451477,74.74609375,-16.73294067,652.8203125,-3.75962505377539,9.089049572446216
5,3.814548189,20.61858675,44.62344152,138.87566775,-8.865196876,17.16330903,5.031273338,7.19211494,3.343554686,-26.459375,-17.57187501,-30.871875,27.49807739,75.6605835,728.1542969,18.67453003,74.43554688,-17.17773438,653.71875,-3.756460167507155,9.055222136864446
6,3.815515411,20.65707654,44.64214484,138.89939558,-8.875213197,17.20136649,5.027972664,7.201369791,2.956640623,-26.340625,-19.47187501,-30.884375,28.07971191,75.64480591,728.5449219,18.68707275,74.08984375,-17.17538452,654.4550781,-3.7519188427715235,9.020977171233481
7,3.816482632,20.69556633,44.66084816,138.92312341000002,-8.885229519,17.23942394,5.02467199,7.210624642,2.569726561,-26.221875,-21.37187501,-30.896875,28.09100342,75.65396118,729.4375,18.68756104,74.0703125,-17.18478394,655.3671875,-3.745925635758921,8.986363059273563
8,3.817449854,20.73405612,44.67955148,138.94685124,-8.895245841,17.27748139,5.021371316,7.219879493,2.182812498,-26.103125,-23.27187501,-30.909375,28.04629517,76.69815063,730.8183594,18.28146362,74.40625,-17.19293213,656.4121094,-3.7384060478183425,8.95142622609769
9,3.818417076,20.77254591,44.6982548,138.97057906999999,-8.905262163,17.31553885,5.018070642,7.229134343,1.795898437,-25.984375,-25.171875,-30.921875,28.51416016,77.37651062,731.4238281,18.28147888,74.09570313,-17.66183472,657.328125,-3.729286857704074,8.916210751483167
