Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,7.475571187137632,118.94797095173371,2.926485797901694,-22.146203753582597,21.075930221183157,14.789955083347522,-158.68747171559073,-8.316330367090666,0.38604098330042386,-70.72447960022504,-34.8247380899281,145.24769716221107,-82.20650540407092
1,7.427497672380937,118.8667201672201,3.9338374838236643,-23.24544919090741,21.30469667374594,15.486683859815955,-160.1384488024221,-8.42811191091924,0.32877323282941706,-72.7475148584588,-37.830259183500885,96.78755727336397,-57.81596320542835
2,7.372493913601734,118.80707783451481,4.874111365941316,-24.285101734738248,21.53182925331419,16.173586896050036,-161.27909754733355,-8.539765267695715,0.27034961840936944,-74.89838380766925,-40.765603339570866,49.87052561027517,-33.20337151931244
3,7.3064274764947434,118.79220694604015,5.691299029503546,-25.218937941473225,21.75779410297465,16.8490951467607,-161.93772118676688,-8.652683642112217,0.2093518778918559,-77.13733325870498,-43.47260117913512,6.030402894267901,-8.76075812451066
4,7.226353269346554,118.84112029207054,6.340746163372688,-26.011938479650063,21.983626737269525,17.512134732095905,-162.03779187876495,-8.768222565747488,0.1445653702007636,-79.34521199097875,-45.8025372370865,-33.4181090348641,15.103644583195452
5,7.130830357196731,118.96718459170334,6.792972866149069,-26.64370787864059,22.210972865226402,18.162374067911347,-161.62921309756132,-8.887605676867535,0.07508165734666664,-81.32828690058055,-47.62928693151815,-67.46340526469672,37.9735600371835
6,7.020096148515593,119.17731683418455,7.03584929037377,-27.11009246486455,22.44191540227476,18.800488845713037,-160.89560508378,-9.011819257157347,0.0003829380098790546,-82.84128631983245,-48.86089739012827,-95.44819514304402,59.41531919727204
7,6.896069260346437,119.47188177682983,7.0750035809192156,-27.422886583893554,22.678632373040887,19.428383917435237,-160.1363824008264,-9.141500821750531,-0.07959856628649119,-83.6257658618858,-49.448997983771484,-117.08119630609585,78.961435139377
8,6.762168329606381,119.84519231081808,6.932544640469146,-27.607783358573744,22.92297769077004,20.049315577709624,-159.7284219277886,-9.27683462432773,-0.1644530809205463,-83.45780166525802,-49.395312809988035,-132.4092063546369,96.10275430444155
9,6.622952594384092,120.28644894986752,6.644339417059319,-27.700942269983017,23.176094259510492,20.6678803696529,-160.07664284393564,-9.417472235553072,-0.25330409686301003,-82.19750462875048,-48.75455659028711,-141.75766053117854,110.30355230617053
10,6.483608873287502,120.78094015395764,6.256196776921567,-27.744692001260344,23.438158996485132,21.289867969280298,-161.56423032721727,-9.562496684452112,-0.34486306159396807,-79.83257979583742,-47.633284731940854,-145.6545553612398,121.04673814358624
11,6.349328563993481,121.31135252941661,5.819387552767217,-27.78295740051714,23.708328066970687,21.922003831991454,-164.51154096123108,-9.710443326598497,-0.43753053930039126,-76.50857408211381,-46.184705453023604,-144.7548253813669,127.90621590885807
12,6.224637082346879,121.85908563405471,5.385978455583331,-27.856998080782507,23.984903388139333,22.57162411124119,-169.14913536785264,-9.859381098873191,-0.5295405770392385,-72.53955150143466,-44.599833729448214,-139.7784958562127,130.63405869614706
13,6.1127535544382985,122.40550403658689,5.004470002689691,-28.001977603680718,24.26568703562925,23.24632864486743,-175.60614495260683,-10.00704698263516,-0.6191369884501194,-68.39494772010093,-43.09555169424271,-131.4679036751175,129.24398002372314
