Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,5.541031085395857,114.51573402410307,4.277835178429482,-33.661518493509355,61.29837875646515,63.484723964469055,-239.24811112403256,-8.776509621426603,-6.230241213495767,-23.22622107660517,2.948333919481348,6.979269907856697,-9.206868626177844
1,5.3082123691176815,114.45519252217753,4.358936520469886,-33.8395308340167,61.590019613611375,64.35950359232007,-229.78737845399093,-8.802944988750127,-6.282449656608142,-37.91048702500675,-5.132508407855171,0.17820164165680302,-13.570893023681348
2,5.078401198492086,114.39828004528846,4.446155023523306,-34.01711961406338,61.88268175394873,65.22324889957191,-220.3048227263044,-8.826371662164984,-6.33490804177567,-52.92862813179756,-13.238652379854855,-5.335854321726945,-17.968209861062554
3,4.848361877939275,114.34744748909293,4.546812769579613,-34.19522287945358,62.17314586667518,66.06803977836506,-210.82872494773625,-8.84395957722236,-6.387743626448017,-68.0759104941986,-21.262803879317957,-9.033473918866855,-22.31097778614147
4,4.614351205447104,114.3031799390725,4.6674681382359235,-34.37624809377596,62.457779282910025,66.88654982553113,-201.363129161574,-8.853455216492549,-6.441036049483987,-83.14982154683317,-29.082134022570227,-10.509688898700613,-26.473903489011843
5,4.372229813397748,114.26360035387741,4.813431982743573,-34.56419541844926,62.73265550163499,67.67230530896406,-191.8877420934951,-8.853368707233317,-6.494813455805507,-97.95838923204191,-36.55901482776695,-9.51622420494328,-30.296848894282945
6,4.117646075714874,114.22453984299798,4.988347897314095,-34.76436251473516,62.99371843874044,68.41989333613624,-182.36433869246184,-8.843060497432344,-6.549046144425154,-112.30799551351035,-43.53965757977935,-6.002609127992325,-33.60082200219249
7,3.8463180379635293,114.18009816173748,5.193861654105326,-34.982619797041856,63.236973956292495,69.12511167584458,-172.74943279195742,-8.822727374785902,-6.603633600781363,-125.97486112725889,-49.85189028553541,-0.15629553116777892,-36.21352713148492
8,3.55442333511244,114.12362903676866,5.429401054684425,-35.224335355272,63.45869079280596,69.78506531934153,-163.01182054023394,-8.793303609619002,-6.658385095750524,-138.67153624482864,-55.30569813518471,7.572792847645039,-37.99662889147884
9,3.2390795716862306,114.04899872664781,5.692081025687406,-35.49311857889838,63.65560564107916,70.3982217400281,-153.15232863376266,-8.75630198879979,-6.7130004716904965,-150.02387492699802,-59.70132261023633,16.47801495393672,-38.866030346397785
