Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-9.110019509531375,112.82512331483994,52.420288287098494,-80.99151574050626,45.29302492286178,68.91225768583202,-225.68533816848304,17.458012842588445,1.0290463936465848,-85.54112622453665,-83.18553046690771,-51.58463756738013,-13.811334566142259
1,-8.904900678778397,112.74727677222602,52.35320081205247,-80.83452982249133,45.97181402326479,69.5769028379884,-211.25765818466172,17.460292474840738,1.0719454217034594,-67.35739287287585,-70.90729502128694,-38.563810249279065,-2.4103901345560503
2,-8.708405077933715,112.6719688599975,52.270965342947036,-80.67868225848198,46.63153162362762,70.23401011139973,-197.39097696964032,17.461609992988723,1.1128902990700644,-50.39078955491619,-59.33733257921594,-25.84526661390176,9.125268367618514
3,-8.527369737655143,112.60031067150608,52.161222180050814,-80.52551932703426,47.25506952001194,70.8840388410116,-184.50016575387,17.461142667966143,1.1502320321342234,-35.6070637744625,-48.936793695016775,-13.981023311185726,20.7621440205724
4,-8.367415907079053,112.53280759674641,52.01377651065921,-80.37628177135993,47.82832435522754,71.52739245159644,-172.9518323119881,17.458281077261624,1.1826363839320615,-23.69138465065629,-40.051468790865584,-3.421591460454547,32.35249103281651
5,-8.23244148669943,112.4693441132017,51.82159620666753,-80.23204184903668,48.34120569196936,72.16425307951742,-163.04588897852238,17.452657868608725,1.2092027914477583,-14.973248377384273,-32.88711204458805,5.514698157044504,43.61382601872102
6,-8.124231399794015,112.40928810528136,51.58160491858772,-80.09390168363207,48.78815355848571,72.79453552707652,-154.99930518145388,17.444138656377643,1.2295387258186206,-9.409188007760264,-27.502333203031647,12.646386321190546,54.13515817708643
7,-8.04225208691509,112.35170278348683,51.29517780485571,-79.96322455114053,49.16813336029619,73.4179488493647,-148.9328578768587,17.43278183640132,1.2437845051667404,-6.622459218234274,-23.817595303124534,17.914115274788276,63.41094512246493
8,-7.983686196423355,112.2956286614923,50.96826683449465,-79.84186292694494,49.484157901655614,74.03413206700607,-144.86142045553956,17.418778628732007,1.2525863223894187,-5.98778740382457,-21.6361424002269,21.355100199498033,70.89785880367313
9,-7.9437320873601545,112.24038402334939,50.611118109563236,-79.7323447269112,49.742452037147125,74.64281321325602,-142.6881009642108,17.40238568798633,1.2570173116581391,-6.741943879572137,-20.672116856917526,23.07462076081562,76.08603048955563
