Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,12.738313447725547,98.9733197597518,-18.373652539691737,-17.930031360698212,26.039170157009245,-5.000211941350189,-24.44341823745339,-6.058909821135231,-6.457254399012592,30.67906022098382,44.42539171651077,-149.922638986645,51.249729413659004
1,12.802841846366107,99.19800931278536,-19.26365820938324,-17.698026973088893,26.069249343452444,-4.999933540854883,-19.371575108225453,-6.065580228627923,-6.460323384956096,21.419682213050592,30.547487039273253,-130.60508027697256,56.05651926368539
2,12.866271843887073,99.42172002831363,-20.070796098042212,-17.507431718138708,26.104155106458514,-4.999582965626999,-14.45109653870445,-6.07289888785681,-6.464312812310789,12.608537030361864,17.18191352567801,-111.57391777831702,58.3666296065171
3,12.927964964413,99.64306040639387,-20.718617789797577,-17.405855086984868,26.151045321793323,-4.999184382633764,-9.882422445335997,-6.082160186940331,-6.468830954016566,4.580700654116843,4.824821536970132,-93.47260354319394,56.29216750292647
4,12.987657129105868,99.86000146422283,-21.14043125792112,-17.4353213067217,26.215606721287617,-4.998775130695575,-5.835046274067732,-6.094806124100017,-6.473467301184985,-2.393980876921893,-6.117374619545439,-76.8046399016956,48.667037775412375
5,13.045491852695145,100.06976854835096,-21.283908097128908,-17.629377058820644,26.30154398675684,-4.998404736146427,-2.4339011917859947,-6.112412489548845,-6.4778261325579995,-8.131428740211557,-15.355110485591672,-61.88246769311121,35.25424365156491
6,13.101963876518072,100.26885301406148,-21.115192511611735,-18.010669941112244,26.410386144940297,-4.998132079125033,0.2469287047390425,-6.136616024363159,-6.481517053872615,-12.544645161002942,-22.725975982503368,-48.81991939418628,16.822405236433244
7,13.157778016657522,100.45318111861494,-20.622055506402436,-18.58923308581095,26.54162571875919,-4.998020541048546,2.1830940297563317,-6.1689833381137,-6.484113417024953,-15.6449742337289,-28.18888272789435,-37.56653405314638,-4.933497706081405
8,13.213642552315704,100.61846355492798,-19.815556280851563,-19.361692149345373,26.69313545258868,-4.9981311750059865,3.3931251778592006,-6.210837632597409,-6.485100827474964,-17.534214047300786,-31.806002605900925,-27.972621908930154,-27.628470766914255
9,13.270028635968497,100.76071677685907,-18.729731415456087,-20.31153607966899,26.861748252429297,-4.998514207946012,3.9286515062970033,-6.26306990945268,-6.483843131121484,-18.389627628892704,-33.71820743532298,-19.86705925207911,-48.55092359016618
10,13.32693562348489,100.87690159065234,-17.41904659741953,-21.41047855587058,27.043862120349587,-4.99919948849598,3.8646728819122314,-6.3259664503969,-6.479590689046975,-18.444046071389685,-34.11957787210124,-13.127036859137643,-65.0932891352316
11,13.383705071690537,100.9655774147408,-15.953674831472302,-22.620809148239914,27.23595062074733,-5.000186808788981,3.292065900569507,-6.399086265015503,-6.471544825994931,-17.962763540667307,-33.23485777009878,-7.721196632505016,-75.17181509621734
12,13.438921926866122,101.02743767518798,-14.41302799292865,-23.89851977295868,27.434908845543855,-5.0014373151192,2.3131209824512746,-6.481219997298858,-6.458974738959183,-17.218503857912737,-31.30160795994119,-3.714731328846543,-77.55742701879934
13,13.490430010462665,101.06558887766522,-12.878276935363946,-25.196909727776788,27.638221480942303,-5.002867435594956,1.0394492754369993,-6.570452025913858,-6.44136358051812,-16.46589396791297,-28.557159678510196,-1.2360404397029792,-72.05790497582137
14,13.53547131666928,101.0854740991411,-11.424784890729093,-26.470320801754525,27.84398042158563,-5.004346844531909,-0.40942564317630853,-6.664330257785842,-6.41854567231025,-15.91762453524933,-25.22957590957089,-0.4165996761984154,-59.52325760248357
15,13.570937004562392,101.09441797706552,-10.115413296944727,-27.677631140116222,28.050795881284422,-5.005701905921718,-1.908732298346716,-6.760127384457234,-6.390793456203829,-15.725240851658297,-21.531623958266906,-1.3242676447434074,-41.682726746300666
16,13.593697018892662,101.1008622862037,-8.995522996001052,-28.785157838000483,28.257646735144952,-5.006725752642149,-3.3337670117845963,-6.855157097797404,-6.358824597840599,-15.96750611617008,-17.657050222228698,-3.911449867532738,-20.85442639215497
17,13.600961250234336,101.11343597743978,-8.090203210770557,-29.768699628693,28.463715078468276,-5.007195640054357,-4.56815694045825,-6.947093316668097,-6.323724296503295,-16.648241236929078,-13.778894530770954,-7.992998580598028,0.4098825330659438
18,13.590621802724808,101.14003537144801,-7.403878330392178,-30.61458159817337,28.668245399173173,-5.006897460755653,-5.514104441180719,-7.034236232900113,-6.286805419393672,-17.703832930395848,-10.049850501349983,-13.257771454823004,19.676177383777112
19,13.561533275384168,101.18707202834501,-6.922064645124562,-31.31970614448496,28.870451823801226,-5.00565634918196,-6.102625986467821,-7.115680428385774,-6.249446485604193,-19.01877249410473,-6.604655941496295,-19.30716104338918,34.91681081262373
20,13.513703260894797,101.25898973564432,-6.6147693546382715,-31.890728356222148,29.069470104427197,-5.003371201995762,-6.301341666471076,-7.191365127766878,-6.212947296508243,-20.446212055757954,-3.564118651099997,-25.707405386240925,44.69955956179146
21,13.4483823677411,101.35808142463192,-6.440894625491858,-32.342538895308856,29.264330677811078,-5.000049789736375,-6.1176279411683785,-7.262015565234291,-6.178426983456714,-21.830088770021607,-1.0395070683075318,-32.04139314301735,48.266860823625024
22,13.368053793986057,101.48457404906765,-6.35302167460485,-32.696260218904264,29.453929837648147,-4.995840066948778,-5.595893561357288,-7.329005421042043,-6.1467691166069125,-23.025880997590544,0.8650980628804114,-37.948710874460204,45.51770790345937
23,13.27632303865128,101.63690690930483,-6.302049926778746,-32.97696689246287,29.636997822236,-4.9910524571268855,-4.80919904998474,-7.39417532041171,-6.11860293538197,-23.918035567583285,2.0554011185647725,-43.14751765100494,36.91820710987572
24,13.177703172791642,101.81210922401861,-6.241295100570113,-33.211345930374094,29.812091868027576,-4.986167462565165,-3.847026958168792,-7.459633452269104,-6.094303409367367,-24.433109434624665,2.4562851774653414,-47.43686490476502,23.370572725587582
25,13.077289419118157,102.00618471017293,-6.129774932645003,-33.42551454452431,29.977660461330522,-4.981823088233307,-2.802164221272319,-7.527552071285513,-6.073994696330134,-24.548528064210185,2.027024707763644,-50.6828180234164,6.067048823767185
26,12.980326825819496,102.21443313520192,-5.934527869286021,-33.64319156425874,30.13221907094604,-4.978777403668688,-1.7599067949777607,-7.59996775299014,-6.057547968281496,-24.297285877830294,0.7777263888969309,-52.796023445783355,-13.65151296828955
27,12.891699417111447,102.43167881227187,-5.631924120513386,-33.88436109618708,30.274647467908018,-4.977843171786438,-0.792028937758721,-7.6785950471837445,-6.044572443883688,-23.768423516175197,-1.2200600334779665,-53.711403465016055,-34.42023904921571
28,12.81540340296716,102.65242581422243,-5.208037191371411,-34.164477611412075,30.40457536162399,-4.979793847977187,0.0435238904519294,-7.76466775175922,-6.034405444833667,-23.101739518650437,-3.835091673514349,-53.38066620207312,-54.95277693799502
29,12.754097925600092,102.87100213357706,-4.658228012450721,-34.49416843141547,30.522782324203067,-4.985243340367486,0.6979074292478308,-7.858824147897307,-6.0261110826212105,-22.474291866368667,-6.893161988005027,-51.783720119904956,-74.12220914146323
30,12.708835408987914,103.08176922968107,-3.986126986369953,-34.879331734665136,30.631516837549082,-4.994505642036989,1.1235717433104688,-7.961048313747778,-6.018496886867437,-22.077804540400553,-10.2056553361601,-48.956720471342955,-91.02403477587349
31,12.679043742547034,103.2794488698916,-3.2021763075418015,-35.32152638586577,30.73464922955927,-5.007444600871657,1.2659181103515522,-8.070668700766678,-6.010154706412977,-22.09002081083395,-13.601769199687777,-45.02611503854514,-105.0247905309335
32,12.662768377209211,103.4595653243632,-2.321848876047239,-35.818584584799346,30.83761003685751,-5.023328140018884,1.0568658809776617,-8.186403850774697,-5.999528450614282,-22.646219683985965,-16.954372988761342,-40.234013610111646,-115.79616356947675
33,12.657112933749703,103.6189422553407,-1.3636424400245895,-36.365405895489104,30.947110817312016,-5.040704265356775,0.4120764488747655,-8.30644237940421,-5.9850077134585975,-23.816987099457865,-20.191628364593683,-34.942369553904356,-123.32884486748853
34,12.658773361885602,103.7561550745519,-0.34698520985480585,-36.95488305175366,31.070682455312703,-5.057317267288321,-0.7675991822269477,-8.428551889941408,-5.965043609483231,-25.596026800555503,-23.291724910992446,-29.61037168053099,-127.91632164111753
35,12.664553323609137,103.87183418778102,0.7097386144075344,-37.57887376780818,31.216091775147962,-5.070081060162354,-2.5911208375189645,-8.550221353265282,-5.93828108223746,-27.899727199672608,-26.264149403965924,-24.747634421515524,-130.09971245138394
36,12.671769778652228,103.96873976326509,1.790780066530179,-38.229099558715774,31.390710863003235,-5.075122388423065,-5.170000586933775,-8.668844109515462,-5.903699219973913,-30.57864622728654,-29.12532976099921,-20.852000731177263,-130.57179266704136
37,12.678496572023448,104.05157149764719,2.883978885594376,-38.89784847568119,31.600912154282046,-5.067899773589146,-8.609787114903547,-8.781941070856647,-5.860747108931059,-33.43892946315573,-31.877528657949295,-18.343604064107982,-130.0497306665404
38,12.683639302226766,104.12652344786734,3.980912630493189,-39.57838857143969,31.851543484381533,-5.04339519797051,-13.000561627131813,-8.887410557588327,-5.80945909254034,-36.26903384615434,-34.4972619453405,-17.506714780847506,-129.13785798867275
39,12.686874160742311,104.20063566105914,5.076224647946355,-40.265051054726634,32.145506817075514,-4.9963658929040795,-18.406339725264303,-8.983779536876963,-5.750532118774635,-38.86569581878562,-36.934813861576934,-18.44894019246434,-128.20942794153208
40,12.688504127353367,104.2810266351588,6.166289579123693,-40.953004091707434,32.48343966823643,-4.921634923358652,-24.853634824578137,-9.07042424825491,-5.685349675893114,-41.05429528971662,-39.122209607151134,-21.08421711121049,-127.33575258460874
41,12.689283222890129,104.37410948895331,7.247531314857913,-41.63780358606132,32.86349815837683,-4.814393383427671,-32.32019483300803,-9.147725524414792,-5.61594140450028,-42.70192087898829,-40.9853278334526,-25.141980464679374,-126.28075287629953
42,12.69024231721861,104.48489625172675,8.314797332139149,-42.31486494081804,33.28126774901999,-4.670486006546719,-40.725431989862884,-9.217125704684587,-5.544875167292832,-43.724258614400775,-42.456723344422834,-30.200495099669837,-124.56168301318078
43,12.692532729821714,104.6164787272344,9.360179057159964,-42.97902655869789,33.729861635850824,-4.486657527270875,-49.924069536132656,-9.281063036662156,-5.475088950392256,-44.08845355437934,-43.48742521653418,-35.738582780597696,-121.5594952585957
44,12.697293402563119,104.76974531240907,10.372548543133064,-43.62434985407055,34.20027613553326,-4.2607478556241105,-59.70442277663124,-9.342778059072002,-5.409681092913199,-43.81363329601703,-44.05682837600768,-41.19753929829411,-116.65184761784047
45,12.705541978717575,104.94335690248384,11.337897999188332,-44.244224474818466,34.68203734068763,-3.9918337569973934,-69.79298951700976,-9.406011425548805,-5.351685008037521,-42.969750226371545,-44.17969164592384,-46.0440872069934,-109.34073650181993
46,12.718087098523819,105.13396773344691,12.240385203945655,-44.8317534539943,35.16410210584202,-3.6803161274923326,-79.8672772697636,-9.47463511740056,-5.303855261048474,-41.67444773565929,-43.909089053424765,-49.82598165563021,-99.35315977008726
47,12.735458336473371,105.33664672798058,13.063859475310746,-45.38032005207147,35.63589926334428,-3.3279449752298764,-89.57791923554505,-9.55227055700018,-5.268484583870877,-40.08718108902575,-43.33454978636507,-52.214597260557746,-86.70308133384215
48,12.757851575943848,105.54543953816777,13.793590944715818,-45.88420544493951,36.08834274480586,-2.937767120372605,-98.57871050728545,-9.64194670288768,-5.247259049093526,-38.399932843366656,-42.575472279223455,-53.03249576220784,-71.71249511376773
49,12.785090781159692,105.7540108798693,14.417940395420768,-46.33913246110261,36.51463331153563,-2.513982735330365,-106.56045002403106,-9.745843220305717,-5.241147838032373,-36.82434281303705,-41.77079125425792,-52.26633936725578,-54.99581741858931
50,12.816610913306773,105.95631026263713,14.929763467134968,-46.74264669355957,36.910698818995336,-2.0617067433664538,-113.2831505657082,-9.86515042479783,-5.250321247168913,-35.575737382670425,-41.06643612541161,-50.06532380081274,-37.41399986793341
51,12.851468447981011,106.14720176523136,15.327413949991122,-47.09430056329023,37.275203850964026,-1.5866441595493772,-118.60190683937412,-10.000057581389223,-5.274096483734582,-34.85543692031247,-40.60219084875494,-46.72419875812291,-20.003531731646536
52,12.888382445747919,106.32299302016403,15.615270352509752,-47.39565859871058,37.609167123897286,-1.0946990500813572,-122.48386495085204,-10.149855575483214,-5.31091983328318,-34.833747403383065,-40.49933905597709,-42.65078255671052,-3.8833790640023236
53,12.925800610737438,106.48180313543631,15.803742886055172,-47.650171724326405,37.91532047091812,-0.5915418670372334,-125.01622807106614,-10.313116093257578,-5.3583997971069754,-35.636651808093475,-40.850273981024074,-38.32137559704182,9.857142492111285
54,12.961975916061592,106.62373237573499,15.908730828929867,-47.86296500304706,38.19739040064666,-0.08215923547126747,-126.40686389456168,-10.487897157091446,-5.413406490977571,-37.33874946081541,-41.71108593321234,-34.23134726663209,20.28240480267236
55,12.995035806263546,106.75083249825593,15.950519725037266,-48.04055588453849,38.45946806652831,0.4295925594079288,-126.97892298127566,-10.671930770693747,-5.472247746575049,-39.96323718944297,-43.09777963857525,-30.84950057342129,26.731370110287017
56,13.023031105820202,106.86691054443813,15.952161634845208,-48.19049005279406,38.70556900719209,0.9414080644280373,-127.15913956080041,-10.862770616719809,-5.530920976322966,-43.48718842017914,-44.98618800845388,-28.582607864189036,28.91292973836585
57,13.043965309825515,106.97721687007756,15.937471937290674,-48.3208699846163,38.93940147588383,1.452896729645284,-127.45767378685393,-11.057905572856273,-5.585422256574521,-47.84823649416165,-47.315046910525666,-27.751950945735675,26.952332667116902
58,13.05582167516599,107.08806472281957,15.928872316739234,-48.439765812298255,39.164294231269466,1.9658486998871154,-128.43723519956137,-11.254865139254449,-5.6320758027606095,-52.94826345330046,-49.99122227504402,-28.578843059528882,21.37398599814161
59,13.056616674317471,107.20640690041778,15.945369502645152,-48.554534987419395,39.38320230940314,2.4843546389972113,-130.67157378061924,-11.451346913851822,-5.667837303724902,-58.651285181061276,-52.895783333313865,-31.172869442100886,13.021315998667847
60,13.044506743064623,107.33936532754343,16.00095882833135,-48.67112527846268,39.59871654240311,3.0147406879919862,-134.6973413901689,-11.645382916591556,-5.690528973682918,-64.77581125200379,-55.889645667137835,-35.516535553319116,2.9298108537940184
61,13.017959515707147,107.4936877803591,16.103682990460836,-48.79347819535249,39.81303591415793,3.5653051597283723,-140.96656045670002,-11.835537762757003,-5.6989794278952,-71.0854572522448,-58.81809275237162,-41.44391953035166,-7.821020718825528
62,12.975975220612296,107.67510852946486,16.25547599688893,-48.92316771796996,40.02789992045499,4.145877470237785,-149.80728484956927,-12.021107895839247,-5.693059273187272,-77.28439833761989,-61.514581819836565,-48.61772540339749,-18.248878849739388
63,12.918315775184412,107.88762317457255,16.452797777535327,-49.0593884502873,40.24450858982945,4.767247223384954,-161.3970259264022,-12.202274736031212,-5.673617864687505,-83.02525054221965,-63.80530155984837,-56.51586799843915,-27.57881195417514
64,12.84567670470843,108.13274441138627,16.687933144333048,-49.199346460169856,40.46347958402363,5.440520528298228,-175.74900198186108,-12.380159370377244,-5.642337033744354,-87.9350806624726,-65.51628307734045,-64.44181797562078,-35.305407602997946
65,12.759729931384781,108.40886320473716,16.950711539765603,-49.33901734280812,40.68490051993477,6.176451508200073,-192.70818836533482,-12.556735931751883,-5.601524207019322,-91.66020398930854,-66.48436543858419,-71.56967465702449,-41.20023974114438
66,12.662982877132638,108.71086938944451,17.230330268816186,-49.474145745821694,40.908518307167576,6.9847811487740366,-211.95428031986,-12.734587571555807,-5.553870334138354,-93.92355266704274,-66.5725024309173,-77.02499426332058,-45.26908634837266
67,12.55844346948647,109.03016326906821,17.516960660041743,-49.601302393420696,41.13406132090031,7.8736073121675805,-233.01147666344193,-12.916528525315053,-5.5021980735004465,-94.58227363228514,-65.68897926154551,-79.98932231910518,-47.673770174219506
68,12.44914043085853,109.3551146360347,17.802892167245194,-49.718811163579595,41.36163037693012,8.84881597068956,-255.26819341843012,-13.105155272637566,-5.4492235611637625,-93.67039818885235,-63.8086449282101,-79.80660507692129,-48.640401731532414
69,12.337601284342936,109.67192551589541,18.08310226150872,-49.82740595789922,41.592048798025445,9.913620299438326,-278.0109196691757,-13.302413981112998,-5.397350818920396,-91.41331701017921,-60.99222878850792,-76.06843779664554,-48.37726640492276
70,12.225414847595859,109.96576861577839,18.355284173492823,-49.93054823897429,41.82705207665037,11.068268000475223,-300.4741052704217,-13.509270975888466,-5.348511813667852,-88.20714163980655,-57.39828705807474,-68.66275080220366,-47.020688556584204
71,12.112990537929846,110.22203469390318,18.619470912132847,-50.0344003408498,42.069228768994925,12.309973824133243,-321.9030129152132,-13.72554809750707,-5.304059412416018,-84.56492672879898,-53.282583284831055,-57.78243070253949,-44.617240867243204
72,11.999578641311034,110.42753302131709,18.877433497409225,-50.14748843807611,42.32168496867645,13.633108443818678,-341.62151995365605,-13.94994453286298,-5.264717345133203,-81.04023462940752,-48.981947735981926,-43.9004265941627,-41.139237880430436
