Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,10.550941901284956,109.22720770744706,35.790659750844796,-60.76424462610013,22.636137617999,5.37572300134145,-145.9641571038416,19.430885038807023,-6.4595475293772795,-42.61454269422474,-67.10993028739205,-210.4131990891301,-0.8170635205672547
1,10.612258948223051,109.77733172983523,36.76304203841616,-61.26525733061823,22.50197394229487,6.066646457527729,-163.1959794826662,19.20833493140291,-6.380824641197884,-39.50174893640151,-59.58856488493219,-186.48041905418958,-23.516072859114114
2,10.671106557962396,110.3177414925435,37.69924256134644,-61.74231253194144,22.374332480838508,6.7547248135393945,-179.6467088495435,18.991472119471386,-6.304838439583444,-36.25041392054348,-52.2257331087861,-163.85208840520335,-44.11353244621509
3,10.72520341889358,110.84431688507227,38.56658652045851,-62.17484739443564,22.259997260395554,7.455569382038633,-194.97788666394447,18.785299322505377,-6.234264825396284,-33.06867311856941,-45.27299037567811,-143.5486223253538,-60.688954505574536
4,10.772722146946315,111.35426135634727,39.33541141817742,-62.544849400310135,22.16387853103381,8.182991343535923,-208.9581148084668,18.59383823457335,-6.171433672681493,-30.16403363895939,-38.94955983205857,-126.35304022058618,-71.80613285767785
5,10.8123195596245,111.84629315895033,39.98090869013575,-62.83810673376519,22.088556322340665,8.94809713179653,-221.47988712944147,18.419798097653402,-6.118160204505994,-27.731413102371032,-33.42834270975457,-112.74153146670857,-76.68536087045439
6,10.843105147973954,112.32058265250691,40.48508433749845,-63.04537543310477,22.034210320898044,9.758875134802008,-232.57198988351294,18.2644193379373,-6.0756078716538084,-25.946175770136943,-28.831195241448327,-102.85558863853844,-75.28342437142304
7,10.864556463053864,112.778477905549,40.8385405063442,-63.16327748408198,21.99892485131445,10.620259157710345,-242.4005798346297,18.127504360557293,-6.044197887630253,-24.962084297933725,-25.232173436984983,-96.51780963465542,-68.27129401320714
8,10.876392691149263,113.22210174647131,41.04170303256555,-63.19472407157843,21.979301913866003,11.534571391871067,-251.25147798859163,18.007616378308263,-6.023581132147592,-24.91274395860987,-22.665359714309325,-93.28508188792314,-56.916634492237144
9,10.878418135417888,113.65391191535507,41.10516869829385,-63.148714687240926,21.971272858317946,12.50218520628314,-259.4895589128975,17.90239973677969,-6.012682469213066,-25.913990959290114,-21.133183011682235,-92.52658748685197,-42.89373542524292
10,10.870349154920348,114.07629925081747,41.04900340460147,-63.03948200166389,21.970973468468515,13.522221781986138,-267.49734748070637,17.80896005209106,-6.0098157503282,-28.064136324068546,-20.611851091711713,-93.51168011565443,-28.05374093918862
11,10.851642554537554,114.49127095398623,40.901026870134906,-62.88508581554656,21.975539528634137,14.593110654788255,-275.60150624938507,17.72424169319674,-6.012854847113473,-31.439386909312354,-21.052110678840158,-95.49416102704099,-14.191796868429966
12,10.821348780596406,114.9002391365341,40.69430273982994,-62.70565585431631,21.98369060552859,15.71289582680344,-284.0003017214452,17.645349289489992,-6.01943685291199,-36.08313219456923,-22.37550760764453,-97.78325708205897,-2.845067379788272
13,10.77801750327632,115.30391477411223,40.46417445552859,-62.52152200663321,21.99600000599398,16.879241025863468,-292.70650111560525,17.569774666603724,-6.027169886762187,-41.98971141069092,-24.468269156187468,-99.79586822317238,4.852962014854846
14,10.719684611442858,115.70229465556756,40.24523539525836,-62.35146251074645,22.01479876192808,18.089165202168054,-301.5190606795105,17.495509455999738,-6.033819956443234,-49.08544525339535,-27.17641084288634,-101.0882637593449,8.24965316375612
15,10.643964666965493,116.09472212688388,40.06859919298159,-62.21126546942629,22.043727512022688,19.33861147256742,-310.0337261254978,17.421046327197555,-6.037459134453253,-57.21190268034867,-30.30600160566854,-101.3677908329234,7.184469828811091
16,10.548256559290209,116.47999759237821,39.95975260984105,-62.112748437822006,22.087022175879046,20.622007042424233,-317.69650422779245,17.345295502613233,-6.036568878073298,-66.11779476128942,-33.63123926289093,-100.48626868933542,1.9489042964679322
17,10.430042406350616,116.85650883089028,39.93714908612173,-62.06331646252487,22.148677983665895,21.931991085908358,-323.89457798207786,17.26746021037342,-6.030102604047659,-75.46529542268287,-36.91043317742659,-98.41740012866941,-6.785270039496646
18,10.287229441961273,117.2223465068806,40.01156699124889,-62.066061443310396,22.231659658717252,23.259458077970233,-328.06864218214827,17.186916958975736,-6.0175157932295065,-84.85340583751953,-39.907324832100294,-95.22202184677619,-18.05253754950636
19,10.118465616461508,117.57537446579138,40.18614521010033,-62.12032222533987,22.337303587600438,24.59398678854948,-329.8227898011079,17.103133298650615,-5.998769435975097,-93.85609233212362,-42.41367317900062,-91.00767542295132,-30.685842765298762
20,9.923362666020598,117.91324305075348,40.45694319642784,-62.22255170989519,22.465001816215366,25.9246206348782,-329.0065765021184,17.01563495613643,-5.974307169417384,-102.06827999310097,-44.26920253406764,-85.89132670465595,-43.41317548853195
21,9.702586064153616,118.2333621159309,40.813860701562824,-62.36729585503164,22.61219222350239,27.240865789647675,-325.7498292810059,16.924015865675226,-5.9450024871799325,-109.15028092859907,-45.376320278001145,-79.97389252534168,-54.96112523341297
22,9.457808972493364,118.5328750452912,41.2417860570402,-62.54809613579554,22.77462571020316,28.533709889927835,-320.4422185276287,16.82797443716566,-5.912072428777189,-114.86179933798921,-45.70852507545038,-73.33181586954349,-64.16629116719525
23,9.191561890887408,118.80868371519816,41.7218987152951,-62.758182912163974,22.946848132929496,29.79645325795774,-313.6627454770985,16.727358192900088,-5.876957875601905,-119.0798828815164,-45.31262219667256,-66.02574235239614,-70.08889420634206
24,8.907029883238888,119.05756411486475,42.2330974483105,-62.99091257741695,23.12281933972864,31.02518524768618,-306.07515208359416,16.622204138200118,-5.841176125030423,-121.799659029469,-44.3055747605139,-58.12160392888102,-72.11423255109473
25,8.607850801638138,119.27638822941363,42.75352714507136,-63.23998167045124,23.29658690595657,32.21881501897372,-298.31127698118297,16.512768997646628,-5.806157308227557,-123.12073091504689,-42.86687296947214,-49.716453201727184,-70.02127308842742
26,8.29795251455813,119.4624375350612,43.26212766044849,-63.49949632462019,23.46293174708144,33.37865656957868,-290.8650918840898,16.39954670865516,-5.7730816045337425,-123.22461594728877,-41.226747749109364,-40.96067074477327,-63.99859474483845
27,7.9814405548839975,119.61376580096986,43.74005950383158,-63.763977926454736,23.617905004867005,34.507652288389664,-284.01656243723437,16.283268717076044,-5.742737701857079,-122.34934556964072,-39.64984728670726,-32.069770274509445,-54.59836277322665
28,7.662517846274276,119.72955238148286,44.17182501697748,-64.02835922469218,23.75918544463782,35.60938303007527,-277.79775673267613,16.164879252286187,-5.715422697041103,-120.76648020485482,-38.41366856252399,-23.322367991444885,-42.636208708603576
29,7.345394412969702,119.81038594595076,44.54593662842008,-64.28799129332425,23.88621176659854,36.687044844620665,-272.0047640947895,16.045479208819376,-5.690898728283864,-118.76357900278853,-37.78152544155549,-15.044505825102627,-29.061368231257934
30,7.034137136399477,119.85842973662251,44.855081748696016,-64.53865872732948,24.000084538762824,37.74256644612295,-266.2495133324128,15.926240930009,-5.668413072667852,-116.63214013358822,-37.97140601730642,-7.582993581891946,-14.828892892086808
31,6.732424892533185,119.87743615221858,45.095851510969936,-64.77659352773486,24.103275234630363,38.77599905650585,-260.0377776656681,15.808306669533724,-5.64677867279134,-114.65825112738561,-39.12444511288653,-1.2713152799154186,-0.8002221340011509
32,6.443211473478539,119.8725946859097,45.268180041318026,-64.99848170180158,24.199209738317066,39.785243566769466,-252.8556615366516,15.692688050310021,-5.624503784091997,-113.11187572389034,-41.27887670947671,3.608504208433022,12.316871988734873
33,6.1683453125909615,119.85021078573602,45.374651853647165,-65.20146428311402,24.29180328981511,40.766108306857845,-244.2475478272203,15.58017998566409,-5.599954099007795,-112.23151237330204,-44.35589113153268,6.864675482855254,23.9942687941594
34,5.908232220615799,119.81722737628289,45.41979012018209,-65.38314213893253,24.38501420413362,41.71263331439916,-233.87307216449972,15.471294010747293,-5.571527663256555,-112.2035701573796,-48.162114885669894,8.43059563004222,33.88967282501763
35,5.661638913631336,119.78062092823981,45.409375461485695,-65.54159637547355,24.482462217130728,42.61758576829651,-221.53733711304102,15.36620940527122,-5.53782108469388,-113.13912161426333,-52.410088096034336,8.389911998233138,41.84624351796352
36,5.425716033350692,119.7467294825913,45.34979728765714,-65.67542968423817,24.587135990682043,43.47302779275919,-207.1952144909337,15.264741183806183,-5.497765899101129,-115.05342210524167,-56.75447397739699,6.9851922624667555,47.89158684316457
37,5.196275613768951,119.72059319163446,45.24742329727297,-65.78382115451495,24.70120104219931,44.270875067630925,-190.9354695276576,15.166331338036962,-5.450718592063652,-117.85476318534901,-60.838628908979295,4.605288166467507,52.23390027102192
38,4.968300629907352,119.70540082882809,45.107986042171056,-65.86657485830992,24.82591071400362,45.003390950770736,-172.95252292606412,15.070076802358317,-5.396496784459816,-121.34835419418944,-64.34383017535689,1.7496782607290327,55.248106459063266
39,4.736606760193794,119.70213367532162,44.9360165724432,-65.92413747654734,24.961611523720578,45.663584937095024,-153.51298883553795,14.974807770471957,-5.335364846850799,-125.25795422555986,-67.03233061653825,-1.0277881346397992,57.44435990382646
40,4.496534487666317,119.70947842872071,44.73438821715631,-65.95756527837423,25.10782022281321,46.245500305558586,-132.9219329333323,14.87922133548001,-5.267981276194261,-129.26342894891596,-68.77613639909474,-3.1888897413332926,59.41466882675108
41,4.2445374644598,119.72404383696058,44.50405412053731,-65.96843359017457,25.263339374481085,46.74438499278704,-111.49185963224797,14.782059939485707,-5.195325143428062,-133.04755230243595,-69.56622916605103,-4.284216450650539,61.75878341709286
