Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,7.216442526941317,119.26598895912574,11.372163450333366,-37.34369002237207,26.080807072277615,16.73247254800774,-168.4000142132629,16.38983893207311,-3.925754797706381,-8.099069864735277,7.235860412671634,177.3723679855075,525.4175577681451
1,7.024255625043525,119.24824929325203,12.03729324373733,-38.42057069616955,26.391679413358112,17.31149282377755,-177.0458101991751,16.274991408260114,-3.868633257331697,-23.781954482004753,2.471333662994074,107.0280676007966,379.5891366123397
2,6.829790028657328,119.25427997646833,12.713501179578994,-39.457178788604935,26.680661653317447,17.899143855357536,-186.3485440742832,16.162555841749413,-3.8122986906363887,-38.84041038851782,-2.3226789006436612,40.91964656428177,240.48355081449776
3,6.630878424414214,119.3048180324301,13.40821104346424,-40.4217735979216,26.937675252979624,18.515792587179213,-196.54691136449895,16.054157277595117,-3.7556764144369743,-52.685661013876626,-7.113245808760045,-17.605730760180236,114.40543455980544
4,6.426355207022507,119.4134481703632,14.125970719995708,-41.29125918236995,27.157048791843852,19.179402941659646,-207.73447960867634,15.950965780852528,-3.697971526545386,-64.79756312050147,-11.84634618062247,-65.79230620371239,6.5983438776470775
5,6.216295818526408,119.58467736284211,14.867859186761496,-42.05379676871124,27.338566947950454,19.90428064075772,-219.83457696750443,15.85361352108188,-3.6387998358079012,-74.75816597801257,-16.44249462779116,-101.69815507105159,-79.17691379260074
6,6.002062061827659,119.81352946901175,15.631397229228753,-42.709702982757356,27.48779194573112,20.70021059816745,-232.60153717070398,15.762228377202236,-3.5782068907919795,-82.27902670768594,-20.7974852330006,-124.36324572627841,-140.9099857360062
7,5.786149516591404,120.08667984397992,16.41090221827178,-43.27056553685955,27.61559091471791,21.572023332171614,-245.64461497544312,15.676562386903077,-3.516585549803545,-87.22177189208152,-24.789073914323094,-133.89431633491702,-178.4236541443021
8,5.571859492600807,120.38486723712973,17.198149298119983,-43.75682158842569,27.736921738113583,22.5195803852403,-258.46790202673424,15.5961664149631,-3.454527423420775,-89.61110228840872,-28.28921189428462,-131.44240152858524,-193.26373581668423
9,5.362840649371821,120.68609641724579,17.983185902250348,-44.19430295955572,27.86904355992601,23.538133380838197,-270.51976854225023,15.52055272447324,-3.3926582125393328,-89.63805178375914,-31.179787530981447,-119.0627885407184,-188.41689066989468
