Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,4.469515591020625,97.18851930538148,-0.4321037265770673,-31.682432167763714,19.157244760013167,2.095591768227326,-89.06075751264704,-6.0184065154473,-3.5088291470320625,8.790291945835314,5.432463910930311,-48.064195427932724,-97.51897022242191
1,4.4664235525497435,97.51723316218907,-0.30185898223276586,-31.74433996539571,19.303027017864068,2.329870812458811,-84.37273069989645,-6.06548231415681,-3.4851910319085886,5.086539534631512,-0.43551086427718255,-55.56596681405283,-71.03185381018025
2,4.466579165574074,97.83985026272093,-0.1846842690042718,-31.79739179392923,19.443242511955383,2.563280107101401,-80.51535950876493,-6.110500430315558,-3.4631175832016172,1.7308608900687572,-5.924043567177175,-61.91847355662027,-46.56145564940428
3,4.473322736748089,98.15121751943043,-0.08410336463285865,-31.8401582370319,19.570621836856283,2.8044330208932124,-78.18055938380061,-6.153009860512105,-3.44450667690153,-1.0141576298987647,-10.719484956501205,-66.3321207908656,-25.562821975499983
4,4.489246566097284,98.44593015093659,0.0013909940565175326,-31.87439978169375,19.679559324817493,3.061981246348692,-77.91562053991153,-6.192730075008434,-3.43103345778074,-2.9667338595756276,-14.570787172052961,-68.21164143442489,-9.164242572385172
5,4.5159135344167405,98.71839912377216,0.07933063310912705,-31.905838219668972,19.766611803157204,3.344312556232138,-80.07554331914808,-6.229612671777985,-3.424043342036644,-4.051333969525792,-17.314913047933885,-67.21307381973249,1.9443051741993096
6,4.553705649286223,98.9631010479083,0.16310291512645475,-31.944251168655452,19.830668568062254,3.6592178206374855,-84.79565987125497,-6.2639151784793,-3.4244726955183107,-4.309386597335201,-18.895330172998104,-63.27792946683484,7.580355875617058
7,4.601817571005573,99.17499414277324,0.27058531114860584,-32.00280182616627,19.872799035598774,4.013535914447866,-91.98716498054105,-6.29625951918676,-3.432804177602064,-3.893359545588291,-19.36931450815782,-56.639647301415934,8.081507223498258
8,4.658387932263592,99.35004233932146,0.42180212100497577,-32.09666398507288,19.89582784707878,4.412803951539217,-101.35596610924075,-6.327643369753869,-3.4490598990426142,-3.044865680913987,-18.900894312323437,-47.79967609192464,4.254076797325372
9,4.720740415968265,99.48575742913853,0.6360388920189004,-32.241158986693634,19.903716147790597,4.860954306326308,-112.44275982356812,-6.359380740699799,-3.4728304118041375,-2.0602902535508982,-17.73891151041019,-37.47345025478141,-2.7379139753416992
10,4.785691530858194,99.58165155209423,0.9289685312892659,-32.44973916125808,19.900847976620987,5.360105046304444,-124.67944011552571,-6.392966598763769,-3.503332446569241,-1.2497757149124231,-16.183007507720113,-26.509774611504632,-11.527055909874578
11,4.849875925101336,99.63949252934276,1.310334688019299,-32.73219753070466,19.891337591018075,5.910484053753136,-137.45441754040198,-6.429882380370408,-3.5394853938354736,-0.896572861807676,-14.543154600897175,-15.79081100714485,-20.715543500732018
12,4.910043029634139,99.66327628968148,1.7826146894188006,-33.09344416644594,19.878484840192453,6.510510433284937,-150.17819166317142,-6.471376624355966,-3.5799973752366103,-1.223411980579019,-13.099670763108977,-6.124110186682852,-29.040695527904735
13,4.963288819333026,99.65887620536807,2.3408837255482733,-33.53307326906554,19.864498068184393,7.157035352570062,-162.34121523559534,-6.518262242671819,-3.6234556048698163,-2.370692878936203,-12.070225528738877,1.857953336437223,-35.51158664773874
14,5.007201555011464,99.63339342913443,2.9738727711747437,-34.0457795422275,19.850561396077044,7.845724585082499,-173.55824185126616,-6.5707679730400805,-3.668419821071022,-4.388431692020442,-11.58861267424344,7.774540809080213,-39.503138536262334
15,5.039918576150857,99.59429966660795,3.66600099202358,-34.62250953405145,19.83724275802003,8.571549156395013,-183.59572923192002,-6.628469490907199,-3.7135194163738654,-7.240904599157904,-11.697646448991657,11.534573561602587,-40.801225576587946
16,5.060109219002269,99.54851368055714,4.400001390302715,-35.25209312788967,19.825140381717294,9.329337032110963,-192.3806370876703,-6.690311660284912,-3.757553660506011,-10.820652642338606,-12.355922044572068,13.329914772460139,-39.59735007485237
17,5.06691237238589,99.50157025268689,5.159666475143155,-35.9230205423566,19.815584734725743,10.11432630594813,-199.99030663850695,-6.754721352556174,-3.7995905248056023,-14.967443917362063,-13.45585287487464,13.585520282757901,-36.435043833494035
18,5.0598628705090976,99.45702242956357,5.9322341483849135,-36.62502682398244,19.811185263092668,10.92265154728413,-206.6248381848727,-6.819798087399348,-3.8390542186934518,-19.487947753620087,-14.848821108925979,12.876536873749476,-32.1141872384357
19,5.038838098781563,99.41617274470164,6.7100165309131015,-37.35021532483437,19.816050272068768,11.751696384666367,-212.56584078370707,-6.8835549545787265,-3.875786264400299,-24.17301507849268,-16.372635743603528,11.827346632214063,-27.564899263272487
20,5.004045400245448,99.3781703839801,7.491026165502213,-38.09356514407306,19.835598499143263,12.600262184047477,-218.12788284274538,-6.944169623200229,-3.9100620887041937,-28.81129771891105,-17.87667287760907,11.009057463020302,-23.708747429918734
21,4.956053185161249,99.3404520268323,8.278540495011558,-38.85278873651353,19.875989098220796,13.468532941091313,-223.6101896615216,-7.000202780910725,-3.942547168422344,-33.19997473796441,-19.24094016308757,10.850587856744422,-21.329409333850624
22,4.895847674903744,99.29945294060808,9.079736850094006,-39.62761640746861,19.94329077131951,14.357851350926703,-229.2555215816955,-7.050750214868185,-3.9741845763744874,-37.154650535056014,-20.386784624874792,11.575408659554823,-20.974839036582953
23,4.824880647944016,99.25147646855176,9.903696368997801,-40.41867696963923,20.042567359451297,15.270350161968093,-235.2212126932667,-7.095509677864055,-4.006018278812214,-40.52022568547828,-21.278843648256647,13.171923846181427,-22.90694246796582
24,4.745069709465124,99.19358780600987,10.759176420170856,-41.22620284457405,20.1770626891185,16.208500579116198,-241.5650517702498,-7.1347607930130135,-4.0389717922750465,-43.182883115693876,-21.919713677931043,15.400766442225928,-27.103691738332163
25,4.658724509109474,99.12439419761401,11.65255977199764,-42.04880115076155,20.347625318619805,17.174645857601163,-248.24667434299778,-7.169272998088657,-4.073616508514326,-45.08141492435743,-22.34024968141498,17.83756092886291,-33.30572648594266
26,4.568395701972797,99.04458715523484,12.586317426179631,-42.882512730267415,20.552449452542724,18.170585953073953,-255.1433623599745,-7.200167265567997,-4.109973195637204,-46.21511764930133,-22.589057038612466,19.94572309192545,-41.08901949011347
27,4.476669000729024,98.95714892483078,13.558208789158408,-43.72035034224687,20.787153059520975,19.197269342753298,-262.07740048383243,-7.228757364321432,-4.14738934579897,-46.64587046955913,-22.72426850552487,21.17074900877191,-49.94090357256067
28,4.385943817017945,98.8671627751944,14.561314915821201,-44.55246188802585,21.04518049279153,20.254631143165916,-268.85061333154124,-7.2563893986962835,-4.184522461499595,-46.493423369254344,-22.809058467841663,21.04449444063219,-59.3204266932533
29,4.298237869946525,98.78121623178112,15.58486686416445,-45.366980223751256,21.318493977048337,21.341594567192242,-275.28089236411216,-7.284292690065465,-4.21943762697981,-45.92449074900438,-22.910180824880275,19.284657307119392,-68.694031210358
30,4.215047074818326,98.70644996700699,16.615703337428698,-46.151491077398084,21.598490433688077,22.456229871436484,-281.2355861483024,-7.31345364550278,-4.24980345158266,-45.137204161593104,-23.097292195220557,15.871889446487707,-77.54938439282896
31,4.137272367032858,98.64937754188811,17.640093108654465,-46.8949043851619,21.877042008473033,23.59604482849645,-286.65718382291925,-7.344523125345625,-4.273151727465581,-44.34272319347326,-23.44081868272987,11.08699415819663,-85.39862251971381
32,4.065211012188622,98.61466569093051,18.64560957845047,-47.58939967686353,22.1475184162096,24.758364049317624,-291.57731158743155,-7.377763864524011,-4.2871587350621985,-43.74576994905644,-24.00760123968124,5.495840131928918,-91.78410583345165
33,3.998604112691082,98.60409727314146,19.622753311277112,-48.2320713766842,22.40562506950102,25.940740300111916,-296.11582109057787,-7.413039318452405,-4.289911084636236,-43.52587739804354,-24.855507729391853,-0.11998001821771616,-96.2952265614883
34,3.9367330883628084,98.61592158832283,20.566075186315967,-48.82593923690382,22.64990388040538,27.141330659570603,-300.46329853195755,-7.449841586927325,-4.28013154953148,-43.82114926433283,-26.02920351546255,-4.876209879681578,-98.5970647596332
35,3.878560009104534,98.64473011424691,21.474642439712003,-49.380100592760755,22.881803929823597,28.359168421989786,-304.8479261507598,-7.487353713275378,-4.257352173190618,-44.716077898597725,-27.5584828096744,-7.922159610029025,-98.46485443109718
36,3.8229037294295085,98.68189884284718,22.351795726112925,-49.908954611123846,23.105324529942333,29.59427192169513,-309.49069387326614,-7.5245386127622425,-4.222026409536779,-46.234465416566344,-29.45849712957812,-8.575143833799025,-95.81496305454554
37,3.7686339177591544,98.71653675352403,23.204252442615616,-50.43058946276066,23.326330178083214,30.847553470022195,-314.55549594705207,-7.560242987232104,-4.175569096257627,-48.33806830166837,-31.72945076493919,-6.42950037171079,-90.72365569483144
38,3.7148519181659565,98.73679386353723,24.040706895040202,-50.96456236653573,23.551699330456188,32.120521163363954,-320.10196606856454,-7.593302710658866,-4.120309265645918,-50.93141345897694,-34.353260130991046,-1.4220848559374164,-83.4280153748862
39,3.6610184257328475,98.73132476939466,24.87015049431802,-51.52939999294082,23.788478901640328,33.41479832896841,-326.04878690997384,-7.622638282587725,-4.059344146330279,-53.873004966648274,-37.28641945464917,6.155619448988617,-74.30762117995356
40,3.6069901686733234,98.69068330431847,25.700176590258216,-52.140190637499494,24.043180297106144,34.73151481805833,-332.1537427444064,-7.647332803803983,-3.9962959900060517,-56.99247910846628,-40.450754437259405,15.698866659576987,-63.849928648847495
41,3.5529427991216553,98.60844445563647,26.535536826106206,-52.80662222322929,24.32129100832789,36.07064632954998,-338.01441649007495,-7.6666869935409405,-3.9349926879601806,-60.112262356199786,-43.72555273907184,26.3749412894005,-52.605684574214465
42,3.4991808712202253,98.4819064736562,27.377171946135384,-53.531740386584524,24.627009840823575,37.43038959323625,-343.09097380327825,-7.680245815980965,-3.8791118546136927,-63.071379195955764,-46.94514028447412,37.23526096809201,-41.14207299267282
