Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,7.566790009939522,98.2120042661578,-45.48178286045959,10.442513138210513,21.889035260117673,10.835282347471152,40.13324743158639,-0.10903253570693085,-4.162478059509373,3.0071533677324833,26.75103639815374,30.708612433328963,-21.704328436520345
1,7.638338960440199,98.37337722018792,-45.682228440196205,10.69057306843685,21.94118511065338,10.694079016026262,37.58334973063079,-0.07943366294381243,-4.118180418581609,-5.031245975552545,14.632284599704706,3.2633849389465164,-24.4372421896008
2,7.702820637719109,98.54378361806434,-45.88265798527881,10.948571918737946,21.99576748548452,10.552707193533628,35.474315319312616,-0.04919483138377235,-4.076660748454462,-12.62000731497613,3.2980422934695293,-22.83251998858027,-26.892676542002288
3,7.755158528245104,98.73203207880888,-46.08867953009317,11.22278475895681,22.056645572098756,10.410043807316779,34.12803050273938,-0.018799707682130976,-4.039886893345119,-19.48536139520794,-6.710565866151744,-46.27266187326226,-28.492509651360542
4,7.791404568630766,98.944224643936,-46.303515860245234,11.51468936757082,22.126751144233758,10.264697505187145,33.77821824726332,0.0114585639110466,-4.009593143347564,-25.408818488122275,-15.012227201279133,-65.96315112862693,-28.68732197585403
5,7.809108919141157,99.18301678166465,-46.52725036864181,11.81992873933439,22.207706576532257,10.114972467890116,34.5437940249805,0.041571399422090295,-3.9871838835591875,-30.234657677904735,-21.41458519008138,-81.12114292485255,-27.029674416103376
6,7.8075413180442625,99.44746473372862,-46.75708023451997,12.128821892406515,22.299625382062704,9.958955476462318,36.411502282654915,0.0718025460397205,-3.973639424461712,-33.86887623020221,-25.911447160370106,-91.3447975498676,-23.245523382691854
7,7.787740168102404,99.73344078677593,-46.988313798707914,12.428115465426135,22.401129980975487,9.794729316045105,39.231296987805344,0.10258225850328621,-3.969428964774556,-36.27323605114296,-28.65471421816336,-96.6415318667159,-17.28730173401062
8,7.752387261508326,100.0344850083016,-47.2156099499376,12.703310129280752,22.509593832082288,9.620682734341456,42.72742730261212,0.13434653872152674,-3.974439253422743,-37.459189033801735,-29.91192560285468,-97.40700146602283,-9.354734569623377
9,7.7055255571245205,100.34289190577272,-47.43391399975467,12.940786534128339,22.621573003322123,9.435858437961299,46.52626660996259,0.16737553904837174,-3.987931334137145,-37.48535999341358,-30.020006759591396,-94.35735749599311,0.12140852156631048
