Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,11.999649489008604,111.34235448354879,4.123232787033457,-30.535971923637312,25.700569340692056,19.1479594444158,-131.4767341326121,-5.69342930605615,-1.1325924251725814,-4.767664029080743,-55.342449528781756,24.446210603418496,21.709639557395555
1,12.136285543478264,111.00202192277735,2.491664551942841,-29.162715721486983,25.35119493498869,19.664594937456677,-137.67758853715588,-5.6704906128852075,-1.192000881893668,-11.271344101517235,-55.096810800629676,16.511400954951657,22.56137447107767
2,12.270674149403296,110.68373945342367,0.8786437003258294,-27.792431470937256,25.00622325821217,20.18202044401061,-143.21540071198717,-5.649507853854197,-1.2528987253916306,-17.82641214160899,-55.250302612646564,9.356682699335598,23.200410887377927
3,12.400021658631378,110.4067025899003,-0.6944922878669822,-26.429724604824692,24.667562321322514,20.705013432934237,-147.74578263974647,-5.632236351280403,-1.318213304701152,-24.320955313157516,-55.86689622024144,2.8438288622530083,23.013946261063648
4,12.521888607509368,110.18550276421878,-2.2070922727092066,-25.081663224974914,24.336366276959673,21.236856090168192,-150.9995944276622,-5.620240150551138,-1.3906030030107834,-30.665611811703208,-56.969595524381624,-3.0458609844836517,21.58985826096886
5,12.63429567685539,110.02872187156231,-3.640398705961015,-23.75774474959102,24.012988900693884,21.779026054785895,-152.81257405475571,-5.614812917652611,-1.4722827655885482,-36.79640262752973,-58.53580068163167,-8.16650003519728,18.787679238278844
6,12.735757890593645,109.93823140809756,-4.978662681423137,-22.46947722997047,23.697125682044867,22.331210946546463,-153.14723715896315,-5.616902286450943,-1.5648621698556042,-42.66795829654454,-60.49407283423539,-12.229759100206937,14.742670259727536
7,12.82526420068551,109.90931386512695,-6.2100995029644706,-21.22953734289565,23.38810308385983,22.891618293068266,-152.10525248920203,-5.627049731927736,-1.6692085763290783,-48.23863966382237,-62.722910364457604,-14.885246748634367,9.809220297534722
8,12.902226539889822,109.93161699991145,-7.327639238091854,-20.050520235313755,23.085241292721143,23.457517853493997,-149.9295295308136,-5.645354773718682,-1.7853562741035118,-53.451708329137446,-65.05223345665127,-15.83429498015242,4.4634189472384715
9,12.966419247717356,109.99082148894786,-8.329440614675224,-18.943378590304928,22.788211505951733,24.025932724980866,-146.99530643721587,-5.671466466604199,-1.9124855104014953,-58.21812405437041,-67.26864719543791,-14.943264840455216,-0.8076637443250256
