Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-0.6678743032109343,110.57317227550814,44.54848227305949,-70.21771853041793,72.3364194240678,49.87832418005782,177.29335950277962,1.2773535269785432,-17.69577024016832,-164.03696262347063,-50.211346770574316,49.67480392426594,146.18975099064633
1,-0.9870066055976771,110.7343430948887,44.901927491922116,-70.2202322515057,72.40589139308966,49.42936505613863,164.1051882497203,1.4298241464185493,-17.69358282862666,-149.8192812193944,-50.86739050270288,17.26832646098363,82.2219993701156
2,-1.2949621061645877,110.89832486881157,45.25167767655017,-70.2223645948956,72.47613290408972,48.98262110317525,151.6135168474737,1.5773666987646857,-17.693694998192154,-136.08618476074048,-51.61306755493669,-13.175919614129565,22.8034113074302
3,-1.5833423162886333,111.07241974314411,45.59896357654368,-70.22795126976278,72.53973663520638,48.53597659806268,140.3180800065645,1.7174263822728222,-17.69817127312347,-123.07583953225885,-52.28180579427665,-39.88540995170518,-28.520168566898406
4,-1.8454171018438792,111.2613545387833,45.94247660492158,-70.24067708597315,72.59060253987708,48.08731837824349,130.6181544487783,1.8480939835471681,-17.708699398971255,-111.00875810762001,-52.719875772528844,-61.44474090904499,-69.04300533635349
5,-2.076626086696559,111.46645641078625,46.27789165572423,-70.26375068549495,72.62453499928905,47.63484663368954,122.76308148890267,1.9682641192834731,-17.72645549326233,-100.07666553411258,-52.80133814090519,-76.9242710721471,-97.15631394466375
6,-2.2748377425331405,111.68555544400829,46.59829110388617,-70.29965719837791,72.63938851234867,47.177437919081996,116.81467420822536,2.077727994601674,-17.75201859008099,-90.4284161654298,-52.44037843407226,-85.96383839329694,-112.47600347133177
7,-2.4403323848540253,111.9135884864104,46.89536603566694,-70.3500127167435,72.63477255025376,46.715035183192164,112.62693446785333,2.177187218763972,-17.785340399221052,-82.15343179057649,-51.598617806215884,-88.79615615952812,-115.821952141418
8,-2.5755145350322226,112.14373281780597,47.16108222523093,-70.41552037109139,72.61141747170932,46.24901514628159,109.84793784441719,2.268171763699248,-17.82577122384621,-75.26443746838459,-50.284418264765414,-86.20052657515983,-109.05233116369662
9,-2.68440223390063,112.36879580264508,47.389405694929465,-70.49599891439614,72.57038288021614,45.78246625716814,107.94606750824045,2.3528508186875365,-17.872137896594676,-69.68255332667466,-48.54233718480001,-79.38745627322454,-94.7804863882476
10,-2.77197411313562,112.58254631538945,47.577696953349665,-70.59043372021392,72.51234016082283,45.32031286347409,106.25803199848275,2.4337454740342306,-17.92286523016764,-65.22855500707531,-46.43377931650211,-69.82658771375077,-76.01950527673544
11,-2.8434707660085317,112.78070247191191,47.727480922162535,-70.69699910201672,72.43715879335731,44.869247831676695,104.05144671510654,2.513379825351035,-17.976130144922745,-61.62440910399851,-44.01356787818603,-59.042048512656386,-55.8066829506673
12,-2.9037436092274547,112.96138358963768,47.84444365090287,-70.81302492356491,72.3439564869524,44.43747757286982,100.59253881402496,2.5939283367034136,-18.03003657591573,-58.50896386804594,-41.31007548938621,-48.40828718355334,-36.857526393629996
13,-2.956726017199805,113.12497304579298,47.937664138251556,-70.93492371001794,72.23164448850156,44.03432292493588,95.21033473649466,2.6769215937292175,-18.082797274485937,-55.470318121953035,-38.31694447619953,-38.9823099645036,-21.29035316663583
14,-3.005076104002555,113.2734875676581,48.01823589866112,-71.0581401480582,72.09984675242286,43.66974156137974,87.35156115926041,2.763059550372537,-18.132905789343123,-52.09437585379357,-35.001162531947756,-31.402294463414037,-10.450903694682006
15,-3.0500168562592975,113.40966503835809,48.09754745068679,-71.1772112302149,71.94994540828988,43.35383613648897,76.6239960740331,2.8521587898906975,-18.179281087474976,-48.02474365709387,-31.326214809816268,-25.86811837155372,-4.852521389609056
16,-3.0913809061495288,113.53603347909976,48.18555231723526,-71.28601579667534,71.78595031807248,43.09639105296102,62.828603093280044,2.9432369710086297,-18.221369804530383,-43.024648268350404,-27.282982313310292,-22.200292440338853,-4.2313224912667255
17,-3.127850832373696,113.65419719745937,48.28935063030376,-71.37824482842859,71.61492814045619,42.90645158797053,45.98131530563785,3.0347186829238173,-18.259195300192893,-37.02853524757195,-22.917807812770782,-19.956218198922535,-7.698563111939881
18,-3.1573665664049173,113.76448800526536,48.41232408909713,-71.44805379691329,71.44684095875782,42.79193615818884,26.32394814318533,3.1247328509718844,-18.293347199061976,-30.170854631017082,-18.34789455463007,-18.572355670979682,-13.95752580804485
19,-3.177648260770857,113.86601601828323,48.553934555519135,-71.49079192636133,71.29379116994569,42.759264672671975,4.321800283196627,3.211460738621443,-18.32491072456731,-22.782857190650983,-13.758351955438092,-17.5005054140585,-21.544103927410987
20,-3.186759724577444,113.95705520789394,48.71015329871773,-71.50366627646953,71.16879716454618,42.81299467485875,-19.35553950144741,3.2934856582930814,-18.35534275896299,-15.354440163153063,-9.381123884758301,-16.314312569467532,-29.05138368876036
21,-3.18362061260647,114.0356381700005,48.874373729040244,-71.4862063946644,71.08430016340846,42.95547813726185,-43.87314763691027,3.370093372309804,-18.386310122644836,-8.46561376407202,-5.461698981539491,-14.773514322375062,-35.307838946713055
22,-3.168372143440702,114.10021526613164,49.038600605699884,-71.4404454355054,71.05062011493847,43.186577223825786,-68.29021306047164,3.4414775184552684,-18.419512026167638,-2.6990347030327513,-2.2229059220451752,-12.843619880054549,-39.49257886235684
