Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,5.417127451913176,95.46529231478657,13.958245225035435,-50.58876233311744,28.74072504877944,7.25484869807557,-135.81591195450522,-10.840721727127724,1.5660351403617256,-35.716763407675735,15.403292703180918,-343.4139097940827,-181.02413770714006
1,5.246840332083297,95.82707655769667,15.429476405880832,-51.16724233079433,28.921952524503062,7.98030118829727,-156.11440271752267,-10.8960248020793,1.6223282296420347,-38.31179114088025,5.797774909122423,-271.44266828225443,-181.4730547409907
2,5.081604415759009,96.17544652145666,16.88228063951231,-51.725021668880615,29.113941270060874,8.703596299804687,-175.22127578720094,-10.950671106464586,1.6779709894164907,-40.77297753902344,-3.204061489099203,-202.79380803636423,-182.69253717114177
3,4.924628350766762,96.49980838063426,18.297540490602284,-52.255104569803905,29.33634331643348,9.439435033974242,-192.8662407396596,-11.005655037003256,1.732731947793309,-42.905568359542485,-11.143576251165872,-140.6648765006029,-184.10975740259528
4,4.778117355386522,96.79242326247562,19.658629389638197,-52.7517833992192,29.604935712153118,10.200963710393665,-208.9300706952889,-11.062181336114973,1.786626386218681,-44.57279951241005,-17.678252054659072,-87.55808439758435,-185.08673974990955
5,4.64308508709101,97.04894882871098,20.9524200997144,-53.2116306410331,29.930380193338667,10.999281359028563,-223.46546166471649,-11.121655907041431,1.83995730179288,-45.71461840422768,-22.617638167156716,-45.03837186688305,-184.93105441155953
6,4.519357856038729,97.26827800149123,22.170009774847376,-53.63477356387479,30.31781859088145,11.843300759712424,-236.69890244935675,-11.185603444547606,1.8932542934643037,-46.35152145089081,-25.939650763109604,-13.631345758894948,-182.88027870625044
7,4.405758005151545,97.45184616725804,23.30688144855032,-54.026096431466236,30.76729535306597,12.739915725987116,-249.01362770920443,-11.255520182111413,1.9471346509105463,-46.57511964696327,-27.78502895698628,7.124364580695527,-178.0772010382857
8,4.300420065183524,97.60271227331704,24.36228028989429,-54.39593733591564,31.27485976617018,13.694401090849487,-260.91734322068976,-11.332690253334682,2.002136326304851,-46.52895825457688,-28.431318160276327,18.487616585302142,-169.56450631624827
9,4.201174778578464,97.72472698148579,25.337789865558147,-54.75993076902075,31.834097026217965,14.710962469395419,-272.99951908251205,-11.41800652609378,2.0585795442036363,-46.38378176473302,-28.25094285018166,22.2349792215149,-156.32952334358683
10,4.105932898600524,97.82199675746605,26.235374407141013,-55.13785911565114,32.43778407066217,15.793348619427155,-285.8814728698864,-11.511837216885533,2.1165011932996673,-46.311503861217346,-27.660264062709807,20.35380904804566,-137.4177705270561
11,4.013009889085862,97.89869541794,27.05538602619564,-55.551635744523864,33.079368692238106,16.945431806047832,-300.16002633507634,-11.613967139824052,2.1756790696100867,-46.46195527680487,-27.06749321987024,14.76875154937556,-112.11056174439574
12,3.9213481522229334,97.95913542530532,27.795113662988285,-56.02275828716029,33.75402738492537,18.1716529748808,-316.3445037748871,-11.723619915523445,2.2357314521675082,-46.94615761879944,-26.826530406117747,7.143268626635814,-80.13536384183054
13,3.830607857972901,98.00794063093497,28.44833191621236,-56.56967664623568,34.45915691429168,19.477228732590266,-334.7883891752463,-11.839543268048935,2.296252666408217,-47.82932311871589,-27.20172873392409,-1.2290473346815556,-41.858819183766855
14,3.7411089935142194,98.05017236708316,29.006033755771785,-57.20549809161807,35.194274008197,20.868036787653963,-355.6207426869021,-11.960124845328972,2.3569352954654983,-49.13539354108788,-28.346406531389597,-9.45308869783372,1.5909975260339495
15,3.6536217693667505,98.09132785992126,29.458202681162803,-57.93633338075874,35.960410245902374,22.35014135026135,-378.6871170665858,-12.083506349015527,2.4176365367291504,-50.862197171611456,-30.29612094681606,-17.005025986758117,48.31322371477159
16,3.5690249816700255,98.13721111947878,29.796211544224807,-58.76043356559042,36.75917405012456,23.928987222924004,-403.51296749025084,-12.207675012213208,2.4783662482483333,-53.003134674097176,-32.975986388807264,-23.675702876524976,95.74907519280657
17,3.4878775477653563,98.19373209340114,30.01530559920924,-59.66813370556944,37.59169653298784,25.60836638515879,-429.30195484013814,-12.330525418257126,2.5392003275211885,-55.56965806529552,-36.219630943143116,-29.50365613666107,140.9106312528573
18,3.4099661243245403,98.26669970312336,30.116652260239455,-60.642535260779994,38.45767943313607,27.389320006417563,-454.97621960460134,-12.449896424036403,2.600146561313495,-58.609580077930225,-39.796293542150465,-34.705774173121945,180.68896237095888
19,3.333895176638792,98.36164306056969,30.108579698914088,-61.66081773911425,39.354726941051744,29.269161244597715,-479.2575066476631,-12.563596682104137,2.661003368508973,-62.21840936306446,-43.44248907524967,-39.60527012893603,212.19446450102512
20,3.2567776103445634,98.48364739697341,30.006816294758384,-62.69604655857256,40.27808092254038,31.24078485355238,-500.78025708282377,-12.669437279086916,2.721251424010296,-66.5428664592326,-46.895155832599364,-44.55487835247952,233.0796454671218
21,3.1740688418449876,98.63715841885033,29.833725688643117,-63.71931442345788,41.22080270632964,33.29237986823078,-518.2227608012647,-12.76529000617372,2.7800060755177345,-71.77684048560965,-49.92324449626437,-49.857771439437236,241.80007612971923
22,3.0795660637887563,98.82571172028865,29.616674242486617,-64.70201325788827,42.174361592321155,35.407599198136346,-530.440502951444,-12.849185184415877,2.8360407480635845,-78.15051588608394,-52.35407199961789,-55.695650960309635,237.78085479565334
23,2.965569120061,99.05158143028574,29.385760571392886,-65.61800206221503,43.129510094557865,37.566179490167,-536.5861462756255,-12.919454966208159,2.8878743669199602,-85.9134465543864,-54.090668537389895,-62.077557604411176,221.4719017952812
24,2.823178875498728,99.31539334038561,29.17118851402478,-66.44544286050055,44.077267630253395,39.74495407485698,-536.2023633114172,-12.974915703695999,2.933902705084828,-95.3118694378705,-55.11803262230673,-68.82081909538954,194.29262787223135
25,2.642704905823759,99.61578407116669,29.000588142972195,-67.16813675022105,45.00981900427559,41.919162886810156,-529.2765399406793,-13.015065884788953,2.972545764854687,-106.55965611585547,-55.498980377608646,-75.56772838916645,158.48052264358495
26,2.4141676583933505,99.94919103692351,28.896592065281062,-67.77628715420165,45.921168502585765,44.06393481622008,-516.2501950996257,-13.040258885537895,3.0023823266714906,-119.8018201977206,-55.362031320084505,-81.83221576410676,116.86581468986432
27,2.1278974161281288,100.30983091149086,28.87495463742331,-68.26670860001917,46.807460313783295,46.155800873205315,-497.9809634599371,-13.051800446671503,3.0222501427897597,-135.07043149854164,-54.88350189519274,-87.06489596493321,72.59661002350592
28,1.7752370170076153,100.68988641340025,28.943450160886027,-68.64255515921741,47.66695406548912,48.17409471388858,-475.6608455652894,-13.05192552315589,3.0313044512029403,-152.2354808180298,-54.26481121119198,-90.72438113583549,28.84003162168152
29,1.3493402009907223,101.07989110525277,29.10169353165382,-68.9126578210659,48.499706929123214,50.102112413186255,-450.69992066913017,-13.043629006927357,3.0290430879176156,-170.95724684190523,-53.70574451215349,-92.34570886420462,-11.512103818714571
30,0.8460257446857693,101.46928496240807,29.341895198057816,-69.09055076410353,49.307052966077364,51.92793111405084,-424.58839173543805,-13.030355525134013,3.0153170421637325,-190.6509953249311,-53.37568134582705,-91.60006174938925,-46.100773053033386
31,0.2646072159898561,101.84710523646214,29.650411039025155,-69.19325326896539,50.09098920730938,53.64481749650484,-398.7511841694647,-13.015587657733098,2.9903472193789518,-210.477639348365,-53.386749217508864,-88.3422555760493,-73.28791625130712
32,-0.39141928693098627,102.2027729808755,30.009812117606323,-69.23987068234456,50.85357795722493,55.251186708104896,-374.4090987948653,-13.00240126404268,2.9547615267264677,-229.37311278026323,-53.77427235536804,-82.64400192224976,-92.24998280767655
33,-1.1139662679880624,102.52693377319426,30.40111820795647,-69.25008974232846,51.59645546988713,56.75010325118639,-352.45990475536314,-12.993072543050024,2.9096531538052917,-246.1232509001246,-54.4897390394764,-74.8118757751957,-102.96627341907974
34,-1.890349319476872,102.81230884109941,30.805837253899643,-69.24266668106971,52.32050420156876,58.148354769441745,-333.39227877178126,-12.988816642009112,2.8566444166643405,-259.4805883811199,-55.40913659724627,-65.38864652528602,-106.11033563179126
35,-2.7037625451673435,103.05450392240263,31.20752975558956,-69.23402772940618,53.02570951554636,59.455181524891444,-317.24450164713465,-12.989711269066305,2.7979265733101277,-268.30756850011414,-56.35530551157326,-55.13488711176965,-102.87039459089279
36,-3.534239006159663,103.25270316044505,31.592748775714696,-69.2371070779963,53.711187838411156,60.68080173323439,-303.616844625743,-12.994819204601106,2.7362413422349854,-271.7213717123407,-57.12891156050584,-44.98578841258603,-94.7362512080384
37,-4.360014666962172,103.41014821432557,31.951355802151586,-69.26053234993276,54.375344641743204,61.83491904162081,-291.74043222443674,-13.002483068757714,2.67477769815674,-269.2126912171108,-57.540869452670265,-35.97826407094979,-83.29177871719348
38,-5.159136174044924,103.53428308212516,32.276340313869625,-69.30823742265979,55.016104464562275,62.92541492318269,-280.5962078130677,-13.010733498313483,2.616975607718862,-260.7159059252068,-57.440072778602506,-29.147575589893634,-70.0438100277266
39,-5.911104030253282,103.63645132164119,32.56334506709188,-69.37954540760533,55.63116038321777,63.957404437064845,-269.0673408486642,-13.017733363339616,2.566250840947721,-246.61966115008795,-56.732922359347874,-25.400480765745225,-56.303195796181825
40,-6.598339085084438,103.73107557495554,32.810106632636284,-69.46972621244431,56.21821728914482,64.93276945681966,-256.10025900198974,-13.022178102532454,2.5256749405928267,-227.72067589220853,-55.39376810198367,-25.380555144489094,-43.11792142183568
41,-7.207302792865443,103.83432563545072,33.01597052889897,-69.57099280718147,56.77523970466065,65.85019315530617,-240.8468563197624,-13.02358376429233,2.4976559796514914,-205.13470810710666,-53.46690932283302,-29.347279032980087,-31.247167245367628
42,-7.729174997127043,103.9623731957251,33.18155862025765,-69.67385292449363,57.30073935498198,66.70562740729198,-222.76494507381534,-13.02241502043652,2.4836663795165665,-180.18361903641457,-51.06113890090208,-37.0914492298295,-21.16217664373169
43,-8.160071971335807,104.12941677235216,33.30858542023499,-69.76867588920044,57.79413093729642,67.49305639673491,-201.66429661197438,-13.020031210441333,2.484055659810137,-154.27604763408158,-48.33760214524617,-47.905518485347585,-13.063821722753257
44,-8.500849448209424,104.34572204631806,33.39976536890006,-69.84727565151618,58.25614408138744,68.20539155128635,-177.69799159230197,-13.018456534995874,2.497973427769639,-128.79381438097403,-45.4915965931363,-60.62031535046344,-6.913763703602383
45,-8.75657020377014,104.61595265807227,33.45873687028064,-69.90427059109246,58.68922393843275,68.83534652289403,-151.3094160733463,-13.020007660679681,2.5234164774523435,-104.99034222844115,-42.72910172007165,-73.71088572717119,-2.481365170090264
46,-8.935726939375762,104.93806003471097,33.489947491883235,-69.93798230454544,59.09780760451544,69.37618453554049,-123.1514662618113,-13.026835899723512,2.55740559654434,-83.90386975913172,-40.2394964658103,-85.46412360413936,0.5911541525519852
47,-9.049309122691561,105.30295095172445,33.49848314477173,-69.95069650982464,59.488347590310596,69.82228509313393,-93.99531633048514,-13.040460567984987,2.596288530164247,-66.28805114109048,-38.16747530979093,-94.18912557903545,2.707863304086429
48,-9.109795613710796,105.69505138843977,33.489862129438244,-69.94822851298738,59.86897938930339,70.16952406341817,-64.64251548623517,-13.061380848568486,2.636148717558247,-52.56467277264666,-36.58943706642843,-98.43953983715811,4.233000923594678
49,-9.130146506721957,106.09374165705051,33.46983579253879,-69.93888788630373,60.248804245273064,70.41548949002838,-35.84927479534369,-13.088846701987572,2.6732740419093686,-42.80517394397079,-35.50105709068832,-97.20998070517835,5.416351733474211
50,-9.122859119847408,106.47547941024533,33.44423390043381,-69.9320763513504,60.63686867123554,70.55956545516287,-8.268314022415533,-13.12083933495332,2.704615033885102,-36.747014631773894,-34.8213522696052,-90.07028330959912,6.347787549332901
51,-9.099147060038447,106.81629664632075,33.41886823426471,-69.93683179696195,61.041030339343585,70.60291507403583,17.588407304341462,-13.154264963020166,2.728150769255583,-33.84690359031034,-34.41405920141466,-77.21318632998286,6.953118247125016
52,-9.06829788067379,107.09429270561955,33.399473487330724,-69.96062366555365,61.46695687425365,70.54838722061416,41.365132129616875,-13.185318366303134,2.7430907318830817,-33.366580524493855,-34.12179410629897,-59.409782878854124,7.033588877665235
53,-9.03725794204973,107.29176471993806,33.3916339883068,-70.00861726896503,61.91748390107495,70.40036231829414,62.858501010445714,-13.209939520310163,2.7498704496735487,-34.48020468985413,-33.80497525139086,-37.88670414795746,6.3408065795195165
54,-9.010474679044316,107.39670980050978,33.40063072755558,-70.08349044268465,62.39247100807725,70.16454288343087,82.00037026391226,-13.224274246226216,2.7499393139151374,-36.38732269652179,-33.37688950886991,-14.153534451922853,4.670406970568342
55,-8.989995053521424,107.4035688674514,33.43115514501771,-70.18574890315251,62.88917009612664,69.84768933204347,98.83394720360788,-13.225060095869177,2.7453804621818385,-38.41338407445531,-32.82783284274677,10.184983479109302,1.952839709060413
56,-8.975782239897372,107.3132231239898,33.4868764088672,-70.31438334174476,63.40299776203581,69.45730603246453,113.48765075683832,-13.209888222304729,2.738435578673026,-40.08179507815878,-32.233836381058694,33.60004454019647,-1.680846807081758
