Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-4.297135204886601,125.74359378536175,45.431071468121964,-82.45931587559942,62.13838632124507,92.34737734605453,7.390908609282702,-7.431820038347769,-7.212660173325407,54.3943722048082,-5.37141224874819,-141.5668538506675,81.4286795715145
1,-4.291712924030008,126.1340853253151,45.23253025121557,-82.41004728526589,62.21953234434121,92.51557502538033,-3.184915475011674,-7.42993634932126,-7.225638051177646,40.639462445871004,-4.970730787541759,-117.2544703524894,64.5270482209484
2,-4.286453931952522,126.50136179453057,45.047994076366386,-82.36411819307624,62.30221019741331,92.68237559909154,-13.384118541432631,-7.426672461089319,-7.239983860384707,27.455382561279617,-4.780774475955125,-92.78226772752369,48.139600291259086
3,-4.281698729781778,126.82733703336544,44.886210895480964,-82.3238766061253,62.38634989843381,92.84774674008675,-22.708013058894586,-7.421363554340073,-7.256946704576823,15.31590619196003,-4.9764793457560685,-68.79083412902469,32.93253350054182
4,-4.277695725072582,127.09734092564273,44.753578788063095,-82.29125854342514,62.471467796796624,93.01170873370104,-30.76536272535852,-7.413574714536129,-7.27765149824283,4.597244038141648,-5.663613514955928,-45.99003174840332,19.531742146892068
5,-4.274606109984524,127.3014123242435,44.65342661557314,-82.26764353752,62.55655505391698,93.17437011510451,-37.31184675543746,-7.40317391372357,-7.303001816807004,-4.447515947113952,-6.862117060496359,-25.11984528709641,8.481814307890097
6,-4.272550369279121,127.4351130353593,44.58564418283801,-82.25374864620416,62.6400303828852,93.33597984802152,-42.26164412560653,-7.390376352347728,-7.333585929393409,-11.695141297493945,-8.505169005348867,-6.897803118248465,0.2047874547448705
7,-4.271667376649915,127.49978144792927,44.546710912409296,-82.24956926111055,62.71979292796895,93.49696304946075,-45.67191597178689,-7.375751431768408,-7.369590664446734,-17.141908161403872,-10.452849157347266,8.042206457916626,-5.03856973522434
8,-4.2721537862716366,127.50221159180275,44.530123094343246,-82.25436947295994,62.79338351100511,93.65790811501968,-47.707012789418776,-7.360189549188827,-7.410731164937947,-20.88168289058911,-12.5171463913185,19.21202697463225,-7.180541354973724
9,-4.274261453061918,127.45381151962025,44.527170073649145,-82.26672292221124,62.85822822942329,93.81948949492019,-48.59309126949335,-7.344831522765366,-7.456207543120635,-23.079484542736278,-14.493504706125869,26.322981081196705,-6.365621645486452
10,-4.278248811502598,127.3693548466581,44.52796554599296,-82.2846069748672,62.91191385870193,93.98233541117705,-48.57459999134123,-7.33096808333936,-7.504699598107046,-23.946629584466987,-16.193114874471284,29.322922048787436,-2.9515900284521286
11,-4.284300953737383,127.26547840159849,44.52260862271001,-82.30555457215624,62.95243895494512,94.14687398487706,-47.88179146467426,-7.3199203625582,-7.55440836038991,-23.720846590298905,-17.470269040705176,28.41221161267246,2.5106998188340226
12,-4.292444817397274,127.1590864543684,44.50233585214815,-82.3268642357667,62.978398491868774,94.31320498052054,-46.71379745577353,-7.3129140850373595,-7.603150014609718,-22.651537318059383,-18.240458533072626,24.03976079437381,9.318395774731442
13,-4.302486439615552,127.06579944121943,44.46053099603081,-82.34585737068967,62.98908464467329,94.48104099999077,-45.236413265568345,-7.3109605695303035,-7.648504237261492,-20.98805382137057,-18.487067382790073,16.883871108803575,16.674550588323275
14,-4.313988432074961,126.9985505223698,44.393480606143136,-82.36015587133217,62.9845086231263,94.6497416681505,-43.5895059408093,-7.314757574044153,-7.688013499892743,-18.96851963300594,-18.25692496742815,7.821521123605881,23.756528136327344
15,-4.326293195571429,126.96641103300554,44.300794435792504,-82.36793936097625,62.96535948458298,94.81843512049666,-41.8971664737748,-7.324622001455191,-7.71942052018974,-16.808330701011457,-17.647180292162393,-2.1153302391462305,29.788271081622188
16,-4.338585878701205,126.97372812621526,44.18544445108844,-82.36813881115984,62.93291654213705,94.98619422576046,-40.27442686232519,-7.340463178064658,-7.740918843057836,-14.689709156003543,-16.787412817546873,-11.802541790979935,34.11103124496693
17,-4.349982988240123,127.01967348908993,44.05341061766336,-82.36053530302115,62.88892987600775,95.15221945426039,-38.826907452064624,-7.361799674892979,-7.751381302041857,-12.754865153764868,-15.821034998129525,-20.111100488629518,36.248369673396425
18,-4.35962881450899,127.09830234409154,43.912956558980156,-82.34575372019205,62.835485625258286,95.31598033175648,-37.64327036482238,-7.387815564393332,-7.750528037909917,-11.104637926426344,-14.888796458205789,-26.01648665865742,35.96040195014626
19,-4.366782853181224,127.19918082718276,43.77359991643355,-82.32516084889994,62.774878900009526,95.47728189506849,-36.78358267147527,-7.417445276413149,-7.739001572733113,-9.802362178637228,-14.115271191487908,-28.715965491317853,33.27901632644178
20,-4.3708859025996505,127.30855401698108,43.64489466055728,-82.30068858355,62.709519287043015,95.63624543312791,-36.26830762668332,-7.449471744222221,-7.7183293663277315,-8.880416462698507,-13.597699873391605,-27.730907695753473,28.512891125311864
21,-4.371597939845199,127.41092215784275,43.53519503089535,-82.27460515449008,62.641884879477544,95.79321568199646,-36.072223470419324,-7.482621529559184,-7.690771611036832,-8.345939954602077,-13.396268058345692,-22.97098116946631,22.213032129127402
22,-4.368806193211667,127.49080981340768,43.45059725268751,-82.24925473964423,62.57452145720142,95.9486229592199,-36.125832130587476,-7.515643453832986,-7.6590714946353,-8.183328412428178,-13.525860036812874,-14.746097954088876,15.098338102592155
23,-4.362607406665687,127.53448414953269,43.39423168446759,-82.22678450150356,62.51006153973855,96.10283582206787,-36.32471839821136,-7.5473636014316,-7.626144016957576,-8.35371291474815,-13.950901056004724,-3.7261386112097514,7.953345066978882
24,-4.353272546481116,127.53141173019432,43.366003302779866,-82.20888236772387,62.45122414367059,96.25603823250395,-36.54542724804003,-7.576716923565379,-7.594753303791862,-8.79406651106024,-14.586111005436317,9.138655546187838,1.520163174676694
25,-4.341202501475817,127.47531959667393,43.36277825913499,-82.19655735905589,62.40075907140413,96.40815689217568,-36.665036087348916,-7.6027601789854895,-7.567231994593326,-9.419436687247805,-15.305821777074009,22.71725318581311,-3.5918928503537533
26,-4.3268806935371735,127.36481262643164,43.37892661311522,-82.18999924101583,62.361318873737694,96.55885171227581,-36.58081580730938,-7.6246720026866495,-7.545286483026973,-10.130598402725278,-15.96251699900233,35.799641462235144,-6.963192066825364
27,-4.310826574330309,127.20356305107155,43.40708574879729,-82.18854813382329,62.33526553176917,96.7075676375864,-36.22613804452351,-7.64174717721206,-7.529910526068529,-10.8267365447661,-16.41217089808753,47.19085513542828,-8.384108488533899
28,-4.293553165117793,127.00011262823368,43.43901298188175,-82.19078725469751,62.32443542903807,96.85363169963814,-35.579121520068014,-7.653395586803871,-7.52140433340096,-11.419923945330945,-16.54129129648557,55.79635231173159,-7.846891846449338
29,-4.275529278397764,126.76731798144637,43.46643331440543,-82.19474965417892,62.329894307646654,96.99636818270164,-34.66176358513595,-7.659157899770958,-7.519475352926963,-11.84675398044222,-16.289497238532366,60.703592394124506,-5.5220193308045165
30,-4.257143023030736,126.52144689630832,43.48183065264062,-82.19820946134115,62.35171984749904,97.13520082963575,-33.529800907578164,-7.658744436120792,-7.523385516059621,-12.073580768327805,-15.662342221044984,61.26422694516913,-1.7297436468998897
31,-4.238662569130304,126.28092484595736,43.47915534147909,-82.19901350965479,62.38885449115016,97.26971714185883,-32.256714096099024,-7.652091096682819,-7.532107733079719,-12.094989979618715,-14.731577196706997,57.174977213519746,3.088609303157159
32,-4.2201960865983,126.06475664600737,43.45442101763522,-82.1954015372245,62.43906855251388,97.39968524739827,-30.917487885255508,-7.639413042349755,-7.54446022555058,-11.928309475823037,-13.623223560334393,48.545841237758474,8.401176344913633
33,-4.2016616176758355,125.89071297949052,43.406146754987745,-82.18626245076086,62.49905787001773,97.52503252615604,-29.577544751838584,-7.621230883442411,-7.559199765851561,-11.607963128066466,-12.49653518656337,35.93609510520833,13.622814225249597
34,-4.182782251009875,125.77346122489749,43.33558163608676,-82.17128071419526,62.56467393495702,97.64580910745079,-28.289757067707605,-7.598349619614739,-7.575071854742135,-11.181799021434195,-11.51839111896932,20.336450748072682,18.16313610102756
35,-4.163117838723489,125.72290109078361,43.24664659955445,-82.15094245660309,62.63125764411474,97.76216271067486,-27.098891126109816,-7.571784928642867,-7.590831999318878,-10.708708350810527,-10.837826097157814,3.083067437378471,21.484865924904984
36,-4.142132783094662,125.74299632462922,43.1455548288577,-82.12639641297964,62.69403199725203,97.87434280847394,-26.04976923169172,-7.542646997473987,-7.605261407247428,-10.254996160178523,-10.564686535684295,-14.294652205755922,23.166154968426547
37,-4.119286060566085,125.83134471554874,43.04012473181618,-82.09919723543098,62.74850889915119,97.9827352792377,-25.194042816592493,-7.512002366018463,-7.617199574688481,-9.887212382448203,-10.755270591994657,-30.270665023791434,22.956151487447833
38,-4.094121318551119,125.979600271494,42.93886341696557,-82.0709900636193,62.79087541888245,98.08791071709948,-24.591250059824983,-7.480737965031647,-7.625606703371844,-9.661196419883833,-11.406579774794782,-43.52580067804418,20.812195083971254
39,-4.066334924996148,126.17468764983933,42.84995236150154,-82.0432143403369,62.81833621307656,98.19065820618829,-24.302381502274827,-7.449450560169238,-7.629654950521799,-9.609700319289052,-12.459505610485088,-53.11593147661881,16.909962303296805
40,-4.035807789451534,126.40058354578314,42.780290812563386,-82.01690124837064,62.82939597659724,98.2919767053411,-24.3773636079962,-7.418380557614564,-7.628834509689669,-9.732731212605257,-13.80982998362396,-58.570937889614655,11.623731943815251
41,-4.002599348078641,126.64033396100153,42.7347371531211,-81.99261024190471,62.824067414283974,98.39300831186667,-24.84033932505356,-7.387402031631839,-7.6230522288316385,-9.994664862966962,-15.324542328480035,-59.908894645682324,5.480407551605145
42,-3.9669138015594156,126.87795744043535,42.71564159221023,-81.97050587705317,62.80398676247929,98.49491674605962,-25.67746280777289,-7.356071229310103,-7.612698174472068,-10.330072397350122,-16.86015747932814,-57.571060138070024,-0.9042246448412744
43,-3.9290540633583144,127.09994776778528,42.72270315756203,-81.95053403749893,62.77241377182681,98.59873310916072,-26.831087661825748,-7.323724269538046,-7.59865958647411,-10.657042487552658,-18.279788461758585,-52.30018624964126,-6.896203158402426
44,-3.889376337078934,127.2962063033529,42.75312711221881,-81.93263167220188,62.73409252922367,98.7052027714634,-28.202247052542535,-7.2896032485423525,-7.582271966810841,-10.894138059032844,-19.466653605632658,-44.99332174865749,-11.910349907540374
45,-3.8482506572189106,127.4603670851564,42.80201761329321,-81.9169026617008,62.694958115724866,98.81466844777381,-29.660816147473422,-7.252982876420216,-7.5652111774082895,-10.97615553062304,-20.333194213687566,-36.56033236030896,-15.465087597144379
46,-3.8060247396066496,127.58959524829118,42.86292235367951,-81.90371186228695,62.66169151533159,98.92701512528555,-31.0605819588251,-7.213271998579827,-7.5493431068697845,-10.864828627410159,-20.826488194037175,-27.812793218398244,-17.22079619828533
47,-3.7629851591883043,127.68401990080379,42.928452158004355,-81.89368063191358,62.64114730998918,99.04168646967683,-32.255747520457895,-7.170076943445858,-7.536553564768784,-10.553056615957491,-20.931301527999373,-19.397279782652024,-17.00180005550666
48,-3.719315243858981,127.745994901947,42.990921118791455,-81.88759828192254,62.63970131105136,99.15776598788658,-33.116461113691955,-7.123230780186141,-7.528579163478462,-10.063963165331087,-20.671394340645275,-11.77494803846575,-14.80495117284933
49,-3.6750615426085087,127.77936424515215,43.04297769295671,-81.8862853192817,62.66258575032012,99.27410494698178,-33.54260557301829,-7.072804304454196,-7.526853350813635,-9.44755461536488,-20.10821964752942,-5.23861108221482,-10.797951810979697
50,-3.6301313041355416,127.78885546779492,43.07821080246051,-81.89045245345476,62.71329405835029,99.38947496635582,-33.47576006457014,-7.019114515031048,-7.532375869529002,-8.777076932460211,-19.335309613815532,0.04778047822616681,-5.30846188695784
51,-3.5843422377633365,127.77965742527915,43.09171125369914,-81.90059483552535,62.793138566872614,99.50272522308232,-32.90849390926685,-6.962736410010731,-7.545612016149732,-8.144971452730164,-18.46722810961743,4.003120159532924,1.1975329068349427
52,-3.5375301503428025,127.75717927473785,43.08055080994434,-81.91694495476213,62.90102770026236,99.61292900607828,-31.888889285299392,-6.904511410185632,-7.566429548100562,-7.6562240721057995,-17.623658336349543,6.589281677436204,8.150782735078943
53,-3.4896957040931698,127.72694557629774,43.04411888968955,-81.93948289946617,63.03349750982482,99.7195082894115,-30.51793344185978,-6.845537932082742,-7.594083263051608,-7.41646147624505,-16.91117358828767,7.785706431768351,14.928854211895796
54,-3.441149414699615,127.69455780207836,42.98424379611819,-81.96797824736869,63.18499533695946,99.82232671821001,-28.938880506612882,-6.787130440529624,-7.627257369670046,-7.51396494855039,-16.406654062685035,7.582589480857769,20.91953001760965
55,-3.3926047301005746,127.66564364278602,42.90503535223182,-82.00202632480288,63.34837975358851,99.92174228070833,-27.319992330983734,-6.7307415147951035,-7.664171668405811,-7.9980293057219445,-16.146389294400198,5.992640266195007,25.591166557720918
