Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-1.4880889714951808,101.87496746495617,-35.23551942778349,-3.52432842651135,17.71299376587798,-0.023556124156137455,12.500183911444772,4.663613169487467,-1.1255292544446676,15.115356800449913,15.726146759430204,-5.499503707299332,59.220720594862655
1,-1.54182795945801,101.90385669771513,-34.827337093562804,-3.980985376219283,17.790071162193946,-0.009093880736091273,7.92746139835979,4.679528819056429,-1.144619816491763,8.446245427842666,12.01244357345949,-3.3842787611577334,33.24470747849058
2,-1.5924540883795288,101.9324262524745,-34.48968740583463,-4.345151137604548,17.848442897633465,0.004328661876105471,3.86244518332622,4.690942940344573,-1.162305138034521,2.435423362247349,8.288300030691909,-1.7589910005439302,9.475586496369631
3,-1.6362324663932035,101.96043188005034,-34.28150115333253,-4.539819902489803,17.872483420607814,0.015935456621430935,0.6441682279961554,4.6945851386911315,-1.177335887333066,-2.3244501781844704,4.602396595126495,-0.975893185991251,-10.286088806525427
4,-1.6692667867654472,101.98865747026487,-34.23980058719027,-4.518670125325301,17.853611347502742,0.0252370395535989,-1.5718234623003478,4.689169991290838,-1.1888767322443965,-5.471993218507425,1.045887619338031,-1.1671425124412105,-24.772707333191786
5,-1.6880350877321468,102.01851140209074,-34.37375800860079,-4.27356851615914,17.791722738475453,0.03221536022062977,-2.8171004209567556,4.67562413631018,-1.196516677042847,-6.927326897458996,-2.2374588960094535,-2.188017324656618,-33.4056734268688
6,-1.6901828417856584,102.05105555524659,-34.66389435273678,-3.834508288912004,17.694661220439478,0.03734559793697144,-3.2556238579793138,4.6567496703128946,-1.200160216629752,-6.878550431603951,-5.066194823861292,-3.6340459325480285,-36.3461674796364
7,-1.6752129468691126,102.0859504841875,-35.06659898280792,-3.262188068434756,17.575900911653246,0.04138162690783311,-3.1036136444752898,4.636515562924886,-1.1999077125925481,-5.7154135309520075,-7.264234988611376,-4.946729231282469,-34.42679792271322
8,-1.644768015352666,102.12087963967828,-35.522958832318366,-2.635123450043124,17.451156843189608,0.0449885179399981,-2.5673820701300767,4.619187581426165,-1.196042580941318,-3.9353744566548463,-8.711878164721613,-5.581970076273401,-28.97633090739143
9,-1.6024440363095251,102.1517935945482,-35.969893162635756,-2.034358479570377,17.33492982306754,0.0484509841077396,-1.8253705404902878,4.608455775068626,-1.1891520893353849,-2.048547627473088,-9.378321240401084,-5.183186941488534,-21.572469420332265
10,-1.553271502421605,102.17394491397833,-36.35116122374488,-1.5291735270987554,17.237912839508063,0.05167896289619767,-1.0455443765675596,4.606701802728095,-1.180282302806205,-0.4990730329968384,-9.326626566315937,-3.6991883667469585,-13.766822251719455
11,-1.5030188126903705,102.183372192639,-36.62608085880828,-1.1666296167995804,17.165806106360957,0.05453900028148375,-0.40318087599596586,4.6145648058751565,-1.1709726356549932,0.3890415604621481,-8.70229303020596,-1.4105101939171518,-6.826786328348492
12,-1.4574015238152966,102.17834189727057,-36.77452921028672,-0.9666510231150958,17.11959653478522,0.05729951314520998,-0.06832394358953559,4.630933823746657,-1.1630760073741238,0.43833367496692444,-7.719408076037564,1.141502301904769,-1.5401676078060729
13,-1.4212589074336257,102.16026747822967,-36.79762139985495,-0.9230473893459676,17.096941967708485,0.06088172378656336,-0.16200097360200694,4.65337713275439,-1.1583977494269089,-0.38320133876414225,-6.6466429527858395,3.30214461620434,1.8724567728768133
14,-1.397803897686854,102.13377198628454,-36.714260428788684,-1.0096249753719193,17.094065819119763,0.06673256320086308,-0.7101553214786772,4.678864966943265,-1.1582927689112945,-1.9843290986372444,-5.78500090922389,4.485760579657546,3.7075317830913024
15,-1.3880868601309646,102.10581804380581,-36.554585705927614,-1.1894221055097367,17.107520664573002,0.07638784479061826,-1.6312014236907413,4.704548017705951,-1.1633809973746527,-4.181962385290755,-5.429970797935066,4.339538659900053,4.596311996319339
16,-1.3907860010615398,102.08412956328092,-36.352076580544285,-1.4244155546652786,17.135283788301006,0.09099719708672117,-2.77319381681513,4.728377945542998,-1.17346636552042,-6.731155096060316,-5.820092650805368,2.8397566563376593,5.243448069379573
17,-1.4023726065085125,102.07535699543214,-36.136312767038866,-1.6831886675179768,17.176887029546467,0.11110351942551011,-3.984619732829812,4.74946118036946,-1.1876304124825063,-9.352510921219944,-7.083654592555745,0.29450324992753574,6.173603921608578
18,-1.4176505881833994,102.08350163737828,-35.92793989246849,-1.9450963668589996,17.23264161392742,0.13680207546157971,-5.181197655829084,4.768131370754121,-1.2044038300066553,-11.764928265733882,-9.199793440310387,-2.742634091602117,7.574233460653143
19,-1.430636343529485,102.10901607709894,-35.736468323266,-2.200912423239454,17.30239672564852,0.16816815653998327,-6.374528297916541,4.785762503654633,-1.2219395243969577,-13.729388615424606,-11.989285049127352,-5.619585578677104,9.285643925613932
20,-1.4356666282611035,102.14880215812552,-35.560679618495655,-2.4510255628608077,17.384472596647175,0.20569796035973936,-7.6531275318155325,4.804356441183516,-1.2381820306921558,-15.095118220689862,-15.144223744329182,-7.752803748707751,10.92943929495658
21,-1.4284876666208208,102.19709129591952,-35.39102865848519,-2.7024641756125902,17.475285628338032,0.2505350615663963,-9.133011323618978,4.825969669491669,-1.251079416880149,-15.82721067704139,-18.293108929482212,-8.769750241229898,12.10983556647593
22,-1.4070026464966006,102.2469503994099,-35.2134565803428,-2.965526215024414,17.56979267718584,0.3044019905751628,-10.905524022552289,4.852090833573067,-1.2588739247574943,-16.000038926343105,-21.081375345481714,-8.586930869141405,12.594645854941511
23,-1.3714624017672632,102.29196592815676,-35.01407126470191,-3.2502139253990454,17.662462139300033,0.36930109266753797,-13.002311564986137,4.883110943154465,-1.2604436808384367,-15.761308359691276,-23.239491347111887,-7.400454395106426,12.397111643366648
24,-1.324126218551891,102.32760007464475,-34.78393588103306,-3.5625640982148603,17.748261794120793,0.4471119153324302,-15.383062462421798,4.918022920422323,-1.2555920842439559,-15.288864599476916,-24.621261752699937,-5.5950220921025355,11.730095754018576
25,-1.2686054634390869,102.35183999596423,-34.52289277179886,-3.9013164767532222,17.823222002201998,0.5392018827826621,-17.942161436475516,4.954446422396059,-1.245148692139558,-14.762084878466755,-25.21460386238237,-3.6084086734752168,10.865180720777238
26,-1.2091272665227624,102.36504584804352,-34.24132206498669,-4.255743070526767,17.88442019563489,0.6461288320405175,-20.527608350988434,4.989006820856253,-1.2307898813373745,-14.35503000369518,-25.135965145576698,-1.8070019906378927,9.96957705575942
27,-1.1498833771035348,102.36923308467019,-33.9591925419974,-4.605458401748398,17.92957538773927,0.767476704008446,-22.966328974666965,5.0180139183748915,-1.2145958341801437,-14.24184699371057,-24.61248979097498,-0.422224198301625,8.996525926370374
28,-1.0945500283890806,102.36724206669292,-33.702566484421574,-4.922563213350078,17.95665386702119,0.9018397744604668,-25.092462661004976,5.038294020116141,-1.1984757321508535,-14.595628523255233,-23.946857977017494,0.4336001802428075,7.676247934008613
29,-1.0459937434312039,102.36222793391177,-33.49847438740802,-5.1758271771999205,17.963858904963793,1.0469631698907493,-26.778005755669287,5.0479512367071395,-1.1836497392219945,-15.565405568807064,-23.461722230012338,0.6967550442294235,5.613098912292848
