Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-3.0287463769590257,121.94963626679765,211.59651660539927,10.138931690592456,-9.459071459688174,23.491899692163976,-2.0818719356078392,-20.070340670027733,121.31103168045134,0,0,0,0,0,0,-12.487299880156627,15.385054547289153,-42.41102446057266,-39.78781022673135
1,-2.9736024220290904,120.83184234575799,217.68856798578523,10.127930805193051,-9.656863365778309,23.460512278677353,-1.5526824559194226,-20.437357031295214,121.46677913302118,0,0,0,0,0,0,-19.005709812366263,-2.024337701466193,-32.036433914709185,-26.5898247171762
2,-2.922066580307287,119.67525908774125,224.86837884343134,10.132764319807485,-9.852393188889998,23.441239690075886,-1.06548770111662,-20.780327043007972,121.60377730306256,0,0,0,0,0,0,-25.199460079776088,-17.95295756309197,-22.09094659897145,-14.112684030338917
3,-2.8755994695991625,118.45687413813337,233.9138190823355,10.165953809147698,-10.042731472460334,23.440611333880312,-0.6524745746537945,-21.084295054406706,121.711260997451,0,0,0,0,0,0,-30.661033309604857,-31.18869521073751,-12.99182171982251,-3.06773355094005
4,-2.8343392312796207,117.15882026085833,245.27476326266515,10.23567258193518,-10.226145760682398,23.460199100369362,-0.3295280026199714,-21.34429309865433,121.78250826186493,0,0,0,0,0,0,-34.984618257103755,-40.946378594893964,-5.05208966517311,6.004136079218389
5,-2.7968556001941973,115.76844434448364,258.99994300974896,10.344791873156074,-10.402562666825373,23.496617004889103,-0.09324548544400978,-21.566854725414096,121.81502829589881,0,0,0,0,0,0,-37.82325599247758,-46.94757365767466,1.5930463300801894,12.798361550838761
6,-2.7602743490629513,114.2781788035118,274.73868056197625,10.490930692911984,-10.573648062912817,23.543044423085547,0.07735100406142675,-21.768690126955377,121.80978616063015,0,0,0,0,0,0,-38.95396731479048,-49.404279664017245,7.051265690355677,17.28862913498751
7,-2.7206998487362553,112.6852885066564,291.8111029771943,10.667519414681523,-10.742462498181714,23.59181400463532,0.2149534281304292,-21.972779900013265,121.76956638029732,0,0,0,0,0,0,-38.32909527163862,-48.92760067682682,11.712119827234812,19.710862618625956
8,-2.6738223716838623,110.99150082686559,309.3312671325882,10.865638862682667,-10.91275667111339,23.637260182976547,0.3555282021933001,-22.202660382091832,121.69680824951881,0,0,0,0,0,0,-36.097801276906814,-46.381167402531105,16.233721312305924,20.462019949190775
9,-2.615655823393349,109.20246220420772,326.3621614340171,11.076154604992157,-11.088095864443597,23.678002593393987,0.5295983737414302,-22.476148449789882,121.59145869926894,0,0,0,0,0,0,-32.59771272440988,-42.70394845281849,21.456668793122056,19.924658887720085
10,-2.5434027181214818,107.32693783331935,342.0756953749558,11.291554861490608,-11.271078732698925,23.718088259112264,0.7556247795246684,-22.800027705183314,121.44945939744993,0,0,0,0,0,0,-28.329211093725505,-38.74035561885596,28.252196436382192,18.282323850364335
11,-2.4564055949929378,105.37571800473829,355.8861550560388,11.5069975534919,-11.462894816525463,23.766742269986825,1.0371142082396076,-23.167105969102213,121.26231252594978,0,0,0,0,0,0,-23.92239873799887,-35.1193677103217,37.34514045656521,15.422705330149562
12,-2.3570344504514016,103.36030542509371,367.5290483453194,11.72035933047303,-11.663344327686415,23.83673111358069,1.3637848453207562,-23.556529798934626,121.0178115147825,0,0,0,0,0,0,-20.09071278055477,-32.20669680159585,49.16634176138981,11.000598759848932
13,-2.2512444982903292,101.29156479981714,377.072566090187,11.931450284029623,-11.871272245242883,23.941539252871518,1.7158641691470964,-23.93743524036042,120.70166657730095,0,0,0,0,0,0,-17.549300566730228,-30.123294412869367,63.77521768096251,4.65368669391566
14,-2.1484784006516016,99.17854550039497,384.8692153940213,12.140847875187108,-12.08522521371298,24.091801898821135,2.0698923978726245,-24.27515069497839,120.29954950030184,0,0,0,0,0,0,-16.87925311298445,-28.801254320455456,80.86692679251485,-3.721707496987671
15,-2.060635250909876,97.02763468555564,391.46782049081054,12.348876792001189,-12.304082854195029,24.291744459618393,2.404373165115242,-24.538484504859223,119.79903857436513,0,0,0,0,0,0,-18.349552718339456,-28.0481097073464,99.85809010304204,-13.76563756688221
16,-2.000036991901269,94.84212349860009,397.507173369646,12.555104206093873,-12.527453495224835,24.53660976631009,2.704011780468862,-24.706292372841908,119.19099991566549,0,0,0,0,0,0,-21.75206366782201,-27.605709366543476,120.03342307422801,-24.62086654937699
17,-1.9766730716198089,92.62221123462116,403.6108152845002,12.75844156766971,-12.75572765496267,24.81200961621443,2.9618106291546384,-24.771622895869793,118.47006275021252,0,0,0,0,0,0,-26.328106540279855,-27.20326401046477,140.72488874609115,-35.09328756657875
18,-1.9953493160710145,90.36540372526412,410.3027659650055,12.957697117368774,-12.989802491598219,25.095726853810444,3.1788133929971853,-24.742327273323085,117.63405108744213,0,0,0,0,0,0,-30.846253779930947,-26.606557080084315,161.48016602685968,-43.9445215589555
19,-2.0535330580964315,88.06717454806609,417.95824065572157,13.152304292377465,-13.230584301412485,25.36181056143302,3.361827119229838,-24.638036223141313,116.68254017719926,0,0,0,0,0,0,-33.838262080787295,-25.660012732971772,182.16506528796026,-50.2016191454375
20,-2.140599510762746,85.7217234712873,426.7860278070382,13.342953341317333,-13.478423830052119,25.586075556068383,3.52000558638212,-24.48460019487944,115.61505538210571,0,0,0,0,0,0,-33.94047773697944,-24.314351854375644,202.95105840082965,-53.366818938001906
21,-2.2388674598589287,83.32274483900161,436.82220374748186,13.531914550018524,-13.73263501999773,25.751591364376477,3.6615580480548484,-24.30798827885865,114.42966291976182,0,0,0,0,0,0,-30.246922765409877,-22.63434749848297,224.1747196334329,-53.45657093192965
22,-2.3263574631950172,80.8642528128357,447.91503600131875,13.72292191107637,-13.991201691533295,25.852629317631312,3.7917846815085987,-24.129773846056693,113.1226429591337,0,0,0,0,0,0,-22.571875296526844,-20.78451855805993,246.1116489270052,-50.87415500172932
23,-2.3807601059746872,78.34157474062687,459.70027402385244,13.920590948529192,-14.250723294812383,25.89592147226088,3.9130685842379567,-23.965553794663315,111.6895285425574,0,0,0,0,0,0,-11.544039484846385,-18.991685546152908,268.75904522112955,-46.191645704970426
24,-2.3837885460263832,75.75253956482808,471.59056563973775,14.129486418508737,-14.5066167252643,25.898869501729806,4.026595842962145,-23.826283382300765,110.12714515615696,0,0,0,0,0,0,1.5007889413434636,-17.485574580073926,291.74068935325244,-39.94752706278298
25,-2.324955175297875,73.09868303992947,482.81370755344057,14.353096451713245,-14.753560626928618,25.885228635456546,4.134821139910616,-23.721235498574575,108.43565624902031,0,0,0,0,0,0,14.809911088280943,-16.4254575986116,314.4124379189717,-32.54009885268561
26,-2.2038816471601637,70.38609256982338,492.5193214367814,14.593013649770986,-14.986121487337813,25.879453401324408,4.243425586737456,-23.660756981910627,106.61937578853463,0,0,0,0,0,0,26.61834758094937,-15.829550647472571,336.1526543881822,-24.236681381850584
27,-2.0305517710605634,67.62548573102042,499.93606396981846,14.848509817191653,-15.199458469717001,25.901158968801287,4.36185738991806,-23.657383011104336,104.68553560618233,0,0,0,0,0,0,35.56205956577738,-15.529918717000903,356.7096544636114,-15.266255619473759
28,-1.8234104832884372,64.83134121527067,504.52544601696286,15.116487332699695,-15.389999066242677,25.961035646818853,4.5022693968124825,-23.724813003289988,102.64121152603053,0,0,0,0,0,0,40.98471845878222,-15.17440007153472,376.42030123683656,-5.943270181969145
29,-1.6057636896393275,62.02027731906846,506.0734995500599,15.391652326464598,-15.556001016158314,26.05913246137885,4.677350077617521,-23.87516569599712,100.48968075065099,0,0,0,0,0,0,43.053218371109885,-14.285085541143252,396.16296897888105,3.223747045796439
