Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,2.758240787672497,117.73630660764651,-15.541874180069646,-13.82139581722916,18.664938696425068,0.09339956105831511,-28.886679834419052,2.9539593523466676,-0.6852730778664824,-32.96456491501583,-3.9344060385309536,68.20252434895333,-31.965721738657454
1,2.7482472533512885,117.60973568227489,-15.24776085547542,-14.067930658335781,18.65138292562528,0.18296468358239845,-22.086049967559696,3.005697752328444,-0.6511423511887403,-26.967560667123582,-4.6047003448807855,46.26715037656837,-26.680549393340186
2,2.734672244313928,117.49638726306368,-14.97382489040316,-14.292771656630702,18.642931347572468,0.2679628820553417,-15.92596908711433,3.0543974143351273,-0.6207586623513682,-21.433636384027473,-5.171202695832823,26.403874415983942,-21.656937806888582
3,2.715153628822117,117.40488576457807,-14.73277872865333,-14.482868165117484,18.643119778715008,0.3450379864771066,-11.009750715628707,3.097276751720757,-0.5970171187440063,-16.746837915059405,-5.561573800717784,10.29959926530111,-17.081424225699195
4,2.6889387448214674,117.33912350404007,-14.528197121228937,-14.635814048344592,18.65362213510599,0.4132186718751915,-7.794463882179301,3.132280372614068,-0.5815982937573073,-13.15952264304286,-5.825967112579193,-1.0650230053489274,-13.062246020783219
5,2.6571726664491337,117.29823976118936,-14.354374308962916,-14.759872351787406,18.67386176863595,0.4744383610999617,-6.535685736773919,3.1583871614380246,-0.5747096652135919,-10.769241217644039,-6.1171714425856765,-7.5662447532452655,-9.649270435009216
6,2.6226974780497794,117.2780568257755,-14.199239273716975,-14.870303423007858,18.701037776710685,0.5333459330041066,-7.2670572421505595,3.1758146412619324,-0.575163562449052,-9.528998616830513,-6.6242592903056075,-9.883850250769118,-6.872857184447379
7,2.5893678922342995,117.27323662085706,-14.049154764211718,-14.983459882431573,18.73059967032588,0.5965420248415564,-9.81473420361041,3.186015300302745,-0.5807673878788738,-9.282750772331552,-7.492972133740515,-9.266146969075114,-4.77161466641882
8,2.5610715032774585,117.27928190594017,-13.89394815481935,-15.110729164839213,18.757144775933675,0.6714712591337539,-13.836057375373844,3.1913624120799984,-0.5889085141531145,-9.810687530989759,-8.770839018841803,-7.189967190063371,-3.3890302416697082
9,2.540792655709076,117.29374385444109,-13.730529269372822,-15.25437719652,18.775611238129144,0.7652016260533259,-18.867473819796192,3.1945338090392204,-0.5971479357186535,-10.870801201621472,-10.39918138737245,-5.018181566032848,-2.738275843357248
