Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,-3.74431371562977,93.48464061473383,476.7211715101953,20.595517796662055,-8.26118094648641,49.5857647288843,-68.78120519804212,24.999929719126136,110.74337925814925,0,0,0,0,0,0,87.76894118935454,10.952887345582804,146.81455109028244,51.50149157125554
1,-3.3903851760358337,91.02805049691754,473.9829308456587,20.9893022798047,-8.385465997751286,48.68865914242495,-68.40488270063496,25.022776943886623,110.27766434092761,0,0,0,0,0,0,70.45510018761267,8.745040366479584,117.7245555715659,18.84372340554369
2,-3.0622361474451756,88.53421049195478,472.640300319254,21.376307281680464,-8.517302689412492,47.760005968476754,-67.9231374293344,24.96540481832913,109.81324472341,0,0,0,0,0,0,55.019544333157675,7.685156242053123,92.67437240714091,-10.238306780624875
3,-2.7818501994603015,85.98681653067031,473.85405228545363,21.74893071920113,-8.660923034938905,46.773999714778626,-67.25097012255776,24.761878397054986,109.35614983219506,0,0,0,0,0,0,43.00731799274592,8.537121347082854,75.31244633520127,-33.00528147895842
4,-2.5643690163558306,83.37426503268212,478.3809677757328,22.10239659107664,-8.819005719663304,45.71938794250939,-66.32820315017447,24.36187812735937,108.89793979398006,0,0,0,0,0,0,35.49291694548323,11.662726234367579,68.82263698372316,-47.933490681676254
5,-2.4160623000596013,80.68858312646937,486.47437913073554,22.43544954857691,-8.992843809466203,44.6025920945025,-65.12509070349513,23.73552351012508,108.41100214052045,0,0,0,0,0,0,32.92021467718616,16.928477706804724,75.53964735189004,-54.93420483307615
6,-2.333854963715708,77.92456412966514,497.86979509324,22.750128744866807,-9.182828621877821,43.44671986288756,-63.64276418102267,22.875747249081503,107.84907482391952,0,0,0,0,0,0,35.03492627441729,23.728944376159493,96.46998568547893,-55.28323945300112
7,-2.3065394232943284,75.07933986466321,511.8452676801518,23.05075375167764,-9.38900993025399,42.286449752540285,-61.908674244569816,21.797798069068993,107.15349385849264,0,0,0,0,0,0,40.93094155174505,31.13152096161427,130.85646941450858,-51.294142860515905
8,-2.3174350621136135,72.15242555641173,527.3404559367709,23.3424626714274,-9.611506616161588,41.160047512015126,-59.96849647587559,20.536022801594207,106.26402087481188,0,0,0,0,0,0,49.210094008319764,38.106080022631204,176.00506143170662,-45.79499317183913
9,-2.3479080600209103,69.14607890781737,543.1161155828421,23.629735217522494,-9.850673290243558,40.100975989984654,-57.8769007280996,19.13856408378987,105.13142040235664,0,0,0,0,0,0,58.22843566678632,43.7677976965972,227.56103627592697,-41.48797408364529
10,-2.380935865516582,66.06569001723793,557.9319396854739,23.915304020448634,-10.10705291980313,39.13194122763636,-55.689689374020034,17.660838755092307,103.72808198705064,0,0,0,0,0,0,66.38217552173546,47.55667391066379,280.25869410862015,-40.307346668219516
11,-2.4038905344689767,62.91990610131462,570.7161071468457,24.199726711309136,-10.381188657376748,38.26331168072719,-53.458957538639474,16.158678098386908,102.0535125964919,0,0,0,0,0,0,72.3810946250524,49.31096647531846,328.9617585526634,-42.93400669005317
12,-2.4099619547438897,59.72029449765574,580.6974608218663,24.481680236594343,-10.673353598376167,37.49597054378648,-51.2314695983366,14.68194791902946,100.1332651543531,0,0,0,0,0,0,75.46456486996901,49.241813144791756,369.68650763778345,-48.62575327745719
