Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,0.3872358583766811,104.46665615309131,92.29441214062382,13.63681428600761,-13.692496708431435,54.196964322514205,-28.28327136019157,21.762427945111916,103.3336010165715,0,0,0,0,0,0,78.89663583390268,9.328566764196392,16.402872566036244,-53.8660643353461
1,0.5361943064712815,103.75930606278655,107.16961280842243,13.57420814543722,-13.715126139419953,54.93271738010949,-26.935574298478407,21.609507284105327,103.03967117812873,0,0,0,0,0,0,75.78532214407447,16.650682331784704,38.63021329309631,-70.11889078380078
2,0.6919347059077254,103.03910445905214,120.90041604521488,13.520749846770508,-13.7346778839047,55.66511609861047,-25.60409599691638,21.466354259709586,102.7173768870852,0,0,0,0,0,0,73.05122800804708,22.968238576706124,59.731458562510895,-84.70698799616684
3,0.8583739687997469,102.30145241957466,132.4780759521591,13.484696143726019,-13.748444089438642,56.38823413779547,-24.30686956788668,21.340353833023837,102.3447366009256,0,0,0,0,0,0,70.94891673170046,27.418061342278847,78.6366737606128,-96.1586280097389
4,1.038964584872891,101.54422927372482,141.37405851845392,13.471347999115372,-13.75341575162221,57.09446556757625,-23.059934090798773,21.237863789445438,101.90785842476292,0,0,0,0,0,0,69.60813034573448,29.505378401540707,94.44526310237066,-103.68021553938054
5,1.2365044432372223,100.7669993633947,147.63907540844951,13.482113487905977,-13.74634874817206,57.77472199170049,-21.875227950288625,21.163798556087656,101.40278020206361,0,0,0,0,0,0,69.0222834890745,29.17327668530662,106.48176843518837,-107.24786184823967
6,1.4527735521345604,99.96968018040413,151.85373262655958,13.514273685804945,-13.724059882745811,58.41911102685086,-20.75852776015512,21.121183807421183,100.83562563878549,0,0,0,0,0,0,69.07296457658818,26.778938163661355,114.35145462382792,-107.49852023519486
7,1.6881531125861386,99.15120422992835,154.940612943231,13.561516487939034,-13.68394524615945,59.01810928587011,-19.708096922710254,21.110717885498723,100.22105243478188,0,0,0,0,0,0,69.57443378063577,22.98176534069466,118.0037678286571,-105.47643936009221
8,1.941423450000295,98.3087543132963,157.89262967572185,13.615114784376614,-13.624617842815397,59.564180696927075,-18.714765482915627,21.130523798677,99.5792190064773,0,0,0,0,0,0,70.31480522182525,18.56767123161086,117.78731424036572,-102.32546509210383
9,2.209895380396767,97.43791845141502,161.5032369603829,13.66547524614941,-13.546475498137655,60.053613531560714,-17.763863349120786,21.17634264117198,98.93182531749483,0,0,0,0,0,0,71.07794136263361,14.251649424452353,114.44920573181204,-99.01855941534762
10,2.4899267387018007,96.53370290049459,166.1855627515221,13.703713272974412,-13.451984736209731,60.48805911414435,-16.838789039918733,21.242307235434666,98.29814355886215,0,0,0,0,0,0,71.65008464524468,10.511982007012989,109.02816181373619,-96.19161168942979
11,2.7777570323126652,95.59194447935052,171.9370740230386,13.722915074284133,-13.345520756181067,60.8750430824075,-15.925267254024039,21.32219855495348,97.69211549121971,0,0,0,0,0,0,71.83269188836111,7.504750553133172,102.6355394363458,-94.11178086804242
12,3.0704994484155983,94.61045631670234,178.45343676224326,13.718831962785817,-13.232719183148237,61.22686251637456,-15.014920983833955,21.41088471657865,97.12131368843197,0,0,0,0,0,0,71.48108588255741,5.082558875081106,96.1905120886751,-92.76968558605746
13,3.3670773106783765,93.58932963319052,185.33883557944606,13.68991585247736,-13.11943253676933,61.55785812365372,-14.106935915906908,21.505584965246637,96.58785680673218,0,0,0,0,0,0,70.56588732916836,2.905419250838687,90.22027326105534,-92.0461004700365
14,3.6688714637243147,92.53017587482991,192.3238841648036,13.63680193638967,-13.010506582841037,61.8807897337598,-13.207274978222982,21.606664351974857,96.09059198180636,0,0,0,0,0,0,69.2276999982552,0.6020546376852044,84.8106211444606,-91.87812133714061
15,3.979847268107063,91.43456815124674,199.40406847632332,13.56149048611647,-12.908679011525782,62.20351471791495,-12.325750631293877,21.717747599231362,95.62747972806838,0,0,0,0,0,0,67.78707694671702,-2.072205137550704,79.70978582535571,-92.35043979047114
16,4.305997348245982,90.30230016257725,206.85092551829308,13.466520821693543,-12.813931126218023,62.52712146626819,-11.471901061658574,21.845003951315963,95.19732671052607,0,0,0,0,0,0,66.68961900219746,-5.129976424186363,74.51186062926296,-93.670019629167
17,4.654119355101524,89.13015694599987,215.10372484762786,13.35437784715044,-12.723547398543527,62.846176499146345,-10.650883408709337,21.995571066937046,94.80055913710729,0,0,0,0,0,0,66.39749092838814,-8.329318516056928,68.82966632852435,-96.03713003980222
18,5.03018573282748,87.91167846319823,224.59230239866844,13.227263764798396,-12.632936783400705,63.15106359839667,-9.860513164024539,22.175328469075783,94.43918867769813,0,0,0,0,0,0,67.26208868627793,-11.235625848171974,62.40582994082592,-99.47715783611575
19,5.4377122415441415,86.63803820903836,235.5551985817601,13.087229513437912,-12.536998736357267,63.431762070813505,-9.090217354151754,22.38653508656206,94.11628431339199,0,0,0,0,0,0,69.41602817830896,-13.342069489542835,55.1575325662342,-103.71673513162851
20,5.876525152885429,85.29982713565269,247.90725897635028,12.936516352513538,-12.431592431990119,63.68196644251201,-8.322143278054591,22.626024473977953,93.83522886639219,0,0,0,0,0,0,72.70978783055438,-14.210276267094722,47.170315778922415,-108.16325156219295
21,6.342194555781006,83.88930391356469,261.19462365322875,12.777856411060394,-12.31460484629329,63.90229238719794,-7.534123825722971,22.884559379233067,93.59898315235218,0,0,0,0,0,0,76.7015683498811,-13.593689705379346,38.656932862302675,-111.9971869563125
22,6.826200517869054,82.40252698785362,274.6590945296455,12.614482776126605,-12.186259439163244,64.10154019883048,-6.7037797643614265,23.147612053298786,93.40952828513859,0,0,0,0,0,0,80.69872226381435,-11.512286944280554,29.901922678460906,-114.3438492362953
23,7.316708624206204,80.8407277621926,287.40885733842396,12.449741610448875,-12.048605953998191,64.295600222979,-5.81284382347069,23.397440763155746,93.26752839120424,0,0,0,0,0,0,83.84620630872678,-8.260148205968509,21.22248620200813,-114.473613056381
24,7.799738681547559,79.21040650553131,298.6533325127912,12.286439757380423,-11.904449173597676,64.50438301809267,-4.850864719530404,23.616059842130355,93.1720695990895,0,0,0,0,0,0,85.25408559449534,-4.3490249355562955,12.968653698637178,-111.98273825210885
25,8.260535103284193,77.52199925511623,307.9233687846618,12.126249071892543,-11.756165165611351,64.74777380884943,-3.8176969548593256,23.78857730006965,93.12026517009208,0,0,0,0,0,0,84.1474042939348,-0.41233811665372305,5.549617592232676,-106.91554292825043
26,8.685025588283251,75.78747952602413,315.1920732007378,11.969463508205777,-11.60483096554975,65.04174950257338,-2.7244236554755457,23.906306288960856,93.10671565156424,0,0,0,0,0,0,80.01327097164983,2.8995977700709488,-0.5638847997943008,-99.79951867967021
27,9.061299576800765,74.01767977203384,320.84801089455516,11.81518650611543,-11.44988662688574,65.39548299007652,-1.5925223967861792,23.969030760041775,93.12314937148605,0,0,0,0,0,0,72.71967214516076,5.014540710925552,-4.906512753883805,-91.58504070402421
28,9.381010491603607,72.22022027336514,325.5337405931491,11.661806831650923,-11.289296081804252,65.80980854071792,-0.4512575231767737,23.985924430438875,93.15871219651791,0,0,0,0,0,0,62.58797656666584,5.520867948588561,-7.148845668836994,-83.50634216970806
29,9.64055698694563,70.39867072719566,329.91565095862603,11.50754368061891,-11.120017449023662,66.2771134287903,0.6664400764133027,23.974904213286834,93.20114597447852,0,0,0,0,0,0,50.40891364564913,4.235946393083124,-7.232445645255565,-76.8929608088441
30,9.841910346319313,68.55308502608851,334.4717277563895,11.350883834405494,-10.938572197614617,66.78257427557132,1.728995595730472,23.960509786464073,93.23865236622251,0,0,0,0,0,0,37.39459183226562,1.2464859475604206,-5.439906165482495,-72.95785279006078
31,9.99300937984219,66.68156179646229,339.36834318422024,11.19080692107246,-10.741566196013023,67.30654384202803,2.711225329643763,23.970629488040636,93.26189999449511,0,0,0,0,0,0,25.059248000566267,-3.096198571300603,-2.3657292687938156,-72.58745831155778
32,10.10763358008143,64.78217594840365,344.4563106344999,11.02676008502691,-10.526107618524827,67.82775693845927,3.5984333964734083,24.03255515247097,93.26558959512819,0,0,0,0,0,0,15.026710644719035,-8.227788323008301,1.1967032428166002,-76.16961173647952
33,10.204572707281901,62.854596727542756,349.36830971678637,10.858414350818107,-10.290146089706852,68.32690850989657,4.388815335654579,24.168987055072034,93.24920595946784,0,0,0,0,0,0,8.778549965945935,-13.45335537993402,4.407282133973761,-83.50342952755388
34,10.305878105719893,60.90093849711165,353.66533444415074,10.685319038432757,-10.032786926685977,68.79009742127093,5.09375745719859,24.39469737934835,93.21687246341422,0,0,0,0,0,0,7.380466505352167,-18.04167076696974,6.52809581304859,-93.82435106117883
35,10.434150906721616,58.92574531384186,356.974384409917,10.506631625603612,-9.75459772274261,69.21159603368785,5.7359700439856045,24.714526625338465,93.17641322334272,0,0,0,0,0,0,11.244741837700511,-21.32175850073948,7.048233241052039,-105.94836798116073
