Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
0,4.121252213596692,120.97642391109433,42.30836805551118,-61.53834238042936,26.595527566333548,14.694688851709248,-14.531284345255722,4.567312629816102,-5.236322342929657,28.40711868164705,-1.3948508605170107,63.2139862485579,44.06084217107082
1,4.352967209204735,120.82815847057712,42.33437484807025,-61.7948486400575,26.54386474755079,14.710182975071724,-8.867719572635314,4.656492615913242,-5.152126026542909,21.56411562474505,-6.168898646602163,52.0278563343326,38.568216187927405
2,4.571724254532851,120.6806256630691,42.37074998125116,-62.04819521867074,26.485971029575914,14.722540979115784,-3.7854521429949117,4.7414892103800454,-5.075138704753998,15.073960018673223,-10.40703814506984,41.385255200344155,32.58135120477979
3,4.765777270938561,120.5364455912551,42.42588126977554,-62.293091363699546,26.416171440067618,14.72930119844792,0.27643759274079566,4.8174569275249155,-5.011835105394674,9.174271550025546,-13.607230892830287,31.720231262959256,25.655111213373065
4,4.9262713397076645,120.40067722782078,42.506013022649874,-62.52280483145363,26.330775466492558,14.72960910127055,3.0199349525953796,4.880068111174987,-4.966344480348008,3.996822585637953,-15.465609270669002,23.081281774518796,17.527000263286354
5,5.047785975634522,120.28126565605129,42.61347504508532,-62.7281192676301,26.228658410629222,14.7244459710676,4.329518744139354,4.9260931371361245,-4.939920757411708,-0.4365598589247827,-15.917472543575679,15.138520733852824,8.204717684540498
6,5.1283791217257875,120.18875281920968,42.744898309063736,-62.896657595814965,26.111442596677502,14.716341222498297,4.2909555976913,4.954072503247836,-4.931027422340079,-4.18240199903896,-15.133881371262849,7.368388988057609,-1.968007914310975
7,5.169390726108521,120.13485946936163,42.89014150825181,-63.01325638027722,25.983424636060477,14.70863072185681,3.1810616793151323,4.96483731785557,-4.935970683644182,-7.324026328882186,-13.481044643976537,-0.6425149849900187,-12.296185053157826
8,5.175170775422227,120.12982914355106,43.03273103777823,-63.06195119312719,25.851354158966515,14.704473043737993,1.4201709782221987,4.961626817281154,-4.949866257118952,-9.926665944829546,-11.446450385037014,-8.88590849840827,-21.797917921164306
9,5.15267149191508,120.17893281946769,43.15222977886596,-63.02952404491826,25.724069096132084,14.705947104185045,-0.5135028277255723,4.949664385366747,-4.967653594957799,-12.020211773823517,-9.53706083290189,-16.744111296059113,-29.3618962361075
10,5.110714793260309,120.27909120267607,43.228222067746316,-62.90972158095461,25.611905308856556,14.713552246350293,-2.1919907160747316,4.935235809159115,-4.984903138681301,-13.611110248081205,-8.16899625647545,-23.033375707278957,-33.979692284974
11,5.058865901496459,120.4169284883953,43.24492539348886,-62.70670939320293,25.52575026813186,14.72629061496426,-3.338342798975802,4.92448988134285,-4.998261268183874,-14.706399528948781,-7.5840678422030985,-26.311645998629032,-34.996170762321015
12,5.006130296064486,120.56944839327242,43.19517716794631,-62.436479840204036,25.47564457500191,14.742295143994168,-3.889203010890268,4.9222886309955065,-5.005490403319224,-15.328975456878261,-7.826570797592908,-25.373445420791143,-32.29703220511432
13,4.95989872063602,120.70777575217322,43.08275760405496,-62.12568571294456,25.469014866367917,14.759778872529997,-4.000661122624961,4.931425595123,-5.00516832783249,-15.515473439703975,-8.78821813968738,-19.750868965316133,-26.361958553821516
14,4.925505138044151,120.80322315306088,42.92248753944785,-61.80824350252346,25.508917573173854,14.777988318732492,-3.996181327649006,4.952384438453591,-4.996210705396283,-15.305577377257098,-10.295248174105756,-10.005798319275938,-18.158419553983336
15,4.906455373514794,120.83386873130172,42.73805682220405,-61.520582424324054,25.59289940479693,14.797852755848563,-4.270825043272049,4.9835805770394,-4.977448483082265,-14.73902542036343,-12.19152313254913,2.326079198471538,-8.915310625110482
16,4.9050344999628885,120.7894966806297,42.557994942013785,-61.296484927445256,25.713021358168117,14.82211548162629,-5.1768860770734735,5.021850584967418,-4.947480907854761,-13.867407041926004,-14.376899687434184,15.1205964184075,0.13667266538158462
17,4.922841110516551,120.67341605699899,42.41056881296886,-61.16225907244558,25.857210091579017,14.854884812740856,-6.920556844370154,5.062945926522898,-4.904916378586542,-12.770597564140148,-16.787380022748494,26.20955082266974,7.96633622704469
18,4.960917975440913,120.50098021970717,42.318653722908635,-61.132784847353115,26.011590576702307,14.900708479952218,-9.496232319542283,5.101939494909214,-4.848944409510064,-11.558822404759246,-19.336356080304018,33.86099412412569,13.83284085549961
19,5.019447562009914,120.29583798821392,42.295688265688774,-61.20891652606409,26.163087160254157,14.963411514071913,-12.675286277103924,5.133628136518244,-4.7800241396776855,-10.349863973827047,-21.856330746422604,37.04107180054976,17.27406933667257
20,5.097254228024808,120.08545168439015,42.34357774606437,-61.3766984500775,26.30150628828778,15.045007486089949,-16.050523801838843,5.153058324349663,-4.700392651764921,-9.229922607240894,-24.078401320121543,35.4381316973341,18.049431995889726
21,5.191454634256215,119.89710257782632,42.45284229490405,-61.60868489289467,26.42052722239759,15.144961020807084,-19.118979911351666,5.1561785868659,-4.614125235235042,-8.220061858041857,-25.66614782215487,29.34340126340282,16.107718126548892
22,5.297510666272768,119.7548343107716,42.60462634258099,-61.86730875699577,26.517435847387972,15.25994185224746,-21.373548313519226,5.140446694727635,-4.526623276219067,-7.267957664095354,-26.2941205138958,19.514031261660378,11.62199886510042
23,5.409751814521703,119.67711685743264,42.77374443507031,-62.109857750458154,26.59190099569545,15.384037239666172,-22.378915616798174,5.1051534602215645,-4.4436234882226,-6.270262973185996,-25.742654947785518,7.0906729891105185,5.076963821727559
24,5.5222568813074,119.67484354934247,42.93197713762578,-62.294366488022604,26.644431188705976,15.509299851326722,-21.828660971804492,5.051328135624876,-4.370020141549561,-5.115156069072037,-23.976968683751377,-6.447317484049831,-2.6601563280385396
25,5.629887000880857,119.74960511656917,43.051290658025096,-62.38567911302971,26.675202520485175,15.626565978205612,-19.60081319755522,4.981282626847036,-4.308864649991517,-3.726956912040217,-21.186291324696647,-19.363806564196334,-10.373387459073538
26,5.7292369421294564,119.8926697427007,43.10717223474706,-62.360981372179644,26.683688663902263,15.726611853759033,-15.828853719527537,4.898004756557326,-4.260821939716776,-2.098503759867088,-17.770729178632067,-29.849536746257304,-16.691167459257983
27,5.819270431504826,120.08532789780715,43.08238051294059,-62.21407272949918,26.669102198223793,15.801767617615074,-10.980922437027491,4.804646076219657,-4.224185402801201,-0.30755512394041234,-14.275442808502175,-36.309847581785895,-20.41483786897762
28,5.901418120011006,120.30106231309746,42.970861334643224,-61.95747997747232,26.63130651456936,15.847970874214758,-5.9080761909152875,4.704258155900399,-4.195376640226249,1.4795415317788965,-11.283630686950495,-37.69236597663319,-20.87244518700804
29,5.979000054771743,120.50950048869493,42.78064468514229,-61.621391861412434,26.571752247931318,15.8669387246149,-1.806647241601084,4.599764953628722,-4.169739400223569,3.0166796205886266,-9.291487621291408,-33.75895656616519,-18.146204217690997
30,6.0560320901547975,120.68156088012296,42.5339454603469,-61.24869487684689,26.49415864599674,15.867824343738961,-0.056848790481217305,4.4940248351155665,-4.142398664138075,4.00725503297561,-8.595829254423215,-25.21803811479402,-13.058751180373278
31,6.135733848226203,120.79483257267736,42.263123240381844,-60.88634069057102,26.404953019294908,15.867612205904996,-1.94733884438275,4.389827760004683,-4.108997244293855,4.163216923786033,-9.224019167242384,-13.672255672887486,-6.9072653371303625
32,6.21923866295042,120.83811017177729,42.002680370432174,-60.57465019773699,26.313639400636703,15.88972374102823,-8.35029383252919,4.289772453003618,-4.066217388776339,3.2905007537536806,-10.926324654987335,-1.3773374160122536,-1.0503919104553496
33,6.304994934570371,120.8140816939846,41.77939813444403,-60.33733087419142,26.233114460564124,15.960804972481988,-19.445178012938637,4.196062135315034,-4.012087921584309,1.3764717531331114,-13.236314379207789,9.163480228313382,3.483866782440538
34,6.389127793881786,120.73936120091513,41.603990202425955,-60.17529739572969,26.179589361743314,16.106260885371324,-34.58631803112008,4.110270688158534,-3.9461154241744976,-1.358062976849289,-15.587497926068938,15.719779138530358,6.221227140687413
35,6.466685994360714,120.6414121046468,41.467560080831824,-60.06655567855717,26.171544948108515,16.345567344604373,-52.37131203310843,4.033099435134004,-3.869249457339032,-4.473939801039189,-17.45648165852815,16.880805934542344,7.232083221082197
36,6.53335771022878,120.55252712725243,41.344656065041995,-59.972678773870726,26.227329682131113,16.688560802425226,-70.9073357068532,3.9641472442382977,-3.783639145065314,-7.405654745708032,-18.491672253510792,12.497098109439426,6.930145223930103
37,6.5870285441127345,120.50186662772713,41.202420004899075,-59.85038417046463,26.36159811176697,17.133704801055284,-88.21034397616248,3.901771545502993,-3.6921294122168624,-9.611272563526464,-18.589817024352595,3.8717265514906867,5.793590774074997
38,6.628582798299634,120.50732645377738,41.01309154518501,-59.66509150340014,26.581472453872703,17.66881153182217,-102.62976615557992,3.843163832231805,-3.5975193274027824,-10.734603805004477,-17.900021949895066,-6.4026434525811355,4.141331758661893
39,6.661630906211875,120.56938561658197,40.765761097321885,-59.40258062644429,26.883685172703423,18.274024334318668,-113.18374216590927,3.784731384230116,-3.501734731500324,-10.722167006052189,-16.7580795598998,-14.978178482601201,2.051001966525575
40,6.691258089853735,120.66889697034132,40.47329315948486,-59.07520356211888,27.253787861353175,18.926262413067825,-119.71896924669828,3.7227633468108863,-3.4051666148145237,-9.850997356162505,-15.575029792030815,-18.569359495234927,-0.5798987448712694
41,6.722242084498737,120.76999241845465,40.171864557900314,-58.720530280199206,27.66785864903266,19.603978805489014,-122.86338614952187,3.654231583323131,-3.306411822239002,-8.658486602459837,-14.718395647219653,-14.861951109070256,-3.901854977592156
