	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Donghyeong_005.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	96.22054	83.35391	-3.35961	-27.50059	34.63192	1.69530	19.20238	-32.34735	-4.67184	-6.43626	1.45016	1.09011	2.31485									0.49334	0.49436			2.00800
2	2.00000	0.00400	96.27756	83.70049	-3.37938	-27.16041	35.01123	2.19049	19.77392	-33.30889	-4.87208	-6.44968	1.82537	0.97388	1.93530	5.33898	-34.92546	-26.83371	44.14423	60.11087	-104.03721	-51.82898	-24.49487	0.49329	0.49411			
3	3.00000	0.00800	96.00384	83.70982	-2.94115	-26.79504	34.74012	1.40889	20.15820	-32.91193	-5.08940	-6.62703	2.01227	0.93751	1.92844	-6.48363	-10.51566	31.48235	-14.59503	23.66554	-68.75926	-3.01841	3.87633	0.49308	0.49365	0.33056	-0.06173	
4	4.00000	0.01200	96.53483	83.58549	-3.77399	-27.08310	35.55319	-0.25520	20.44127	-31.56336	-4.89437	-6.42666	2.04004	0.95657	1.86424	-4.89786	10.61526	98.89365	-72.25364	-8.84177	-65.02218	28.04157	40.21592	0.49340	0.49325	0.40361	-0.18244	
5	5.00000	0.01600	96.79170	83.13149	-4.19118	-27.37552	35.78283	-2.58408	20.65838	-29.69081	-4.86725	-6.29903	1.95746	0.99929	2.02907	-9.14606	17.88564	75.34895	-81.56876	-52.37986	-48.99754	22.73426	31.30838	0.49388	0.49303	0.35774	-0.07342	
6	6.00000	0.02000	97.13705	82.93267	-4.55473	-27.74183	35.82741	-3.91660	20.65088	-28.52873	-4.71515	-6.17872	1.84216	1.04301	2.09247	-15.31323	7.74762	59.63683	-23.80070	-87.87455	23.18234	-19.73398	22.66591	0.49399	0.49338	0.35824	0.09552	
