	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	63.70941	73.71960	18.94405	-13.47845	20.14648	-17.93743	10.04401	-12.43321	-5.27726	-1.46157	-20.25372	-10.31699	5.21809									0.38466	0.30196			3.26800
2	2.00000	0.00400	63.58713	74.61335	18.95304	-13.60207	21.08684	-10.60906	10.84713	-21.08177	-5.48703	-1.07700	-20.20279	-10.56479	5.14524	-9.39650	-10.19695	-52.11676	177.94254	90.94654	-296.29718	-34.32791	70.89098	0.38323	0.30162			
3	3.00000	0.00800	63.33322	75.27136	17.86524	-13.45207	21.92198	-4.74943	10.98065	-27.76401	-5.49113	-0.88878	-20.08456	-10.45519	5.27563	-27.63481	8.19876	-89.17823	170.15944	-88.93659	-217.82347	5.81081	32.64728	0.38237	0.30117	1.44883	0.51166	
4	4.00000	0.01200	62.88085	75.98414	18.23233	-13.27977	21.07555	-0.43159	11.24875	-32.81534	-5.40288	-0.81964	-20.09538	-10.32996	5.45983	-28.35501	-19.72311	-25.76807	48.67208	-26.74820	-122.42703	20.36250	20.13079	0.38188	0.30062	1.23218	0.43268	
5	5.00000	0.01600	63.13065	75.64814	19.60092	-13.64995	20.01837	-0.13432	11.14066	-33.26960	-5.30529	-0.73180	-20.42676	-10.40684	5.33303	-13.23225	-41.33821	27.94102	-54.06026	58.46915	-52.50681	7.64567	40.01460	0.38139	0.30017	0.99756	0.31339	
6	6.00000	0.02000	63.10342	75.53928	21.47953	-13.97708	18.39027	-0.24345	11.04556	-33.41967	-5.33127	-0.49913	-20.62429	-10.33648	5.18856	-6.90499	-46.59547	7.28098	6.19220	78.37956	-17.99304	6.06278	41.47436	0.38104	0.29949	0.78445	0.21364	
