	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	98.74471	89.50684	-15.62619	-21.09221	49.65714	-15.02931	19.19571	-36.75217	-4.04652	-9.50930	-0.24047	3.79935	-7.23084									0.44668	0.46312			3.64400
2	2.00000	0.00400	100.58758	89.87624	-21.76511	-22.48382	55.23107	-13.59169	19.17019	-37.99364	-4.17816	-8.97731	-0.02394	3.73936	-7.21404	-31.59677	-10.04649	273.90366	4.72234	-43.58477	-5.31704	-12.03890	97.26154	0.44763	0.46357			
3	3.00000	0.00800	100.93446	89.54852	-23.64569	-22.72264	56.74697	-13.00009	19.24369	-38.71069	-4.07534	-8.90006	0.27444	3.51446	-7.06266	-17.67745	11.99419	20.43281	-91.92910	-43.26729	-29.30931	14.43153	5.49065	0.44781	0.46372	-0.14557	0.02180	
4	4.00000	0.01200	100.74028	89.14054	-23.04596	-22.55033	56.06613	-12.84000	19.10933	-38.93823	-4.02484	-9.01099	0.47044	3.51424	-6.98542	-2.96932	-28.32431	-72.16543	-39.35635	12.00768	16.61335	10.59026	-29.99284	0.44735	0.46389	-0.12097	0.50344	
5	5.00000	0.01600	100.34724	89.23074	-20.68273	-22.16763	54.10373	-13.14924	19.41062	-38.43684	-3.99159	-9.13070	0.32511	3.48300	-7.23890	-5.28202	-39.49345	-62.87659	31.85178	15.55323	23.71395	-22.30182	-41.62758	0.44672	0.46412	-0.08959	0.45004	
6	6.00000	0.02000	100.24877	89.39948	-21.13454	-22.12087	54.42385	-11.75204	19.29738	-39.77462	-4.22384	-9.28206	0.62431	3.47947	-7.23140	-21.85315	-15.85076	-65.95676	-5.14279	-53.45572	-43.44088	-23.19810	-24.58148	0.44602	0.46435	-0.16505	0.15212	
