	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	88.06851	76.90281	5.30586	-15.97433	33.07250	-25.94903	19.36022	-19.48885	-19.15551	-4.31761	4.39820	4.55972	-2.70565									0.34882	0.37614			2.80800
2	2.00000	0.00400	87.93795	77.68363	9.40766	-14.86436	29.61876	-25.04921	20.01325	-20.69978	-19.26104	-4.84422	4.22256	4.76886	-2.84717	25.23260	-1.60011	-56.51429	195.37434	108.95587	-83.90573	6.26654	-125.28287	0.34850	0.37705			
3	3.00000	0.00800	87.74709	78.46970	10.53293	-14.29600	28.89941	-23.52547	20.04470	-22.43769	-19.33490	-5.37779	4.29837	4.97376	-2.90227	20.51546	-16.03879	-15.61986	126.42355	43.76606	-87.94083	0.52262	-154.86299	0.34802	0.37745	-0.21849	0.40500	
4	4.00000	0.01200	87.89555	78.68693	10.71037	-14.10090	28.70938	-23.96855	20.32291	-22.41972	-19.37907	-6.17451	4.18880	5.04912	-3.11377	8.21830	6.07289	34.56379	50.71164	-74.58379	-109.49343	-12.09296	-147.68666	0.34669	0.37771	-0.18530	0.14923	
5	5.00000	0.01600	88.01266	78.87271	10.92951	-14.29712	27.91802	-24.59417	20.25598	-22.31164	-19.51746	-6.66674	4.04480	5.00110	-2.87073	3.51082	4.07544	15.13937	25.82537	-87.77008	-72.31695	-32.88998	-89.39941	0.34582	0.37780	-0.12036	0.00653	
6	6.00000	0.02000	88.00600	78.89006	9.74699	-14.28849	28.94098	-24.03895	20.05953	-22.93187	-19.73217	-6.98247	4.27617	4.88942	-3.09887	-3.49439	-24.02588	27.73278	26.21092	-58.82495	7.79247	-52.54398	-51.81368	0.34522	0.37784	0.02195	-0.06665	
