	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yuju_002.c3d
	FRAMES	TIME	RT_ELBOW_ANGLE	LT_ELBOW_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	RT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	LT_SHOULDER_ANGLE	RT_KNEE_ANGLE	LT_KNEE_ANGLE	TORSO_ANGLE	TORSO_ANGLE	TORSO_PELVIS_ANGLE	PELVIS_ANGULAR_VELOCITY	TORSO_ANGULAR_VELOCITY	RT_ELBOW_ANGULAR_VELOCITY	LT_ELBOW_ANGULAR_VELOCITY	RT_SHOULDER_ANGULAR_VELOCITY	LT_SHOULDER_ANGULAR_VELOCITY	RT_KNEE_ANGULAR_VELOCITY	LT_KNEE_ANGULAR_VELOCITY	DistEndPos	DistEndPos	DistEndVel	DistEndVel	FC
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	EVENT_LABEL
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	LTH	RTH	LFA	RFA	ORIGINAL
ITEM	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	Y	Z	Z	Z	X	X	Z	Z	X	X	Z	Z	X	X	X
1	1.00000	0.00000	82.46904	96.45444	11.50410	-16.37587	25.15458	13.33199	23.00049	-47.96914	-9.14346	5.00000	-17.91744	-5.44665	1.81248									0.39112	0.32497			2.23600
2	2.00000	0.00400	82.01172	97.06577	11.45188	-16.29570	25.14362	13.05805	23.57150	-47.08786	-8.03307	5.00000	-17.97192	-5.54966	2.07945	65.44038	85.66199	-106.69147	96.29063	25.41691	174.38939	213.60823	-10.98714	0.39141	0.32571			
3	3.00000	0.00800	81.61427	97.20837	10.50187	-16.10968	26.31964	13.35423	23.81154	-46.59626	-7.41671	5.00000	-17.70137	-5.57833	1.98312	45.32470	3.08889	-9.96282	-50.74099	45.63027	201.14529	125.78546	-20.09023	0.39134	0.32591	-0.70184	0.18617	
4	4.00000	0.01200	81.93027	96.65065	9.04961	-16.04210	27.81743	12.77182	23.57240	-45.21677	-7.00182	5.00000	-17.71501	-5.67592	1.75384	19.63174	13.30062	6.69875	-155.54335	16.45457	165.97971	48.37871	-4.37384	0.39121	0.32606	-0.88000	0.29287	
5	5.00000	0.01600	81.67329	95.95903	9.98413	-16.27245	26.94930	10.54228	23.18833	-42.68686	-7.05279	5.00000	-18.00341	-5.51682	1.94688	-11.11520	16.23873	-44.29305	-195.29613	14.39554	120.35689	-20.74592	4.66815	0.39083	0.32604	-0.95939	0.28192	
6	6.00000	0.02000	81.57160	95.08935	8.87283	-15.99230	28.10254	9.32962	22.78439	-41.09357	-7.20977	5.00000	-17.85844	-5.66082	1.97048	-20.47057	2.96241	22.65616	-167.79652	26.00663	90.23169	-53.28045	-0.01930	0.39066	0.32552	-0.84112	0.24339	
