TIME,TORSO_PELVIC_ANGLE_Z,RT_ELBOW_ANGLE_X,RT_SHOULDER_ANGLE_Z,RT_SHOULDER_ANGLE_X,RT_SHOULDER_ANGLE_Y,LT_KNEE_ANGLE_X,LT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,RT_ELBOW_ANGULAR_VELOCITY,RT_SHOULDER_ANGULAR_VELOCITY
3.688,34.91189783673291,72.45377002366557,-0.5640618805546318,54.46890688637307,81.04677012151163,55.922249475983286,187.6701256185963,0.3902114852963097,-9.9182693790902,347.2085578760147,-19.782135080745203,-902.803705732129,-712.6369592085182
3.692,36.39690521366913,76.02295767785763,2.2091777658433087,54.92334771631871,80.41697191145761,55.22184271368449,199.9334310645204,-0.6761373809941197,-9.76891969664736,387.59781032958534,7.904284060869309,-874.8743698593476,-697.7652073290834
3.696,37.920956911107176,79.44942732193414,4.932383886688324,55.307700657245995,79.76145860452979,54.51087440887656,195.13314231170685,-1.8384614801105796,-9.545232125080595,423.8062826809758,49.50864416589659,-831.8996919830115,-687.6846748541891
3.7,39.397606148929235,82.67409843286634,7.619133773661184,55.67493351841111,79.09232153515795,53.854411256227785,172.1171307563224,-3.0812652841700015,-9.216260443444487,452.0765089117254,106.4271067154367,-774.8140903251523,-685.9860490830305
3.704,40.72066732819106,85.64378819386748,10.293037206421527,56.08795986404051,78.42385819215859,53.31843387074091,131.5862847541548,-4.386791834904752,-8.75283407762568,469.5625304327279,178.9183525030657,-705.5951685931245,-695.3778082924789
3.708,41.775360597315704,88.31523766762112,12.986359755217702,56.610554165637524,77.7712604550318,52.962678207999396,76.19797410441545,-5.735855725788199,-8.130112657856502,474.78715009222947,265.6741383834865,-627.2057127025874,-717.698564441972
3.712,42.452490965308876,90.65891163541096,15.739291670011616,57.29662780156591,77.14727776688812,52.83345086641965,10.37005146663452,-7.10782247118312,-7.329812688064561,467.86249594964346,363.57762975109677,-543.5345129613848,-753.8960217832965
3.716,42.66338864275247,92.66255574418324,18.599032288614122,58.1800094278007,76.55785346118229,52.95768191635004,-60.210890423222196,-8.480347086253307,-6.341758204115953,450.4332533816546,467.75979628964797,-459.2827220625567,-803.9023657516425
3.72,42.35300687520975,94.33409260340763,21.617800139149367,59.26673413175262,75.9982743635532,53.33939356057892,-129.30799624439575,-9.829566188165193,-5.164487710879188,425.3719333318251,571.9989817644747,-379.6872922257365,-866.4570216434811
3.724,41.50884715002491,95.70297429696174,24.849440480073984,60.5310800959092,75.45132088053127,53.959351855246695,-190.95404643918064,-11.131060540082261,-3.804850803955557,396.3094914970095,669.426078552157,-310.0071980690915,-939.0156256812504
3.728,40.16414330928397,96.8189799620345,28.345095442813015,61.91568491582438,74.88834655614443,54.77802060533742,-240.21823905813616,-12.361374265302482,-2.276781955803335,367.10679741384286,753.4273750764396,-254.80450398649916,-1017.8794357855279
3.732,38.39474990687575,97.74783304450833,32.14891304219908,63.335436285199116,74.27342328213675,55.74122993515856,-273.7764514762587,-13.49956430304805,-0.5996102538934329,341.3634788985103,818.5921365911121,-217.1661665448884,-1098.5844295406105
3.736,36.31022557321087,98.56379416818366,36.294709620720376,64.68454984030268,73.56994116759289,56.78741719675976,-290.1926932738029,-14.528320452889115,1.2037385246562196,322.0325865379312,861.5354474286377,-198.07433498863955,-1176.4633506348523
3.74,34.04051258588557,99.34026463700256,40.80395352036999,65.84614494101585,72.74851184666238,57.855057544118466,-289.89329978368966,-15.434511629065216,3.1084405879332158,311.1754276684486,881.4410765242558,-196.1198591995877,-1247.2108190240263
3.744,31.72026323661458,100.14010884603145,45.68477524518065,66.70347487745988,71.79471982765982,58.88902586548249,-274.8854073029996,-16.209297280645586,5.089340656914045,309.85819966639804,880.2129280628052,-207.67737716840773,-1307.284616609636
