TIME,TORSO_PELVIC_ANGLE_Z,LT_ELBOW_ANGLE_X,LT_SHOULDER_ANGLE_Z,LT_SHOULDER_ANGLE_X,LT_SHOULDER_ANGLE_Y,RT_KNEE_ANGLE_X,RT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,LT_ELBOW_ANGULAR_VELOCITY,LT_SHOULDER_ANGULAR_VELOCITY
2.824,42.51526635647046,90.92462254003522,-6.957781654339469,41.05432096555302,82.90475936243033,45.83590234163783,-77.33688987267743,5.495797646606972,-1.6038258499210605,542.8803053681494,373.6625512692065,-561.9149342761041,-1077.6554678612881
2.828,43.07409074630184,93.14442099135894,-2.7586125899257508,42.38064020379143,81.6688380074496,46.16529652194187,-87.5981960394453,5.240621599620949,-1.3518288336513697,549.1342345459707,399.7265645861637,-547.3095924315929,-1121.2781931047239
2.832,43.572513051353845,95.29554078520158,1.6231988619029514,43.56876782950296,80.2418758653151,46.536774879719104,-97.92992328375006,5.004493968547415,-1.0515992062150792,555.5044881321656,415.248001846083,-527.6823926716763,-1154.8772660345276
2.836,44.05670729290662,97.35778146882694,6.165166521339242,44.5513961934487,78.67254692982473,46.94916491191789,-107.48706694573512,4.750403015001766,-0.6904751195585823,561.892172169538,420.4839047744193,-503.06494392385935,-1178.4256057604928
2.84,44.56775931985699,99.31156002798389,10.845562213929599,45.26781967475049,77.014320172067,47.397457530213764,-115.24759943310545,4.438411782579267,-0.256585549859524,568.0984283708739,417.14573741488664,-473.7388682372682,-1192.7401045522997
2.844,45.134911078674165,101.13891713074023,15.64477349743388,45.67058585717567,75.3223608192622,47.87226225141238,-120.11285063736422,4.0293455732014865,0.260676923690157,573.8141344095296,408.3624801473357,-440.2375238916995,-1199.4470345370762
2.848,45.76962419073442,102.8245293955798,20.54642584848019,45.731306216311744,73.6506108421132,48.35973045414668,-121.03412798278852,3.488645009247071,0.8702548807732887,578.6293571503172,398.37240141636113,-403.3488832974411,-1200.8097602697512
2.852,46.461743063739924,104.35674541002984,25.538055137638164,45.44447513872653,72.0493091494449,48.842027851296166,-117.15097043987558,2.7899156472563043,1.5791906868272132,582.0653778415426,391.9459785272326,-364.1228099866026,-1199.4270803486156
2.856,47.1788220517701,105.7286618493093,30.611185413345904,44.828337269389124,70.56308393932417,49.298369685490556,-107.92270462132613,1.9177526826133686,2.3926300228472086,583.6252890476455,393.64021645032113,-323.8774551908506,-1197.8577021438912
2.86,47.86901247905353,106.93921449729238,35.76081815264003,43.9224393566312,69.22960922641082,49.70655264670036,-93.23345716920372,0.8695825578816917,3.3140580581015824,582.8548981422748,407.0644060423545,-284.1912275088193,-1198.2616248821041
2.864,48.46702258971753,107.99419128772571,40.98450784792519,42.782304052093856,68.07872393906558,50.04483757379117,-73.45243555295562,-0.34353047209013726,4.345667600524375,579.4057029866981,434.3401435033759,-246.86379907856022,-1202.145521969813
2.868,48.901983785368216,108.90700875017099,46.28130213809313,41.47229402757548,67.13191151777501,50.293970684864306,-49.4363289180324,-1.6970150256039807,5.488706611896392,573.0945548236637,475.86036530268103,-213.83291382435027,-1210.2584866587051
2.872,49.10583615889747,109.69905167612498,51.65082992483733,40.05794803484816,66.40212492150974,50.439091470777775,-22.468544776467873,-3.1537150210475566,6.743662382391415,563.9567718225856,530.3499415520506,-187.04120628779097,-1222.6354847652271
2.876,49.02101735207847,110.39936951181282,57.09275373365695,38.59891291827844,65.89405278475466,50.47127200305164,5.860451460674821,-4.665481454488758,8.110188477110876,552.2885454770809,595.161914129526,-168.25669035381972,-1238.754305543782
2.88,48.60657249542533,111.04355761779011,62.60670276425285,37.14327678834831,65.60497759662402,50.38846919412542,33.8177943723181,-6.175345238618511,9.58673911774633,538.6712143994562,666.7211083797981,-158.86087938608782,-1257.761301944453
2.884,47.842138161507364,111.67172933491749,68.19269397267004,35.723789608755446,65.52632702817172,50.19574519811344,59.71613113257338,-7.6201904892936,11.169932688306291,523.9671920001988,741.0302227003734,-159.62824665182129,-1278.7218532433337
2.888,46.729548384936614,112.3255998913577,73.85194378597336,34.356185440541346,65.64586143825535,49.90471069611333,82.09874087985473,-8.933822137025224,12.85372220299875,509.27789823135936,814.1641224354887,-170.52733264773673,-1300.8554211733342
2.892,45.29207646435259,113.04483622915383,79.58788757273024,33.03958306612092,65.95021593369566,49.532254064999584,99.89622687558155,-10.050273393006147,14.628503529327057,495.8593172654257,882.6907875140307,-190.57398081681282,-1323.7197920323763
2.896,43.57157100476779,113.8629450025987,85.40716676075408,31.75872342466917,66.42730764716518,49.09871600221928,112.53445329885508,-10.907148563420057,16.480331309101857,484.9997775080465,943.9731205657403,-217.75917640967197,-1347.3138392940727
2.9,41.62395883331938,114.80304044069304,91.32030916188936,30.48760977033825,67.06802675901133,48.62573544444888,119.98235159274705,-11.448771645170945,18.39042366498133,477.8742348972409,996.3255903087729,-249.06027336723596,-1372.07358721316
2.904,39.5137439329315,115.8738414273098,97.34180756875767,29.19398008282635,67.86671498613451,48.13401812318037,122.73824566721426,-11.628926854084458,20.33511015298675,475.3963774873809,1039.0226049906785,-280.5314873392014,-1398.7455410795374
2.908,37.30820157420251,117.06621088521365,103.48929952982262,27.84399604144995,68.82018553950051,47.64126587738801,121.76166516522353,-11.413026713903498,22.286313495963046,478.09221187276046,1072.1778698569624,-307.46323968384377,-1428.1365890398422
2.912,35.07194157266369,118.35050424684641,109.78158402319534,26.406592491099968,69.92537744383384,47.16046471117007,118.36286256481736,-10.779607027125753,24.212566914946215,486.016250305492,1096.5307261121443,-324.60124762193686,-1460.7596267983824
2.916,32.86240906847156,119.67496372274142,116.2352922002333,24.857078755542805,71.17606449815845,46.69867543993584,114.0650011061457,-9.721110982478908,26.08047707236114,498.72499082150995,1113.1838581507552,-326.4217616221599,-1496.413910528475
2.92,30.726729042104175,120.96538827707548,122.86016358217478,23.179777707063845,72.55926897486663,46.25640951595895,110.455571548318,-8.243978719975585,27.856471110228938,515.3132349992752,1123.337338881011,-307.4643192573148,-1533.7548916581272
2.924,28.700103228981686,122.12631442501718,129.65306255177617,21.369676599094277,74.05211277347011,45.82760613009002,109.04436040858634,-6.3680975635389645,29.508631165041127,534.5078618849648,1128.0582472402627,-262.72381524718776,-1569.917269330547
2.928,26.805755936363983,123.04393566766593,136.59109052063766,19.433194056210784,75.619769529325,45.40015896389365,111.14415546543114,-4.1256881468437605,31.008424674494815,554.8022074394753,1128.1142474375426,-188.0972432883315,-1600.2558709770049
2.932,25.056220861040394,123.59093918176316,143.62438306133234,17.388213160231313,77.2149937051782,44.9568824256225,117.78627469652508,-1.559704497023271,32.33217534988883,574.6044857116624,1123.8855414018167,-80.86734947636359,-1618.2618419503606
2.936,23.455586658506693,123.63332498046299,150.66939407370796,15.263502102062498,78.77944929069538,44.4767703741135,129.67630498340688,1.2781809611111363,33.46217267931073,592.3692793458536,1115.3554889313361,59.81154241867464,-1615.6976699541349
2.94,22.002199428583822,123.03908875345898,157.60362164328694,13.097579856012034,80.24679390733293,43.93639282272742,147.18772468608142,4.3299415366833705,34.3873709701771,606.6856615090901,1102.1687571407108,232.47703433979726,-1582.9755512693844
2.944,20.691284117788523,121.68840565560367,164.26279045130278,10.937025332411546,81.54723724529808,43.311297955488364,170.38421805053017,7.53383499584858,35.10366905173829,616.3099935340389,1083.738990139446,433.0355237727164,-1509.7819985144931
2.948,19.51701465982668,119.48467408603305,170.44145809755128,8.83419912829509,82.61311576280309,42.57733100012103,199.0571459845633,10.827219012634956,35.61378303195518,620.1518263501597,1059.3860816424422,654.6212408959519,-1385.9297747218723
2.952,18.473729058738257,116.3655050188385,175.8978561076046,6.8443522626981785,83.38492242763375,41.71183499378771,232.7640958674055,14.149417304764453,35.926731264957446,617.2393898536932,1028.4845118548176,887.7002712037543,-1202.3963548361419
2.956,17.556212658245986,112.31252353570679,180.36350852219903,5.022128093376036,83.81719977630394,40.694744364779496,270.8580613585064,17.444486027917982,36.056954464716064,606.6987744134808,990.606323645397,1120.4638478998763,-952.4838380598063
2.96,16.75919846591186,107.35873915565205,183.557780776271,3.4175150810244537,83.88373350252365,39.509604938205975,312.5035168376939,20.663710854959135,36.02310588920757,587.7746322205768,945.6440717736185,1339.5244029368334,-633.0069489626451
2.964,16.076392643632037,101.59228774920564,185.20699001588576,2.0713814904634833,83.58155260420504,38.14454574385126,356.68298327975157,23.76765213171762,35.84657126920497,559.902912871111,893.9010117193576,1530.8880044867722,-245.3860567207197
